심상정,	심상정/NNG+,/SP
“장애등급·부양의무제	“/SN+장애등급/NNG+·/SP+부양의무제/NNG
폐지할	폐지하/VV+ㄹ/ETM
것”	것/NNB+”/SL

“대통령으로	“/SL+대통령/NNG+으로/JKB
당선	당선/NNG
된다면	되/VV+ㄴ다면/EC
무엇보다	무엇/NP+보다/JKB
낙인과	낙인/NNG+과/JC
빈곤의	빈곤/NNG+의/JKG
사슬인	사슬/NNG+이/VCP+ㄴ/ETM
장애등급제와	장애등급/NNG+제/XSN+와/JC
부양의무제	부양의무제/NNG
폐지	폐지/NNG
안건에	안건/NNG+에/JKB
싸인	쌓이/VV+ㄴ/ETM
하겠습니다	하/VV+겠/EP+습니다/EF

”진보정의당	”/SL+진보정의당/NNP
심상정	심상정/NNP
대선	대선/NNG
후보는	후보/NNG+는/JX
17일	17/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB
40분	40/SN+분/NNB
‘장애등급제·부양의무제	‘/SN+장애등급/NNG+제/XSN+·/SP+부양의무제/NNG
폐지	폐지/NNG
공동행동(이하	공동행동/NNG+(/SS+이하/NNG
공동행동)’	공동행동/NNG+)/SS+’/SL
서울	서울/NNP
광화문	광화문/NNP
농성장에서	농성/NNG+장/XSN+에서/JKB
‘장애등급제·부양의무제	‘/SN+장애등급/NNG+제/XSN+·/SP+부양의무제/NNG
폐지’를	폐지’/NNG+를/JKO
위해	위하/VV+여/EC
노력할	노력하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
약속했다	약속하/VV+었/EP+다/EC

심	심/NNP
후보는	후보/NNG+는/JX
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
기자회견을	기자회견/NNG+을/JKO
통해	통하/VV+여/EC
대선	대선/NNG
출마를	출마/NNG+를/JKO
공식	공식/NNG
선언	선언/NNG
한	한/MM
바	바/NNB
있다	있/VA+다/EF

이날	이날/NNG
공동행동은	공동행동/NNG+은/JX
장애등급제·부양의무제	장애등급/NNG+제/XSN+·/SP+부양의무제/NNG
폐지에	폐지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
심	심/NNP
후보의	후보/NNG+의/JKG
의견을	의견/NNG+을/JKO
듣고자	듣/VV+고자/EC
정책간담회를	정책간담회/NNG+를/JKO
열었으며,	열/VV+었/EP+으며/EC+,/SP
40여명의	40/SN+여/XSN+명/NNB+의/JKG
장애인	장애인/NNG
당사자들이	당사자/NNG+들/XSN+이/JKS
간담회에	간담회/NNG+에/JKB
참석했다	참석하/VV+였/EP+다/EC

17일	17/SN+일/NNB
'장애등급제·부양의무제	'/SS+장애등급/NNG+제/XSN+·/SP+부양의무제/NNG
폐지	폐지/NNG
공동행동'	공동행동/NNG+'/SS
농성장을	농성/NNG+장/XSN+을/JKO
찾은	찾/VV+은/ETM
진보정의당	진보정의당/NNP
심상정	심상정/NNP
대선	대선/NNG
후보	후보/NNG

이날	이날/NNG
심	심/NNP
후보는	후보/NNG+는/JX
대통령에	대통령/NNG+에/JKB
당선	당선/NNG
된다면	되/VV+ㄴ다면/EC
장애등급제와	장애등급/NNG+제/XSN+와/JC
부양의무제	부양의무제/NNG
폐지	폐지/NNG
안건에	안건/NNG+에/JKB
제일	제일/MAG
먼저	먼저/MAG
싸인하겠다고	싸인하/VV+겠/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

심	심/NNP
후보는	후보/NNG+는/JX
“장애등급제는	“/SN+장애등급/NNG+제/XSN+는/JX
등급	등급/NNG
6개로	6/SN+개/NNB+로/JKB
나눠서	나누/VV+어서/EC
등록시키고,	등록/NNG+시키/XSV+고/EC+,/SP
장애인을	장애인/NNG+을/JKO
인간으로	인간/NNG+으로/JKB
대하는	대하/VV+는/ETM
게	것/NNB+이/JKC
아니라	아니/VCN+라/EC
짐짝이나	짐짝/NNG+이나/JC
물건으로	물건/NNG+으로/JKB
대하는	대하/VV+는/ETM
것”이라면서	것/NNB+”/SL+이/VCP+라면서/EC
“(장애등급제라는	“/SL+(/SS+장애등급/NNG+제/XSN+이/VCP+라는/ETM
제도가)	제도/NNG+가/JKS+)/SS
대한민국이	대한민국/NNP+이/JKS
인간의	인간/NNG+의/JKG
존엄성을	존엄성/NNG+을/JKO
다루는	다루/VV+는/ETM
방식이	방식/NNG+이/JKS
(이	(/SS+이/MM
것	것/NNB
밖에	밖에/JX
안	안/MAG
돼)	되/VV+어/EC+)/SS
부끄럽다”고	부끄럽/VA+다/EC+”/VV+고/EC
말했다	말하/VV+였/EP+다/EC

이어	이어/MAG
“(등급으로	“/SL+(/SS+등급/NNG+으로/JKB
나뉘는	나뉘/VV+는/ETM
것이	것/NNB+이/JKC
아니라)	아니/VCN+라/EF+)/SS
장애인의	장애인/NNG+의/JKG
장애	장애/NNG
정도나	정도/NNG+나/JC
유형별로	유형/NNG+별/XSN+로/JKB
국가가	국가/NNG+가/JKS
맞춤형으로	맞춤형/NNG+으로/JKB
복지서비스를	복지서비스/NNG+를/JKO
제공해야	제공하/VV+여야/EC
한다고	하/VX+ㄴ다고/EC
생각	생각/NNG
한다”며	하/VV+ㄴ다/EF+”/VV+며/EC
“분명히	“/SW+분명히/MAG
말하지만	말하/VV+지만/EC
장애는	장애/NNG+는/JX
장애인	장애인/NNG
당사자	당사자/NNG
분들의	분/NNB+들/XSN+의/JKG
책임이	책임/NNG+이/JKC
아니라	아니/VCN+라/EC
사회의	사회/NNG+의/JKG
책임이다	책임/NNG+이/VCP+다/EC

사회가	사회/NNG+가/JKS
분명하게	분명하/VA+게/EC
책임지는	책임지/VV+는/ETM
그것으로부터	그것/NP+으로부터/JKB
복지국가는	복지국가/NNG+는/JX
시작된다고	시작되/VV+ㄴ다고/EC
생각	생각/NNG
한다”고	하/VV+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

심	심/NNP
후보는	후보/NNG+는/JX
또한	또한/MAG
부양의무제	부양의무제/NNG
문제에	문제/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
“지난해	“/SL+지난해/NNG
1만	1/SN+만/NR
7천명	7/SN+천/NR+명/NNB
정도가	정도/NNG+가/JKS
부양의무제	부양의무제/NNG
때문에	때문/NNB+에/JKB
수급권을	수급권/NNG+을/JKO
박탈당한	박탈/NNG+당하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
아는데,	알/VV+는데/EC+,/SP
수급권을	수급권/NNG+을/JKO
받기	받/VV+기/ETN
위해서	위하/VV+여서/EC
부모가	부모/NNG+가/JKS
자살하고	자살하/VV+고/EC
남편이	남편/NNG+이/JKS
자살하는	자살하/VV+는/ETM
등의	등/NNB+의/JKG
있을	있/VA+을/ETM
수	수/NNB
없는	없/VA+는/ETM
일이	일/NNG+이/JKS
대한민국에서	대한민국/NNP+에서/JKB
벌어지고	벌어지/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“(이런	“/SL+(/SS+이런/MM
상황에서)	상황/NNG+에서/JKB+)/SS
나라에	나라/NNG+에/JKB
복지라는	복지/NNG+이/VCP+라는/ETM
이름을	이름/NNG+을/JKO
붙일	붙이/VV+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EC

사람을	사람/NNG+을/JKO
잡고	잡/VV+고/EC
있는	있/VX+는/ETM
복지	복지/NNG
일	일/NNG
뿐”이라고	뿐”/NNG+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

심	심/NNP
후보는	후보/NNG+는/JX
“(수급비	“/SL+(/SS+수급비/NNG
주는	주/VV+는/ETM
거)	거/NNB+)/SS
사실	사실/MAG
몇	몇/MM
푼	푼/NNB
안	안/MAG
된다	되/VV+ㄴ다/EF

다른	다른/MM
사업의	사업/NNG+의/JKG
예산에	예산/NNG+에/JKB
몇	몇/MM
십조	십조/NR
씩	씩/XSN
쏟아	쏟/VV+아/EC
붓는	붓/VV+는/ETM
비용과	비용/NNG+과/JKB
비교해보면	비교하/VV+여/EC+보/VX+면/EC
몇	몇/MM
푼	푼/NNB
안	안/MAG
된다고	되/VV+ㄴ다고/EC
생각	생각/NNG
한다”면서	하/VV+ㄴ다”면서/EC
“누가	“/SN+누/NR+가/JKS
대통령이	대통령/NNG+이/JKC
될지	되/VV+ㄹ지/EC
모르지만	모르/VV+지만/EC
(내가)	(/SS+내/NP+가/JKS+)/SS
대통령	대통령/NNG
되면	되/VV+면/EC
첫	첫/MM
번째로	번째/NNB+로/JKB
장애등급제·부양의무제	장애등급/NNG+제/XSN+·/SP+부양의무제/NNG
폐지	폐지/NNG
안건에	안건/NNG+에/JKB
싸인	싸일/VV+ㄴ/EF
하겠다”고	하/VV+겠/EP+다”/ETM+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

이후	이후/NNG
심	심/NNP
후보는	후보/NNG+는/JX
장애등급제·부양의무제	장애등급/NNG+제/XSN+·/SP+부양의무제/NNG
폐지에	폐지/NNG+에/JKB
노력하겠다는	노력하/VV+겠/EP+다는/ETM
내용의	내용/NNG+의/JKG
‘장애등급제·부양의무제	‘/SL+장애등급/NNG+제/XSN+·/SP+부양의무제/NNG
폐지’	폐지’/NNG
정책	정책/NNG
약속문에	약속문/NNG+에/JKB
직접	직접/MAG
싸인을	싸인/NNG+을/JKO
했다	하/VV+였/EP+다/EF

이와	이/NP+와/JKB
관련	관련/NNG
