민주당,	민주당/NNP+,/SP
“현행	“/SL+현행/NNG
장애등급제도	장애등급제도/NNG
개선”	개선/NNG+”/SN

민주통합당이	민주통합당/NNP+이/JKS
장애등급에	장애등급/NNG+에/JKB
따라	따르/VV+아/EC
획일적으로	획일적/NNG+으로/JKB
서비스가	서비스/NNG+가/JKS
지원되고	지원/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
현행	현행/NNG
‘장애등급제도’	‘/SN+장애등급제도’/NNG
개선의	개선/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
내비쳤다	내비치/VV+었/EP+다/EF

장애인	장애인/NNG
70여명은	70/SN+여/XSN+명/NNB+은/JX
지난	지나/VV+ㄴ/ETM
21일부터	21/SN+일/NNB+부터/JX
광화문역사	광화문역사/NNP
안에서	안/NNG+에서/JKB
장애등급제·부양의무제	장애등급/NNG+제/XSN+·/SP+부양의무제/NNG
폐지를	폐지/NNG+를/JKO
촉구하며	촉구하/VV+며/EC
무기한	무기한/NNG
농성에	농성/NNG+에/JKB
들어갔다	들어가/VV+았/EP+다/EC

이들은	이/NP+들/XSN+은/JX
정부에서	정부/NNG+에서/JKB
장애등급제·부양의무제	장애등급/NNG+제/XSN+·/SP+부양의무제/NNG
폐지에	폐지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
분명한	분명하/VA+ㄴ/ETM
입장을	입장/NNG+을/JKO
들을	듣/VV+을/ETM
때까지	때/NNG+까지/JX
농성을	농성/NNG+을/JKO
진행하겠다는	진행하/VV+겠/EP+다는/ETM
입장이다	입장/NNG+이/VCP+다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
민주통합당	민주통합당/NNP
정은혜	정은혜/NNP
부대변인은	부/XPN+대변인/NNG+은/JX
22일	22/SN+일/NNB
‘누구를	‘/SN+누구/NP+를/JKO
위한	위하/VV+ㄴ/ETM
장애등급제인가’라는	장애등급/NNG+제/XSN+이/VCP+ㄴ가/EF+’/SN+이/VCP+라는/ETM
논평을	논평/NNG+을/JKO
통해	통하/VV+여/EC
“단순한	“/SN+단순하/VA+ㄴ/ETM
의학적	의학적/NNG
기준을	기준/NNG+을/JKO
적용해	적용하/VV+여/EC
기계적으로	기계적/NNG+으로/JKB
정해진	정하/VV+여/EC+지/VX+ㄴ/ETM
‘장애등급제’만으로는	‘/SL+장애등급/NNG+제/XSN+’/SN+만/NNB+으로/JKB+는/JX
장애인들이	장애인/NNG+들/XSN+이/JKS
자립하기에	자립하/VV+기/ETN+에/JKB
