물먹은	물/NNG+먹/VV+은/ETM
장애인콜택시	장애인콜택시/NNG
고속道	고속/NNG+道/SL
통행료	통행료/NNG
감면	감면/NNG

국토해양부가	국토해양부/NNP+가/JKS
장애인콜택시의	장애인콜택시/NNG+의/JKG
고속도로	고속도로/NNG
통행료	통행료/NNG
감면에	감면/NNG+에/JKB
대해	대하/VV+여/EC
불가능하고,	불가능하/VA+고/EC+,/SP
지방자치단체	지방자치단체/NNG
재정으로	재정/NNG+으로/JKB
지원하는	지원하/VV+는/ETM
것이	것/NNB+이/JKS
바람직하다는	바람직하/VA+다는/ETM
입장을	입장/NNG+을/JKO
밝혔다	밝히/VV+었/EP+다/EC

장애	장애/NNG
관련	관련/NNG
14개의	14/SN+개/NNB+의/JKG
단체	단체/NNG
실무책임자로	실무책임자/NNG+로/JKB
구성된	구성되/VV+ㄴ/ETM
정책솔루션(사무국:	정책솔루션/NNG+(/SS+사무국/NNG+:/SP
한국장애인단체총연맹)은	한국/NNP+장애인단체총연맹/NNG+)/SS+은/JX
교통약자의	교통약자/NNG+의/JKG
이동편의를	이동편의/NNG+를/JKO
위해	위하/VV+여/EC
도입된	도입되/VV+ㄴ/ETM
장애인콜택시의	장애인콜택시/NNG+의/JKG
고속도로	고속도로/NNG
통행료	통행료/NNG
감면을	감면/NNG+을/JKO
요구하는	요구하/VV+는/ETM
제도	제도/NNG
개선을	개선/NNG+을/JKO
국토해양부에	국토해양부/NNP+에/JKB
요구했지만,	요구하/VV+였/EP+지만/EC+,/SP
이	이/NP
같은	같/VA+은/ETM
답변을	답변/NNG+을/JKO
받았다고	받/VV+았/EP+다고/EC
23일	23/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

정책솔루션은	정책솔루션/NNG+은/JX
지난달	지난달/NNG
국토부에	국토부/NNG+에/JKB
장애인콜택시의	장애인콜택시/NNG+의/JKG
경우	경우/NNG
1~2급의	1/SN+~/SO+2/SN+급/NNG+의/JKG
중증장애인만	중증장애인/NNG+만/JX
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
비영리차량으로,	비/XPN+영리차량/NNG+으로/JKB+,/SP
장애인의	장애인/NNG+의/JKG
경제적	경제적/NNG
부담	부담/NNG
경감을	경감/NNG+을/JKO
위해	위하/VV+여/EC
장애인콜택시도	장애인콜택시/NNG+도/JX
고속도로	고속도로/NNG
통행료	통행료/NNG
감면	감면/NNG
