대선후보에	대선후보/NNG+에/JKB
‘장애계	‘/SN+장애/NNG+계/XSN
12대	12/SN+대/NNB
요구	요구/NNG
공약	공약/NNG
협약’	협약/NNG+’/SL
제안	제안/NNG

2012대선장애인연대(이하	2012/SN+대선장애인연대/NNG+(/SS+이하/NNG
대선연대)가	대선연대/NNG+)/SS+가/JKS
20일	20/SN+일/NNB
각	각/MM
정당과	정당/NNG+과/JC
대선후보들에게	대선후보/NNG+들/XSN+에게/JKB
장애계가	장애/NNG+계/XSN+가/JKS
요구한	요구하/VV+ㄴ/ETM
12대	12/SN+대/NNB
공약에	공약/NNG+에/JKB
대해	대하/VV+여/EC
향후	향후/NNG
국정	국정/NNG
운영에	운영/NNG+에/JKB
반영할	반영하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
약속하는	약속하/VV+는/ETM
‘장애계	‘/SN+장애/NNG+계/XSN
12대	12/SN+대/NNB
요구	요구/NNG
공약	공약/NNG
협약식’을	협약/NNG+식/XSN+’/SL+을/JKO
제안했다	제안하/VV+였/EP+다/EC

이는	이/NP+는/JX
그동안의	그동안/NNG+의/JKG
여러	여러/MM
선거에서	선거/NNG+에서/JKB
보았듯이	보/VV+았/EP+듯이/EC
후보들은	후보/NNG+들/XSN+은/JX
각계각층의	각계각층/NNG+의/JKG
요구에	요구/NNG+에/JKB
언제나	언제나/MAG
긍정적인	긍정적/NNG+이/VCP+ㄴ/ETM
답변으로	답변/NNG+으로/JKB
일관해	일관하/VV+여/EC
왔지만	오/VX+았/EP+지만/EC
실제	실제/NNG
삶에는	삶/NNG+에/JKB+는/JX
큰	크/VA+ㄴ/ETM
변화가	변화/NNG+가/JKS
없는	없/VA+는/ETM
빈	비/VV+ㄴ/ETM
공약이었다는	공약/NNG+이/VCP+었/EP+다는/ETM
것	것/NNB

장애계	장애/NNG+계/XSN
단체들로	단체/NNG+들/XSN+로/JKB
구성된	구성되/VV+ㄴ/ETM
대선연대는	대선연대/NNG+는/JX
최근까지	최근/NNG+까지/JX
수차례의	수차례/NNG+의/JKG
회의를	회의/NNG+를/JKO
거친	거치/VV+ㄴ/ETM
끝에	끝/NNG+에/JKB
‘장애계	‘/SN+장애/NNG+계/XSN
12대	12/SN+대/NNB
요구	요구/NNG
공약’을	공약/NNG+’/SL+을/JKO
마련했다	마련하/VV+였/EP+다/EC

여기에는	여기/NP+에/JKB+는/JX
장애인권리보장법제정·장애등급제	장애인권리보장법제정/NNG+·/SP+장애등급/NNG+제/XSN
폐지,	폐지/NNG+,/SP
장애인활동지원	장애인활동지원/NNG
24시간	24/SN+시간/NNB
보장,	보장/NNG+,/SP
발달장애인법	발달장애인법/NNG
제정,	제정/NNG+,/SP
한국수화언어기본법	한국/NNP+수화언어기본법/NNG
제정·농교육	제정/NNG+·/SP+농교육/NNG
환경개선,	환경개선/NNG+,/SP
장애인연금	장애인연금/NNG
인상과	인상/NNG+과/JC
대상	대상/NNG
확대	확대/NNG
등이	등/NNB+이/JKS
담겨	담기/VV+어/EC
있다	있/VX+다/EF

대선연대는	대선연대/NNG+는/JX
“12대	“/SL+12/SN+대/NNG
요구	요구/NNG
공약은	공약/NNG+은/JX
대선	대선/NNG
후보가	후보/NNG+가/JKS
차기	차기/NNG
정부에서	정부/NNG+에서/JKB
최우선	최우선/NNG
국정과제로	국정과제/NNG+로/JKB
선정해	선정하/VV+여/EC
이행해야할	이행하/VV+여야/EC+하/VX+ㄹ/ETM
중요한	중요하/VA+ㄴ/ETM
정책	정책/NNG
