문재인,	문재인/NNG+,/SP
“활동보조서비스	“/SL+활동보조서비스/NNG
대상·시간	대상/NNG+·/SP+시간/NNG
확대”	확대/NNG+”/SN

민주통합당	민주통합당/NNP
문재인	문재/NNG+이/VCP+ㄴ/ETM
대선후보가	대선후보/NNG+가/JKS
1급	1/SN+급/NNG
장애인에게만	장애인/NNG+에게/JKB+만/JX
지원되는	지원/NNG+되/XSV+는/ETM
활동보조서비스의	활동보조서비스/NNG+의/JKG
대상과	대상/NNG+과/JC
턱	턱/NNG
없이	없이/MAG
부족한	부족하/VA+ㄴ/ETM
시간(급여)을	시간/NNG+(/SS+급여/NNG+)/SS+을/JKO
확대하고,	확대하/VV+고/EC+,/SP
하위소득자들이	하위소득자/NNG+들/XSN+이/JKS
활동보조를	활동보조/NNG+를/JKO
이용할	이용하/VV+ㄹ/ETM
때	때/NNG
부담해야	부담하/VV+여야/EC
하는	하/VX+는/ETM
본인부담금	본인부담금/NNG
폐지의	폐지/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
밝혔다	밝히/VV+었/EP+다/EC

문	문/NNP
후보는	후보/NNG+는/JX
27일	27/SN+일/NNB
집에	집/NNG+에/JKB
홀로	홀로/MAG
잠자다	잠자/VV+다/EC
화재로	화재/NNG+로/JKB
참변을	참변/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
여성장애인활동가	여성장애인활동가/NNG
고(故)	고/NNG+(/SS+故/SL+)/SS
김주영씨의	김주영/NNP+씨/NNB+의/JKG
빈소가	빈소/NNG+가/JKS
마련된	마련되/VV+ㄴ/ETM
한양대학병원	한양대학병원/NNP
장례식장을	장례식장/NNG+을/JKO
찾아	찾/VV+아/EC
조문하고,	조문하/VV+고/EC+,/SP
전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
박경석	박경석/NNP
상임대표	상임대표/NNG
등	등/NNB
장애인활동가들과의	장애인활동가/NNG+들/XSN+과/JKB+의/JKG
간담회를	간담회/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
