국회,	국회/NNG+,/SP
아동ㆍ여성	아동/NNG+ㆍ/SP+여성/NNG
성폭력대책특위	성폭력대책특위/NNG
구성	구성/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
박성민	박성민/NNP
기자	기자/NNG
=	=/SW
국회는	국회/NNG+는/JX
10일	10/SN+일/NNB
최근	최근/NNG
잇따른	잇따르/VV+ㄴ/ETM
흉악	흉악/NNG
성범죄에	성범죄/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
종합대책을	종합대책/NNG+을/JKO
논의하기	논의하/VV+기/ETN
위해	위하/VV+여/EC
`아동ㆍ여성	`/SW+아동/NNG+ㆍ/SP+여성/NNG
대상	대상/NNG
성폭력대책	성폭력대책/NNG
특별위원회'를	특별위원회/NNG+'/SS+를/JKO
구성했다	구성하/VV+였/EP+다/EC

국회는	국회/NNG+는/JX
이날	이날/NNG
본회의에서	본회의/NNG+에서/JKB
운영위로부터	운영위/NNG+로부터/JKB
제출된	제출되/VV+ㄴ/ETM
특위	특위/NNG
구성안을	구성안/NNG+을/JKO
재석	재석/NNG
191명	191/SN+명/NNB
가운데	가운데/NNG
찬성	찬성/NNG
190명,	190/SN+명/NNB+,/SP
기권	기권/NNG
1명으로	1/SN+명/NNB+으로/JKB
통과시켰다	통과/NNG+시키/XSV+었/EP+다/EF

특위는	특위/NNG+는/JX
아동과	아동/NNG+과/JC
여성을	여성/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
하는	하/VV+는/ETM
성폭력을	성폭력/NNG+을/JKO
근절하기	근절하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
종합적이고	종합적/NNG+이/VCP+고/EC
근본적인	근본적/NNG+이/VCP+ㄴ/ETM
대책을	대책/NNG+을/JKO
마련하는데	마련하/VV+는/ETM+데/NNB
활동의	활동/NNG+의/JKG
초점을	초점/NNG+을/JKO
맞출	맞추/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

이를	이/NP+를/JKO
위해	위하/VV+여/EC
성폭력범죄의	성폭력범죄/NNG+의/JKG
처벌	처벌/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
특례법,	특례법/NNG+,/SP
아동ㆍ청소년의	아동/NNG+ㆍ/SP+청소년/NNG+의/JKG
성보호에	성보호/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률,	법률/NNG+,/SP
성폭력방지	성폭력방지/NNG
및	및/MAG
피해자보호	피해자보호/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
법률,	법률/NNG+,/SP
특정	특정/NNG
범죄자에	범죄자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
위치추적	위치추/NNG+적/XSN
전자장치	전자장치/NNG
부착	부착/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
법률,	법률/NNG+,/SP
성폭력범죄자의	성폭력범죄자/NNG+의/JKG
성충동	성충동/NNP
약물치료에	약물치료/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률	법률/NNG
등	등/NNB
관련	관련/NNG
법률을	법률/NNG+을/JKO
보완할	보완하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다	보일/VV+ㄴ다/EF

특위는	특위/NNG+는/JX
18명으로	18/SN+명/NNB+으로/JKB
구성됐으며	구성되/VV+었/EP+으며/EC
활동기한은	활동기한/NNG+은/JX
오는	오/VV+는/ETM
12월9일까지	12/SN+월/NNB+9/SN+일/NNB+까지/JX
3개월간이다	3/SN+개월/NNB+간/XSN+이/VCP+다/EC

위원장은	위원장/NNG+은/JX
여야	여야/NNG
합의에	합의/NNG+에/JKB
따라	따르/VV+아/EC
민주통합당	민주통합당/NNP
의원이	의원/NNG+이/JKS
맡게	맡/VV+게/EC
된다	되/VV+ㄴ다/EF

민주당	민주당/NNP
박기춘	박기춘/NNP
원내수석부대표는	원내수석부대표/NNG+는/JX
"가해자	"/SS+가해자/MAG
처벌을	처벌/NNG+을/JKO
강화하는	강화하/VV+는/ETM
방안	방안/NNG
외에도	외/NNB+에/JKB+도/JX
우범자	우범자/NNG
지속적	지속적/NNG
관리,	관리/NNG+,/SP
피해자	피해자/NNG
체계적	체계적/NNG
지원,	지원/NNG+,/SP
지역사회	지역사회/NNG
안전망	안전망/NNG
구축	구축/NNG
강화	강화/NNG
등	등/NNB
다각적인	다각적/NNG+이/VCP+ㄴ/ETM
대책	대책/NNG
마련이	마련/NNG+이/JKS
요구되고	요구되/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

min22@yna	min/SL+22/SN+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
