"부모	"/SS+부모/NNG
사망	사망/NNG
시	시/NNG
장애아동에게	장애아동/NNG+에게/JKB
보험금	보험금/NNG
지급"	지급/NNG+"/SS

장애아동을	장애아동/NNG+을/JKO
부양하는	부양하/VV+는/ETM
보호자가	보호자/NNG+가/JKS
사망하거나	사망하/VV+거나/EC
부양능력의	부양능력/NNG+의/JKG
상실로	상실/NNG+로/JKB
자녀를	자녀/NNG+를/JKO
보호할	보호하/VV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
됐을	되/VV+었/EP+을/ETM
경우를	경우/NNG+를/JKO
대비해	대비하/VV+여/EC
장애아동에게	장애아동/NNG+에게/JKB
보험금을	보험금/NNG+을/JKO
지급할	지급하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
법안이	법안/NNG+이/JKS
국회에	국회/NNG+에/JKB
제출됐다	제출되/VV+었/EP+다/EF

민주통합당	민주통합당/NNP
김우남	김우남/NNP
의원은	의원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
이	이/NP
같은	같/VA+은/ETM
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
‘장애아동	‘/SN+장애아동/NNG
특별보호연금보험법안’을	특별보호연금보험법안/NNG+’/SL+을/JKO
발의했다	발의하/VV+였/EP+다/EF

이	이/MM
법안에는	법안/NNG+에/JKB+는/JX
‘장애아동	‘/SL+장애아동/NNG
특별보호연금보험’을	특별보호연금보험/NNG+’/SL+을/JKO
명시,	명시/NNG+,/SP
일정액의	일정액/NNG+의/JKG
보험료를	보험료/NNG+를/JKO
납부한보호자의	납부하/VV+ㄴ/ETM+보호자/NNG+의/JKG
장애아동에게는	장애아동/NNG+에게/JKB+는/JX
보호자가	보호자/NNG+가/JKS
사망하거나	사망하/VV+거나/EC
부양능력	부양능력/NNG
상실	상실/NNG
시	시/NNG
연금	연금/NNG
등의	등/NNB+의/JKG
보험금을	보험금/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
돼	되/VV+어/EC
있다	있/VX+다/EF

또한	또한/MAG
장애아동의	장애아동/NNG+의/JKG
생활안정	생활안정/NNG
및	및/MAG
권익보호를	권익보호/NNG+를/JKO
위해	위하/VV+여/EC
보험가입자	보험가입자/NNG
및	및/MAG
수급권자에	수급권자/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
기록의	기록/NNG+의/JKG
관리·유지,	관리/NNG+·/SP+유지/NNG+,/SP
보험료	보험료/NNG
징수	징수/NNG
및	및/MAG
보험급여의	보험급여/NNG+의/JKG
결정	결정/NNG
및	및/MAG
지급	지급/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
사업을	사업/NNG+을/JKO
수행하고,	수행하/VV+고/EC+,/SP
보험회사	보험회사/NNG
등에	등/NNB+에/JKB
위탁할	위탁하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

보험가입자는	보험가입자/NNG+는/JX
장애아동의	장애아동/NNG+의/JKG
보호자	보호자/NNG
중	중/NNB
1명으로	1/SN+명/NNB+으로/JKB
하며,	하/VV+며/EC+,/SP
보험수급자는	보험수급/NNG+자/XSN+는/JX
보험가입자의	보험가입자/NNG+의/JKG
장애아동이	장애아동/NNG+이/JKC
된다	되/VV+ㄴ다/EF

보험사업자는	보험사업자/NNG+는/JX
보험가입자가	보험가입자/NNG+가/JKC
사망	사망/NNG
또는	또는/MAG
부양능력을	부양능력/NNG+을/JKO
상실한	상실하/VV+ㄴ/ETM
경우	경우/NNG
보험수급자인	보험수급/NNG+자/XSN+이/VCP+ㄴ/ETM
해당	해당/NNG
장애아동에게	장애아동/NNG+에게/JKB
생존기간	생존기간/NNG
동안	동안/NNG
매월	매월/MAG
일정액의	일정액/NNG+의/JKG
보험금을	보험금/NNG+을/JKO
지급하도록	지급하/VV+도록/EC
한다	하/VX+ㄴ다/EF

특히	특히/MAG
국가는	국가/NNG+는/JX
보험가입자가	보험가입자/NNG+가/JKC
부담하는	부담하/VV+는/ETM
보험료	보험료/NNG
중	중/NNB
100분의	100/SN+분/XSN+의/JKG
50을	50/SN+을/JKO
지원하고,	지원하/VV+고/EC+,/SP
보험사업자에게	보험사업자/NNG+에게/JKB
보험의	보험/NNG+의/JKG
운영	운영/NNG
등에	등/NNB+에/JKB
필요한	필요하/VA+ㄴ/ETM
비용의	비용/NNG+의/JKG
전부,	전부/NNG+,/SP
일부	일부/NNG
지원할	지원하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해야	하/VX+여야/EC
한다	하/VX+ㄴ다/EF

한편	한편/MAG
국회는	국회/NNG+는/JX
오는	오/VV+는/ETM
24일까지	24/SN+일/NNB+까지/JX
국회	국회/NNG
입법예고	입법예고/NNG
홈페이지(http://pal	홈페이지/NNG+(/SS+http/SL+:///SP+pal/SL

assembly	assembly/SL

go	go/SL

kr)에서	kr/SL+)/SS+에서/JKB
이	이/MM
법안과	법안/NNG+과/JKB
관련된	관련되/VV+ㄴ/ETM
국민의	국민/NNG+의/JKG
의견을	의견/NNG+을/JKO
받고	받/VV+고/EC
있다	있/VX+다/EC
