저소득·시설	저소득/NNG+·/SP+시설/NNG
장애인	장애인/NNG
부양의무제	부양의무제/NNG
적용	적용/NNG
제외	제외/NNG

저소득층	저소득층/NNG
중증장애인과	중증장애인/NNG+과/JC
시설	시설/NNG
장애인의	장애인/NNG+의/JKG
자립생활	자립생활/NNG
지원을	지원/NNG+을/JKO
위해	위하/VV+여/EC
부양의무제	부양의무제/NNG
적용을	적용/NNG+을/JKO
제외하는	제외하/VV+는/ETM
법안이	법안/NNG+이/JKS
발의됐다	발의되/VV+었/EP+다/EF

민주통합당	민주통합당/NNP
김용익	김용익/NNP
의원은	의원/NNG+은/JX
이	이/NP
같은	같/VA+은/ETM
내용의	내용/NNG+의/JKG
'국민기초생활보장법	'/SS+국민기초생활보장법/NNG
개정안'을	개정안/NNG+'/SS+을/JKO
발의했다고	발의하/VV+였/EP+다고/EC
1일	1/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

현재	현재/MAG
수급권자가	수급권자/NNG+가/JKS
실질적	실질적/NNG
가족관계의	가족관계/NNG+의/JKG
단절에도	단절/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
주민등록상	주민등록/NNG+상/XSN
소득이	소득/NNG+이/JKS
있는	있/VA+는/ETM
부양가족이	부양가족/NNG+이/JKS
있다는	있/VA+다는/ETM
이유만으로	이유/NNG+만/JX+으로/JKB
수급권을	수급권/NNG+을/JKO
박탈해	박탈하/VV+여/EC
수급권자가	수급권/NNG+자/XSN+가/JKS
자살하는	자살하/VV+는/ETM
등	등/NNB
사회적인	사회적/NNG+이/VCP+ㄴ/ETM
문제가	문제/NNG+가/JKS
발생하고	발생하/VV+고/EC
있다	있/VX+다/EC

특히	특히/MAG
장애인의	장애인/NNG+의/JKG
경우	경우/NNG
장애인복지시설에서	장애인복지시설/NNG+에서/JKB
수십년을	수십/NR+년/NNB+을/JKO
수급자로	수급/NNG+자/XSN+로/JKB
지내다가	지내/VV+다가/EC
사회로	사회/NNG+로/JKB
나와	나오/VV+아/EC
자립하고자	자립하/VV+고자/EC
할	하/VX+ㄹ/ETM
때	때/NNG
부양의무제로	부양의무제/NNG+로/JKB
인해	인하/VV+여/EC
기초수급권이	기초수급권/NNG+이/JKS
박탈되는	박탈되/VV+는/ETM
사례도	사례/NNG+도/JX
발생되고	발생되/VV+고/EC
있는	있/VX+는/ETM
상황	상황/NNG

개정안은	개정안/NNG+은/JX
장애인복지지설에서	장애인복지지/NNG+설/XSN+에서/JKB
수급권을	수급권/NNG+을/JKO
갖고	갖/VV+고/EC
있던	있/VX+던/ETM
장애인이	장애인/NNG+이/JKS
시설에서	시설/NNG+에서/JKB
나와	나오/VV+아/EC
자립생활을	자립생활/NNG+을/JKO
하고자	하/VV+고자/EC
하는	하/VX+는/ETM
경우와	경우/NNG+와/JC
중증장애인이	중증장애인/NNG+이/JKS
부양의무자가	부양의무자/NNG+가/JKS
있다는	있/VA+다는/ETM
이유만으로	이유/NNG+만/JX+으로/JKB
수급권을	수급권/NNG+을/JKO
박탈할	박탈하/VV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
했다	하/VX+였/EP+다/EF

부양의무제	부양의무제/NNG
적용	적용/NNG
제외	제외/NNG
대상으로	대상/NNG+으로/JKB
규정한	규정하/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

김	김/NNP
의원은	의원/NNG+은/JX
개정안이	개정안/NNG+이/JKS
통과되면	통과되/VV+면/EC
현재	현재/MAG
장애인연금법에	장애인연금법/NNG+에/JKB
의해	의하/VV+여/EC
지원받고	지원/NNG+받/VV+고/EC
있는	있/VX+는/ETM
중증장애인	중증장애인/NNG
31만여명	31/SN+만/NR+여/XSN+명/NNB
중	중/NNB
이미	이미/MAG
수급을	수급/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
기초수급자	기초수급/NNG+자/XSN
14만명을	14/SN+만/NR+명/NNB+을/JKO
제외한	제외하/VV+ㄴ/ETM
최대	최대/NNG
17만명이	17/SN+만/NR+명/NNB+이/JKS
기초수급권을	기초수급권/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
전망하고	전망하/VV+고/EC
있다	있/VX+다/EC

김	김/NNP
의원은	의원/NNG+은/JX
“장애인	“/SL+장애인/NNG
정책이	정책/NNG+이/JKS
'시설보호'에서	'/SS+시설보호/NNG+'/SS+에서/JKB
‘탈시설’을	‘/SN+탈시설/NNG+’/SL+을/JKO
통한	통하/VV+ㄴ/ETM
장애인의	장애인/NNG+의/JKG
자립생활을	자립생활/NNG+을/JKO
지원하는	지원하/VV+는/ETM
방향으로	방향/NNG+으로/JKB
변해야	변하/VV+여야/EC
한다”며	하/VX+ㄴ다”며/EC
“소득과	“/SN+소득/NNG+과/JC
재산이	재산/NNG+이/JKS
없는	없/VA+는/ETM
장애인의	장애인/NNG+의/JKG
탈시설을	탈시설/NNG+을/JKO
지원하기	지원하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
최소한의	최소한/NNG+의/JKG
조건으로	조건/NNG+으로/JKB
기초법상	기초법/NNG+상/XSN
‘부양의무제’	‘/SL+부양의무제/NNG+’/SL
적용을	적용/NNG+을/JKO
제외해야	제외하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

이어	이어/MAG
"11월	"/SS+11/SN+월/NNB
보건복지위원회에	보건복지위원회/NNG+에/JKB
이	이/MM
법안을	법안/NNG+을/JKO
상정해	상정하/VV+여/EC
정부가	정부/NNG+가/JKS
제출한	제출하/VV+ㄴ/ETM
2013년	2013/SN+년/NNB
예산안	예산안/NNG
심사와	심사/NNG+와/JC
연계해	연계하/VV+여/EC
통과시킬	통과/NNG+시키/XSV+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF
