아태장애인연합	아태장애인연합/NNG
공식	공식/NNG
‘출범’	‘/SN+출범/NNG+’/SL

‘제3차	‘/SL+제/XPN+3/SN+차/NNB
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년’의	10/SN+년/NNB+’/SL+의/JKG
장애인	장애인/NNG
당사자	당사자/NNG
참여를	참여/NNG+를/JKO
위해	위하/VV+여/EC
조직됐던	조직되/VV+었/EP+던/ETM
아태장애인연합(이하	아태장애인연합/NNG+(/SS+이하/NNG
AP-DPO	AP/SL+-/SO+DPO/SL
United)이	United/SL+)/SS+이/JKS
공식	공식/NNG
출범했다	출범하/VV+였/EP+다/EF

제1차	제/XPN+1/SN+차/NNB
아태장애인연합대회를	아태장애인연합대회/NNG+를/JKO
주최한	주최하/VV+ㄴ/ETM
한국장애인단체총연합회는	한국장애인단체총연합회/NNP+는/JX
27일	27/SN+일/NNB
오후	오후/NNG
인천	인천/NNP
송도컨벤시아에서	송도컨벤시아/NNP+에서/JKB
AP-DPO	AP/SL+-/SO+DPO/SL
United	United/SL
창립총회	창립총회/NNG
및	및/MAG
출범식을	출범식/NNG+을/JKO
가졌다	가지/VV+었/EP+다/EC

AP-DPO	AP/SL+-/SO+DPO/SL
United는	United/SL+는/JX
‘제3차	‘/SN+제/XPN+3/SN+차/NNB
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년’을	10/SN+년/NNB+’/SL+을/JKO
보다	보다/MAG
효과적으로	효과적/NNG+으로/JKB
이행하기	이행하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
아태지역	아태/NNP+지역/NNG
장애인	장애인/NNG
당사자	당사자/NNG
단체로	단체/NNG+로/JKB
제3차의	제/XPN+3/SN+차/NNB+의/JKG
주요	주요/NNG
주체로서	주체/NNG+로서/JKB
조직적으로	조직적/NNG+으로/JKB
참여하고자	참여하/VV+고자/EC
조직됐다	조직되/VV+었/EP+다/EF

2010년	2010/SN+년/NNB
6월	6/SN+월/NNB
아태지역	아태/NNP+지역/NNG
장애인의	장애인/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
10년	10/SN+년/NNB
준비를	준비/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
태국회의에서	태국회의/NNP+에서/JKB
‘아태장애인연합회’를	‘/SN+아태장애인연합회’/NNG+를/JKO
최초로	최초/NNG+로/JKB
개최해	개최하/VV+여/EC
남아시아,	남아시아/NNP+,/SP
동남아시아	동남아시아/NNP
등	등/NNB
지역별로	지역/NNG+별/XSN+로/JKB
분과토론을	분과토론/NNG+을/JKO
진행한바	진행하/VV+ㄴ/ETM+바/NNB
있다	있/VA+다/EF

이후	이후/NNG
2011년	2011/SN+년/NNB
8월	8/SN+월/NNB
인도	인도/NNP
뉴델리에서	뉴델리/NNP+에서/JKB
개최된	개최되/VV+ㄴ/ETM
‘국제장애인권리협약	‘/SN+국제장애인권리협약/NNG
비준과	비준/NNG+과/JC
이행을	이행/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
인도	인도/NNP
뉴델리	뉴델리/NNP
워크숍’에서	워크숍/NNG+’/SL+에서/JKB
아태장애인연맹	아태장애인연맹/NNG
가맹국	가맹국/NNG
회원들과	회원/NNG+들/XSN+과/JC
AP-DPO	AP/SL+-/SO+DPO/SL
United	United/SL
결성의	결성/NNG+의/JKG
필요성을	필요성/NNG+을/JKO
공유했다	공유하/VV+였/EP+다/EF

AP-DPO	AP/SL+-/SO+DPO/SL
United	United/SL
회장으로	회장/NNG+으로/JKB
선출된	선출되/VV+ㄴ/ETM
장총련	장총련/NNP
서인환	서인환/NNP
사무총장	사무총장/NNG

특히	특히/MAG
2011년	2011/SN+년/NNB
9월,	9/SN+월/NNB+,/SP
제3차	제/XPN+3/SN+차/NNB
아태장애인	아태장애인/NNG
10년	10/SN+년/NNB
준비를	준비/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
연대회의가	연대회의/NNG+가/JKS
주최한	주최하/VV+ㄴ/ETM
‘AP-DPO	‘AP/SL+-/SO+DPO/SL
United	United/SL
결성을	결성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
전진대회’에서	전진대회/NNG+’/SL+에서/JKB
AP-DPO	AP/SL+-/SO+DPO/SL
United	United/SL
사무국을	사무국/NNG+을/JKO
방콕(AP	방콕/NNP+(/SS+AP/SL
DPI)에	DPI/SL+)/SS+에/JKB
두도록	두/VV+도록/EC
하고	하/VX+고/EC
지역과	지역/NNG+과/JC
유형을	유형/NNG+을/JKO
고려해	고려하/VV+여/EC
총	총/MM
10명의	10/SN+명/NNB+의/JKG
준비위원으로	준비위원/NNG+으로/JKB
준비위원회를	준비위원회/NNG+를/JKO
구성했다	구성하/VV+였/EP+다/EF

이어	이어/MAG
올해	올해/NNG
3월	3/SN+월/NNB
에스캅	에스캅/NNG
정부간	정부/NNG+간/NNB
고위급	고위급/NNG
지역사전준비회의와	지역사전준비회의/NNG+와/JC
5뤌	5/SN+뤌/SL
에스캅	에스캅/NNG
68차	68/SN+차/NNB
총회에	총회/NNG+에/JKB
참석해	참석하/VV+여/EC
준비위원회	준비위원회/NNG
및	및/MAG
AP-DPO	AP/SL+-/SO+DPO/SL
United	United/SL
사무국과의	사무국/NNG+과/JKB+의/JKG
회의를	회의/NNG+를/JKO
통해	통하/VV+여/EC
10월	10/SN+월/NNB
AP-DPO	AP/SL+-/SO+DPO/SL
United	United/SL
출범을	출범/NNG+을/JKO
공식화	공식화/NNG
하기로	하/VV+기/ETN+로/JKB
결정했다	결정하/VV+였/EP+다/EC

AP-DPO	AP/SL+-/SO+DPO/SL
United는	United/SL+는/JX
향후	향후/NNG
지속적으로	지속적/NNG+으로/JKB
아태지역	아태/NNP+지역/NNG
장애인당사자단체연합	장애인당사자단체연합/NNG
조직화	조직화/NNG
추진,	추진/NNG+,/SP
단체간	단체/NNG+간/NNB
국제교류협력,	국제교류협력/NNG+,/SP
정기적인	정기적/NNG+이/VCP+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
10년	10/SN+년/NNB
평가,	평가/NNG+,/SP
활동가	활동가/NNG
양성	양성/NNG
및	및/MAG
파견사업	파견사업/NNG
등을	등/NNB+을/JKO
추진할	추진하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

한편	한편/MAG
창립총회에서는	창립총회/NNG+에서/JKB+는/JX
한국장애인단체총연합회	한국장애인단체총연합회/NNP
서인환	서인환/NNP
사무총장이	사무총장/NNG+이/JKS
AP-DPO	AP/SL+-/SO+DPO/SL
United	United/SL
회장으로	회장/NNG+으로/JKB
선출됐다	선출되/VV+었/EP+다/EF

임기는	임기/NNG+는/JX
5년이다	5/SN+년/NNB+이/VCP+다/EC

지금까지는	지금/NNG+까지는/JX
한국장애인연맹	한국/NNP+장애인연맹/NNG
김효진	김효진/NNP
부회장이	부회장/NNG+이/JKS
AP-DPO	AP/SL+-/SO+DPO/SL
United	United/SL
