개발원,	개발원/NNG+,/SP
장애인정책	장애인정책/NNG
전문기관	전문기관/NNG
역할	역할/NNG
'미흡'	'/SS+미흡/NNG+'/SS

장애인	장애인/NNG
정책	정책/NNG
전문기관인	전문기관/NNG+이/VCP+ㄴ/ETM
한국장애인개발원의	한국장애인개발원/NNP+의/JKG
역할이	역할/NNG+이/JKS
미흡하다는	미흡하/VA+다는/ETM
지적이	지적/NNG+이/JKS
나왔다	나오/VV+았/EP+다/EF

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
소속	소속/NNG
김정록	김정록/NNP
의원(새누리당)은	의원/NNG+(/SS+새누리당/NNP+)/SS+은/JX
15일	15/SN+일/NNB
국정감사에서	국정감사/NNG+에서/JKB
“개발원에서	“/SN+개/NNB+발원/NNG+에서/JKB
발간한	발간하/VV+ㄴ/ETM
연구보고서	연구보고서/NNG
자료집	자료집/NNG
현황을	현황/NNG+을/JKO
보면	보/VV+면/EC
2010년	2010/SN+년/NNB
51권에서	51/SN+권/NNB+에서/JKB
지난해	지난해/NNG
64권으로	64/SN+권/NNB+으로/JKB
증가하다가	증가하/VV+다가/EC
올해	올해/NNG
12권으로	12/SN+권/NNB+으로/JKB
감소했고,	감소하/VV+였/EP+고/EC+,/SP
개발원	개발/NNG+원/XSN
자체	자체/NNG
연구도	연구/NNG+도/JX
올해	올해/NNG
22권으로	22/SN+권/NNB+으로/JKB
예년과	예년/NNG+과/JKB
변동이	변동/NNG+이/JKS
없다”면서	없/VA+다/EC+”/VX+면서/EC
“개발원이	“/SN+개/NNB+발원/NNG+이/JKS
아직까지	아직/MAG+까지/JX
복지부로부터	복지부/NNG+로부터/JKB
장애인	장애인/NNG
실태조사나	실태조사/NNG+나/JC
국가적	국가적/NNG
통계조사	통계조사/NNG
등	등/NNB
장애인	장애인/NNG
정책	정책/NNG
관련	관련/NNG
사업	사업/NNG
위임을	위임/NNG+을/JKO
충분히	충분히/MAG
받지	받/VV+지/EC
못하고	못하/VX+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
김	김/NNP
의원은	의원/NNG+은/JX
“올해	“/SL+올해/NNG
초	초/NNB
조직개편을	조직개편/NNG+을/JKO
통해	통하/VV+여/EC
개발원	개발/NNG+원/XSN
내	내/NNB
정책개발	정책개발/NNG
연구실	연구실/NNG
산하에	산하/NNG+에/JKB
3개	3/SN+개/NNB
연구부를	연구부/NNG+를/JKO
두었는데,	두/VV+었/EP+는데/EC+,/SP
장애인	장애인/NNG
정책	정책/NNG
연구를	연구/NNG+를/JKO
총괄하는	총괄하/VV+는/ETM
실장의	실장/NNG+의/JKG
전공이	전공/NNG+이/JKS
건축학인	건축학/NNG+이/VCP+ㄴ/ETM
것은	것/NNB+은/JX
장애인	장애인/NNG
정책연구를	정책연구/NNG+를/JKO
강화하겠다는	강화하/VV+겠/EP+다는/ETM
변	변/NNP
원장의	원장/NNG+의/JKG
입장과	입장/NNG+과/JKB
어울리지	어울리/VV+지/EC
않아	않/VX+아/EC
보인다”고	보일/VV+ㄴ다/EC+”/VV+고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

김	김/NNP
의원은	의원/NNG+은/JX
“개발원이	“/SN+개/NNB+발원/NNG+이/JKS
장애인	장애인/NNG
정책	정책/NNG
전문기관으로서	전문기관/NNG+으로서/JKB
위상을	위상/NNG+을/JKO
정립하고,	정립하/VV+고/EC+,/SP
신뢰를	신뢰/NNG+를/JKO
확보할	확보하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
최선의	최선/NNG+의/JKG
노력을	노력/NNG+을/JKO
해달라”고	하/VV+여/EC+달/VX+라”고/EC
당부했다	당부하/VV+였/EP+다/EC

개발원	개발/NNG+원/XSN
변용찬	변용찬/NNP
원장은	원장/NNG+은/JX
“그	“/SN+그/MM
직원(실장)은	직원/NNG+(/SS+실장/NNG+)/SS+은/JX
편의증진이나	편의증진/NNG+이나/JC
BF	BF/SL
쪽에	쪽/NNB+에/JKB
전문성이	전문/NNG+성/XSN+이/JKS
있다”면서	있/VA+다/EC+”/VV+면서/EC
“최선을	“/SL+최선/NNG+을/JKO
다	다/MAG
하겠다”고	하/VV+겠/EP+다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC
