'선거법위반'	'/SS+선거법위반/NNG+'/SS
김정록	김정록/NNP
항소심도	항소심/NNG+도/JX
벌금	벌금/NNG
90만원	90/SN+만/NR+원/NNB

(전주=연합뉴스)	(/SS+전주/NNP+=/SW+연합뉴스/NNP+)/SS
김동철	김동철/NNP
기자	기자/NNG
=	=/SW
선거법	선거법/NNG
위반	위반/NNG
혐의로	혐의/NNG+로/JKB
재판을	재판/NNG+을/JKO
받는	받/VV+는/ETM
김정록	김정록/NNP
새누리당	새누리당/NNP
비례대표	비례대표/NNG
국회의원이	국회의원/NNG+이/JKS
일단은	일단/MAG+은/JX
의원직을	의원직/NNG+을/JKO
유지할	유지하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다	되/VV+었/EP+다/EC

원심과	원심/NNG+과/JC
마찬가지로	마찬가지/NNG+로/JKB
항소심에서	항소심/NNG+에서/JKB
벌금	벌금/NNG
90만	90/SN+만/NR
원을	원/NNB+을/JKO
선고받았기	선고/NNG+받/VV+았/EP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

벌금	벌금/NNG
100만	100/SN+만/NR
원을	원/NNB+을/JKO
넘지	넘/VV+지/EC
않으면	않/VX+으면/EC
의원직을	의원직/NNG+을/JKO
지킬	지키/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EF

광주고법	광주/NNP+고법/NNG
전주	전주/NNP
제1형사부는	제/XPN+1/SN+형사부/NNG+는/JX
18일	18/SN+일/NNB
총선을	총선/NNG+을/JKO
앞두고	앞두/VV+고/EC
특정후보	특정후보/NNG
지지발언을	지지발언/NNG+을/JKO
한	하/VV+ㄴ/ETM
혐의(공직선거법	혐의/NNG+(/SS+공직선거법/NNG
위반)로	위반/NNG+)/SS+로/JKB
기소된	기소되/VV+ㄴ/ETM
김	김/NNP
의원에	의원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
항소심에서	항소심/NNG+에서/JKB
검찰의	검찰/NNG+의/JKG
항소를	항소/NNG+를/JKO
기각하고	기각하/VV+고/EC
벌금	벌금/NNG
90만	90/SN+만/NR
원의	원/NNB+의/JKG
원심을	원심/NNG+을/JKO
유지했다	유지하/VV+였/EP+다/EC

재판부는	재판부/NNG+는/JX
"피고인이	"/SS+피고인/NNG+이/JKS
선거법을	선거법/NNG+을/JKO
위반한	위반하/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
인정되지만,	인정되/VV+지만/EC+,/SP
한국지체장애인협회장	한국/NNP+지체장애인협회/NNG+장/XSN
신분으로	신분/NNG+으로/JKB
우발적으로	우발적/NNG+으로/JKB
지지발언한	지지/NNG+발언하/VV+ㄴ/ETM
점	점/NNG
등을	등/NNB+을/JKO
고려하면	고려하/VV+면/EC
원심의	원심/NNG+의/JKG
형은	형/NNG+은/JX
가볍지	가볍/VA+지/EC
않다"고	않/VX+다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

김	김/NNP
의원은	의원/NNG+은/JX
4·11총선을	4/SN+·/SP+11/SN+총선/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
2월	2/SN+월/NNB
16일	16/SN+일/NNB
진안군	진안군/NNP
마이산	마이산/NNP
인근	인근/NNG
식당에서	식당/NNG+에서/JKB
진안·무주·장수·임실	진안/NNP+·/SP+무주/NNG+·/SP+장수/NNP+·/SP+임실/NNG
선거구에	선거구/NNG+에/JKB
출마한	출마하/VV+ㄴ/ETM
이명노(무소속)	이명노/NNP+(/SS+무소속/NNG+)/SS
후보를	후보/NNG+를/JKO
지지하는	지지하/VV+는/ETM
발언을	발언/NNG+을/JKO
한	한/MM
혐의로	혐의/NNG+로/JKB
불구속	불구속/NNG
기소됐다	기소되/VV+었/EP+다/EC

김	김/NNP
의원은	의원/NNG+은/JX
이	이/MM
자리에서	자리/NNG+에서/JKB
"이	"/SS+이/MM
후보	후보/NNG
같은	같/VA+은/ETM
사람이	사람/NNG+이/JKS
국회에	국회/NNG+에/JKB
가야	가/VV+아야/EC
한다	하/VX+ㄴ다/EF

국회의원이	국회의원/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
우리가	우리/NP+가/JKS
힘써야	힘쓰/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

검찰은	검찰/NNG+은/JX
1심	1/SN+심/NNG
재판부가	재판부/NNG+가/JKS
벌금	벌금/NNG
90만	90/SN+만/NR
원을	원/NNB+을/JKO
선고하자	선고하/VV+자/EC
"형이	"/SS+형/NNG+이/JKS
너무	너무/MAG
가볍다"며	가볍/VA+다/EF+"/SS+며/EC
항소했다	항소하/VV+였/EP+다/EF

sollenso@yna	sollenso/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
