장애인	장애인/NNG
대상	대상/NNG
유인판매	유인판매/NNG
법으로	법/NNG+으로/JKB
규제	규제/NNG

민주통합당	민주통합당/NNP
이낙연	이낙연/NNP
의원이	의원/NNG+이/JKS
노인	노인/NNG
및	및/MAG
장애인을	장애인/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
이뤄지는	이루어지/VV+는/ETM
홍보관이나	홍보관/NNG+이나/JC
떳다방	떳다방/NNG
등의	등/NNB+의/JKG
영업	영업/NNG
형태를	형태/NNG+를/JKO
‘유인판매’로	‘/SL+유인판매/NNG+’/SL+로/JKB
규정해	규정하/VV+여/EC
법	법/NNG
규제를	규제/NNG+를/JKO
받도록	받/VV+도록/EC
하는	하/VX+는/ETM
내용의	내용/NNG+의/JKG
‘방문판매	‘/SL+방문판매/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
법률’	법률/NNG+’/SN
개정안을	개정안/NNG+을/JKO
17일	17/SN+일/NNB
발의했다	발의하/VV+였/EP+다/EF

현재	현재/MAG
노인이나	노인/NNG+이나/JC
장애인에게	장애인/NNG+에게/JKB
판매목적을	판매목적/NNG+을/JKO
은폐해	은폐하/VV+여/EC
접근하는	접근하/VV+는/ETM
행위나	행위/NNG+나/JC
홍보관	홍보/NNG+관/XSN
체험관	체험관/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
구매를	구매/NNG+를/JKO
유도하는	유도하/VV+는/ETM
행위,	행위/NNG+,/SP
강연	강연/NNG
공연	공연/NNG
관광	관광/NNG
등으로	등/NNB+으로/JKB
사람을	사람/NNG+을/JKO
모아	모으/VV+아/EC
판매하는	판매하/VV+는/ETM
행위	행위/NNG
등이	등/NNB+이/JKS
공공연하게	공공연하/VA+게/EC
이뤄지고	이루어지/VV+고/EC
있다	있/VX+다/EC

이번	이번/NNG
개정안을	개정안/NNG+을/JKO
통해	통하/VV+여/EC
소비자를	소비자/NNG+를/JKO
유인하는	유인하/VV+는/ETM
방법으로	방법/NNG+으로/JKB
제품	제품/NNG
등을	등/NNB+을/JKO
판매하는	판매하/VV+는/ETM
행위를	행위/NNG+를/JKO
‘유인판매’라고	‘/SL+유인판매/NNG+’/SL+이/VCP+라고/EC
정하고	정하/VV+고/EC
현행	현행/NNG
방문판매법의	방문판매법/NNG+의/JKG
규제를	규제/NNG+를/JKO
받도록	받/VV+도록/EC
했다	하/VX+였/EP+다/EC

이에	이/NP+에/JKB
따라	따르/VV+아/EC
판매업자는	판매업자/NNG+는/JX
공정거래위원회나	공정거래위원회/NNG+나/JC
지자체에	지자체/NNG+에/JKB
신고해야	신고하/VV+여야/EC
하고	하/VX+고/EC
판매원의	판매원/NNG+의/JKG
명부를	명부/NNG+를/JKO
작성하는	작성하/VV+는/ETM
등	등/NNB
방문판매와	방문판매/NNG+와/JKB
동일한	동일하/VA+ㄴ/ETM
규제를	규제/NNG+를/JKO
받게	받/VV+게/EC
된다	되/VV+ㄴ다/EF

또한	또한/MAG
노인이나	노인/NNG+이나/JC
장애인일	장애인/NNG+이/VCP+ㄹ/ETM
경우	경우/NNG
청약철회	청약철회/NNG
기간(구입을	기간/NNG+(/SS+구입/NNG+을/JKO
취소할	취소하/VV+ㄹ/ETM
경우의	경우/NNG+의/JKG
일정기간	일정기간/NNG
내	내/NNB
위약금이나	위약금/NNG+이나/JC
손해배상	손해배상/NNG
없이	없이/MAG
취소할	취소하/VV+ㄹ/ETM
수	수/NNB
있다)을	있/VX+다/EF+)/SS+을/JKO
현재	현재/MAG
14일에서	14/SN+일/NNB+에서/JKB
30일로	30/SN+일/NNB+로/JKB
연장했다	연장하/VV+였/EP+다/EC

한편	한편/MAG
이번	이번/NNG
개정안에는	개정안/NNG+에/JKB+는/JX
김기식·김세연·김승남·김영주·김태원·김형태·민홍철·배기운·신경민·양승조·윤후덕·이상민·전정희·최민희·최원식·한정애	김기식/NNP+·/SP+김세연/NNP+·/SP+김승남/NNP+·/SP+김영주/NNP+·/SP+김태원/NNP+·/SP+김형태/NNP+·/SP+민홍철/NNP+·/SP+배기운/NNP+·/SP+신경민/NNP+·/SP+양승조/NNP+·/SP+윤후덕/NNP+·/SP+이상민/NNP+·/SP+전정희/NNP+·/SP+최민희/NNP+·/SP+최원식/NNP+·/SP+한정애/NNP
의원	의원/NNG
등	등/NNB
총	총/MM
16명의	16/SN+명/NNB+의/JKG
참여했다	참여하/VV+였/EP+다/EF
