대선연대,	대선연대/NNG+,/SP
‘장애계	‘/SN+장애/NNG+계/XSN
12대	12/SN+대/NNB
요구	요구/NNG
공약’	공약/NNG+’/SL
발표	발표/NNG

한국장애인단체총연맹(이하	한국장애인단체총연맹/NNP+(/SS+이하/NNG
장총)과	장총/NNP+)/SS+과/JC
전국장애인차별철폐연대(이하	전/MM+국장애인차별철폐연대/NNG+(/SS+이하/NNG
전장연)를	전장연/NNP+)/SS+를/JKO
주축으로	주축/NNG+으로/JKB
한	하/VV+ㄴ/ETM
2012대선장애인연대(이하	2012/SN+대선장애인연대/NNG+(/SS+이하/NNG
대선연대)가	대선연대/NNG+)/SS+가/JKS
‘대선	‘/SN+대선/NNG
장애계	장애/NNG+계/XSN
12대	12/SN+대/NNB
요구	요구/NNG
공약’을	공약/NNG+’/SL+을/JKO
발표,	발표/NNG+,/SP
대선	대선/NNG
예비후보들에게	예비후보/NNG+들/XSN+에게/JKB
수용을	수용/NNG+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC

대선연대는	대선연대/NNG+는/JX
14일	14/SN+일/NNB
오전	오전/NNG
국회	국회/NNG
국민은행	국민은행/NNP
앞에서	앞/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고	갖/VV+고/EC
마련한	마련하/VV+ㄴ/ETM
‘대선	‘/SL+대선/NNG
장애계	장애/NNG+계/XSN
12대	12/SN+대/NNB
요구	요구/NNG
공약’에	공약’/NNG+에/JKB
대해	대하/VV+여/EC
설명했다	설명하/VV+었/EP+다/EC

대선	대선/NNG
요구	요구/NNG
공약은	공약/NNG+은/JX
지난달	지난달/NNG
12일	12/SN+일/NNB
한국장애인단체총연맹의	한국/NNP+장애인단체총연맹/NNG+의/JKG
제안으로	제안/NNG+으로/JKB
꾸려진	꾸리/VV+어/EC+지/VX+ㄴ/ETM
대선연대가	대선연대/NNG+가/JKS
수차례	수차례/NNG
회의를	회의/NNG+를/JKO
거쳐	거치/VV+어/EC
의견을	의견/NNG+을/JKO
수렴,	수렴/NNG+,/SP
종합해	종합하/VV+여/EC
마련됐다	마련되/VV+었/EP+다/EF

여기에는	여기/NP+에/JKB+는/JX
장애인권리보장법제정·장애등급제	장애인권리보장법제정/NNG+·/SP+장애등급/NNG+제/XSN
폐지,	폐지/NNG+,/SP
장애인활동지원	장애인활동지원/NNG
24시간	24/SN+시간/NNB
보장,	보장/NNG+,/SP
발달장애인법	발달장애인법/NNG
제정,	제정/NNG+,/SP
한국수화언어기본법	한국/NNP+수화언어기본법/NNG
제정	제정/NNG
및	및/MAG
농교육	농교육/NNG
환경개선,	환경개선/NNG+,/SP
장애인연금	장애인연금/NNG
인상과	인상/NNG+과/JC
대상	대상/NNG
확대,	확대/NNG+,/SP
저상버스	저상버스/NNG
100%도입과	100/SN+%/SW+도입/NNG+과/JC
특별교통수단	특별교통수단/NNG
확충이	확충/NNG+이/JKS
담겨	담기/VV+어/EC
있다	있/VX+다/EF

또한	또한/MAG
장애인	장애인/NNG
고용의무	고용의무/NNG
활성화로	활성화/NNG+로/JKB
일자리	일자리/NNG
확대,	확대/NNG+,/SP
특수교사	특수교사/NNG
법정정원	법정정원/NNG
확보,	확보/NNG+,/SP
공공임대	공공임대/NNG
확대를	확대/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
장애인	장애인/NNG
주거권	주거/NNG+권/XSN
보장,	보장/NNG+,/SP
공공의료체계	공공의료체계/NNG
강화로	강화/NNG+로/JKB
장애인	장애인/NNG
건강권	건강/NNG+권/XSN
