‘발달장애	‘/SL+발달장애/NNG
법체계	법체계/NNG
토론회’	토론회/NNG+’/SL
무산	무산/NNG
추궁	추궁/NNG

새누리당	새누리당/NNP
김정록	김정록/NNP
의원은	의원/NNG+은/JX
24일	24/SN+일/NNB
열린	열리/VV+ㄴ/ETM
보건복지위원회	보건복지위원회/NNG
전체회의에서	전체회의/NNG+에서/JKB
보건복지부가	보건복지부/NNG+가/JKS
산하기관인	산하기관/NNG+이/VCP+ㄴ/ETM
한국장애인개발원이	한국/NNP+장애인개발/NNG+원/XSN+이/JKS
계획한	계획하/VV+ㄴ/ETM
'발달장애인	'/SS+발달장애인/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
법적체계에	법적체계/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
토론회'를	토론회/NNG+'/SS+를/JKO
취소시켰다며	취소/NNG+시키/XSV+었/EP+다며/EC
문제를	문제/NNG+를/JKO
제기했다	제기하/VV+였/EP+다/EC

김	김/NNP
의원은	의원/NNG+은/JX
"7월	"/SS+7/SN+월/NNB
초	초/NNB
복지부	복지부/NNG
산하기관인	산하기관/NNG+이/VCP+ㄴ/ETM
개발원에서	개발/NNG+원/XSN+에서/JKB
발달장애인	발달장애인/NNG
지원에	지원/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법적체계를	법적체계/NNG+를/JKO
논의하는	논의하/VV+는/ETM
자리를	자리/NNG+를/JKO
가지려고	가지/VV+려고/EC
했는데	하/VX+였/EP+는데/EC
복지부	복지부/NNG
보고	보고/NNG
과정에서	과정/NNG+에서/JKB
취소됐다	취소되/VV+었/EP+다/EF

심지어	심지어/MAG
발제자와	발제자/NNG+와/JC
토론자,	토론자/NNG+,/SP
장소까지	장소/NNG+까지/JX
섭외가	섭외/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
토론회를	토론회/NNG+를/JKO
취소시킨	취소/NNG+시키/XSV+ㄴ/ETM
이유가	이유/NNG+가/JKS
무엇이냐"면서	무엇/NP+이/VCP+냐/EF+"/SS+면서/EC
"취소된	"/SS+취소되/VV+ㄴ/ETM
이유가	이유/NNG+가/JKS
국회	국회/NNG
1호	1/SN+호/NNB
법안으로	법안/NNG+으로/JKB
발의	발/NNG+의/JKG
된	되/VV+ㄴ/ETM
발달장애인법	발달장애인법/NNG
