재활협회,	재활협회/NNG+,/SP
제4차	제/XPN+4/SN+차/NNB
장애인정책	장애인정책/NNG
5개년	5/SN+개년/NNB
의제	의제/NNG
발표	발표/NNG

한국장애인재활협회는	한국/NNP+장애인재활협회/NNG+는/JX
21일	21/SN+일/NNB
오후	오후/NNG
여의도	여의도/NNP
이룸센터	이룸센터/NNG
누리홀에서	누리홀/NNG+에서/JKB
제41회	제/XPN+41/SN+회/NNB
RI	RI/SL
Korea	Korea/SL
재활대회를	재활대회/NNG+를/JKO
갖고	갖/VV+고/EC
‘제4차	‘/SL+제/XPN+4/SN+차/NNB
장애인정책발전	장애인정책발전/NNG
5개년	5/SN+개년/NNB
계획(2013-2017)’에	계획/NNG+(/SS+2013/SN+-/SO+2017/SN+)/SS+’/SL+에/JKB
필요한	필요하/VA+ㄴ/ETM
민간차원의	민간차원/NNG+의/JKG
의제(과제)를	의제/NNG+(/SS+과제/NNG+)/SS+를/JKO
개발해	개발하/VV+여/EC
발표했다	발표하/VV+였/EP+다/EC

재활협회는	재활협회/NNG+는/JX
‘4차	‘/SL+4/SN+차/NNB
5개년	5/SN+개년/NNB
계획’	계획/NNG+’/SL
의제	의제/NNG
개발을	개발/NNG+을/JKO
위해	위하/VV+여/EC
RI	RI/SL
Korea	Korea/SL
위원과	위원/NNG+과/JC
기타	기타/NNG
관련	관련/NNG
전문가	전문가/NNG
등	등/NNB
총	총/MM
36명으로	36/SN+명/NNB+으로/JKB
의제개발위원회를	의제개발위원회/NNG+를/JKO
구성,	구성/NNG+,/SP
4월	4/SN+월/NNB
1차	1/SN+차/NNB
위원회에서	위원회/NNG+에서/JKB
나운환	나운환/NNP
위원을	위원/NNG+을/JKO
전체	전체/NNG
위원장으로	위원장/NNG+으로/JKB
선출하고	선출하/VV+고/EC
최근까지	최근/NNG+까지/JX
총	총/MM
3차례의	3/SN+차례/NNG+의/JKG
회의를	회의/NNG+를/JKO
거쳐	거치/VV+어/EC
8가지	8/SN+가지/NNB
영역에서	영역/NNG+에서/JKB
총	총/MM
81개	81/SN+개/NNB
의제를	의제/NNG+를/JKO
마련했다	마련하/VV+였/EP+다/EC

장애인정책발전	장애인정책발전/NNG
5개년	5/SN+개년/NNB
계획은	계획/NNG+은/JX
향후	향후/NNG
5년	5/SN+년/NNB
동안의	동안/NNG+의/JKG
장애인	장애인/NNG
재활에	재활/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
전반적인	전반적/NNG+이/VCP+ㄴ/ETM
국가의	국가/NNG+의/JKG
계획을	계획/NNG+을/JKO
담보하기	담보하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
