"장애아	"/SS+장애아/NNG
보육지원사업	보육지원사업/NNG
국고	국고/NNG
전환해야"	전환하/VV+여야/EF+"/SS

한국보육진흥원에서	한국보육진흥원/NNP+에서/JKB
추진하고	추진하/VV+고/EC
있는	있/VX+는/ETM
‘장애아	‘/SL+장애아/NNG
통합보육지원사업’의	통합보육지원사업/NNG+’/SL+의/JKG
안정성과	안정성/NNG+과/JC
효율성을	효율/NNG+성/XSN+을/JKO
지속시키기	지속/NNG+시키/XSV+기/ETN
위해	위하/VV+여/EC
사업	사업/NNG
예산을	예산/NNG+을/JKO
국고로	국고/NNG+로/JKB
전환해야	전환하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
주장이	주장/NNG+이/JKS
제기됐다	제기되/VV+었/EP+다/EF

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
소속	소속/NNG
김정록	김정록/NNP
의원(새누리당)은	의원/NNG+(/SS+새누리당/NNP+)/SS+은/JX
15일	15/SN+일/NNB
국정감사	국정감사/NNG
자료를	자료/NNG+를/JKO
통해	통하/VV+여/EC
“장애아동은	“/SN+장애아동/NNG+은/JX
특수한	특수하/VA+ㄴ/ETM
조건을	조건/NNG+을/JKO
가지고	가지/VV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
체계적인	체계적/NNG+이/VCP+ㄴ/ETM
교사교육을	교사교육/NNG+을/JKO
통해	통하/VV+여/EC
장애아	장애아/NNG
보육실무의	보육실무/NNG+의/JKG
역량을	역량/NNG+을/JKO
강화하는	강화하/VV+는/ETM
것이	것/NNB+이/JKS
중요하다”면서	중요하/VA+다”면서/EC
“장애아	“/SL+장애아/NNG
전담	전담/NNG
보육교사를	보육교사/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
심화교육사업은	심화교육사업/NNG+은/JX
높은	높/VA+은/ETM
만족도에도	만족도/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
민간기금으로	민간기금/NNG+으로/JKB
운영되면서	운영되/VV+면서/EC
현재는	현재/NNG+는/JX
사업예산을	사업예산/NNG+을/JKO
지원받지	지원/NNG+받/VV+지/EC
못해	못하/VX+여/EC
사업이	사업/NNG+이/JKS
중단	중단/NNG
된	되/VV+ㄴ/ETM
상태”라고	상태”/NNG+이/VCP+라고/EC
설명했다	설명하/VV+었/EP+다/EC

한국보육진흥원은	한국보육진흥원/NNP+은/JX
전문적이고	전문적/NNG+이/VCP+고/EC
질	질/NNG
높은	높/VA+은/ETM
장애아	장애아/NNG
보육을	보육/NNG+을/JKO
위해	위하/VV+여/EC
‘장애아	‘/SL+장애아/NNG
통합보육지원사업’을	통합보육지원사업’/NNG+을/JKO
운영하고	운영하/VV+고/EC
있다	있/VX+다/EC

김	김/NNP
의원이	의원/NNG+이/JKS
밝힌	밝히/VV+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
‘심화교육사업	‘/SN+심화교육사업/NNG
결과보고서’에	결과보고서/NNG+’/SL+에/JKB
따르면	따르/VV+면/EC
장애아전담	장애아전담/NNP
보육교사	보육교사/NNG
3,406명	3,406/SN+명/NNB
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
심화교육	심화교육/NNG
수료는	수료/NNG+는/JX
396명(11	396/SN+명/NNB+(/SS+11/SN

6%)으로	6/SN+%/SW+)/SS+으로/JKB
매우	매우/MAG
저조한	저조하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

반면	반면/NNG
심화교육에	심화교육/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
교육운영	교육운영/NNG
만족도를	만족도/NNG+를/JKO
보면	보/VV+면/EC
90%	90/SN+%/SW
이상이	이상/NNG+이/JKS
‘도움이	‘/SL+도움/NNG+이/JKC
됐다’고	되/VV+었/EP+다/EC+’/VV+고/EC
응답했고,	응답하/VV+였/EP+고/EC+,/SP
98%가	98/SN+%/SW+가/JKS
‘교육	‘/SN+교육/NNG
재참여	재참여/NNG
의사’를	의사’/NNG+를/JKO
밝혔다	밝히/VV+었/EP+다/EC

김	김/NNP
의원은	의원/NNG+은/JX
“사업의	“/SL+사업/NNG+의/JKG
안정성과	안정성/NNG+과/JC
효율성을	효율/NNG+성/XSN+을/JKO
지속시키기	지속/NNG+시키/XSV+기/ETN
위해	위하/VV+여/EC
사업을	사업/NNG+을/JKO
정부예산으로	정부예산/NNG+으로/JKB
편성시킬	편성/NNG+시키/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”면서	있/VA+다”면서/EC
“향후	“/SN+향후/NNG
보육	보육/NNG
교직원들이	교직원/NNG+들/XSN+이/JKS
전문적인	전문적/NNG+이/VCP+ㄴ/ETM
교육지원을	교육지원/NNG+을/JKO
받아	받/VV+아/EC
장애	장애/NNG
특성에	특성/NNG+에/JKB
맞게	맞/VV+게/EC
지원체계가	지원체계/NNG+가/JKS
구축되고	구축되/VV+고/EC
다양한	다양하/VA+ㄴ/ETM
보육	보육/NNG
프로그램을	프로그램/NNG+을/JKO
개발해	개발하/VV+여/EC
교육현장에서	교육현장/NNG+에서/JKB
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노력	노력/NNG
해달라”고	해달라”/VV+고/EC
주문했다	주문하/VV+였/EP+다/EF
