'유엔장애인권리협약,	'/SS+유엔/NNP+장애인권리협약/NNG+,/SP
장벽	장벽/NNG
허물기	허물/VV+기/ETN
위한	위하/VV+ㄴ/ETM
노력'	노력/NNG+'/SS

“유엔장애인권리협약은	“/SL+유엔/NNP+장애인권리협약/NNG+은/JX
장벽을	장벽/NNG+을/JKO
허물어	허물/VV+어/EC
내기	내/VX+기/ETN
위한	위하/VV+ㄴ/ETM
노력을	노력/NNG+을/JKO
촉구하기	촉구하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

여기에는	여기/NP+에/JKB+는/JX
물리적인	물리적/NNG+이/VCP+ㄴ/ETM
장애물은	장애물/NNG+은/JX
물론,	물론/MAG+,/SP
부정적인	부정적/NNG+이/VCP+ㄴ/ETM
태도,	태도/NNG+,/SP
제도적인	제도적/NNG+이/VCP+ㄴ/ETM
낙인	낙인/NNG
등	등/NNB
장애인과	장애인/NNG+과/JC
그들	그/NP+들/XSN
가족에	가족/NNG+에/JKB
영향을	영향/NNG+을/JKO
미치는	미치/VV+는/ETM
모든	모든/MM
것들이	것/NNB+들/XSN+이/JKS
포함된다	포함되/VV+ㄴ다/EC

”반기문	”/SL+반기문/NNP
유엔사무총장은	유엔/NNP+사무총장/NNG+은/JX
30일	30/SN+일/NNB
오후	오후/NNG
인천	인천/NNP
송도컨벤시아에서	송도컨벤시아/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘제22차	‘/SN+제/XPN+22/SN+차/NNB
RI세계대회’	RI/SL+세계대회/NNG+’/SL
개회식에	개회식/NNG+에/JKB
참석,	참석/NNG+,/SP
'장애인권리협약과	'/SS+장애인권리협약/NNG+과/JC
빈곤해결을	빈곤해결/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
지구촌	지구촌/NNG
공동의	공동/NNG+의/JKG
비전'을	비전/NNG+'/SS+을/JKO
주제로	주제/NNG+로/JKB
한	하/VV+ㄴ/ETM
기조연설에서	기조연설/NNG+에서/JKB
장애인의	장애인/NNG+의/JKG
존엄성을	존엄성/NNG+을/JKO
강조했다	강조하/VV+였/EP+다/EC

반	반/NNP
사무총장은	사무총장/NNG+은/JX
“최근	“/SN+최근/NNG
몇	몇/MM
년	년/NNB
간	간/XSN
장애인권리협약	장애인권리협약/NNG
등	등/NNB
장애인들을	장애인/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
협정은	협정/NNG+은/JX
한	한/MM
걸음	걸음/NNG
더	더/MAG
진일보	진일보/NNG
했다	하/VV+였/EP+다/EC

자선	자선/NNG
혹은	혹은/MAG
의료적인	의료적/NNG+이/VCP+ㄴ/ETM
관점에서	관점/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
인간의	인간/NNG+의/JKG
기본	기본/NNG
권리,	권리/NNG+,/SP
즉	즉/MAG
인권에	인권/NNG+에/JKB
깊이	깊이/MAG
뿌리를	뿌리/NNG+를/JKO
둔	두/VV+ㄴ/ETM
방향으로	방향/NNG+으로/JKB
패러다임의	패러다임/NNG+의/JKG
전환이	전환/NNG+이/JKS
이루어진	이루어지/VV+ㄴ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
평가했다	평가하/VV+였/EP+다/EC

이어	이어/MAG
“장애인들이	“/SN+장애인/NNG+들/XSN+이/JKS
당연히	당연히/MAG
가져야만	가지/VV+어야/EC+만/JX
하는	하/VX+는/ETM
동등한	동등하/VA+ㄴ/ETM
기회가	기회/NNG+가/JKS
보장될	보장되/VV+ㄹ/ETM
때,	때/NNG+,/SP
그때서야	그때/NNG+서/JKB+야/JX
비로소	비로소/MAG
새로운	새롭/VA+ㄴ/ETM
아이디어,	아이디어/NNG+,/SP
새로운	새롭/VA+ㄴ/ETM
제품을	제품/NNG+을/JKO
창출하고	창출하/VV+고/EC
또	또/MAG
수많은	수많/VA+은/ETM
사람들에게	사람/NNG+들/XSN+에게/JKB
삶에	삶/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
영감을	영감/NNG+을/JKO
제공할	제공하/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EC+”/VV+고/EC
강조했다	강조하/VV+였/EP+다/EC

반	반/NNP
사무총장은	사무총장/NNG+은/JX
또한	또한/MAG
“정책과	“/SL+정책/NNG+과/JC
실천	실천/NNG
사이에	사이/NNG+에/JKB
존재하는	존재하/VV+는/ETM
간극을	간극/NNG+을/JKO
