최동익,	최동익/NNP+,/SP
비례대표	비례대표/NNG
공천청탁	공천청탁/NNG
혐의	혐의/NNG
"결백"	"/SS+결백/NNG+"/SS

민주통합당	민주통합당/NNP
최동익	최동익/NNP
의원(비례대표)이	의원/NNG+(/SS+비례대표/NNG+)/SS+이/JKS
비례대표	비례대표/NNG
공천	공천/NNG
청탁	청탁/NNG
명목으로	명목/NNG+으로/JKB
민주당	민주당/NNP
장향숙	장향숙/NNP
전의원에게	전의원/NNG+에게/JKB
수천만원의	수천만/NR+원/NNB+의/JKG
금품을	금품/NNG+을/JKO
전달한	전달하/VV+ㄴ/ETM
혐의에	혐의/NNG+에/JKB
대해	대하/VV+여/EC
결백함을	결백하/VV+ㅁ/ETN+을/JKO
호소했다	호소하/VV+었/EP+다/EC

최	최/NNP
의원은	의원/NNG+은/JX
20일	20/SN+일/NNB
오후	오후/NNG
국회	국회/NNG
정론관에서	정론관/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고	갖/VV+고/EC
"오늘	"/SS+오늘/MAG
오전	오전/NNG
10시	10/SN+시/NNB
반	반/NNG
경	경/NNP
검찰은	검찰/NNG+은/JX
느닷없이	느닷없이/MAG
자택과	자택/NNG+과/JC
장애인단체	장애인단체/NNG
사무실을	사무실/NNG+을/JKO
압수수색했다"면서	압수수색하/VV+였/EP+다/EF+"/SS+면서/EC
"비례대표	"/SS+비례대표/NNG
공천과	공천/NNG+과/JKB
관련해	관련하/VV+여/EC
어떠한	어떠하/VA+ㄴ/ETM
금품도	금품/NNG+도/JX
제공한	제공하/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

최	최/NNP
의원은	의원/NNG+은/JX
또한	또한/MAG
"이번	"/SS+이번/NNG
사건은	사건/NNG+은/JX
박근혜	박근혜/NNP
후보의	후보/NNG+의/JKG
최측근	최/XPN+측근/NNG
실제가	실제/NNG+가/JKS
관련된	관련되/VV+ㄴ/ETM
사건을	사건/NNG+을/JKO
물타기	물타기/NNG
하기	하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
‘끼워	‘/SL+끼우/VV+어/EC
맞추기식’	맞추/VV+기/ETN+식/XSN+’/SL
수사"라면서	수사/NNG+"/SS+이/VCP+라면서/EC
"검찰은	"/SS+검찰/NNG+은/JX
압수수색	압수수색/NNG
경위가	경위/NNG+가/JKS
무엇인지,	무엇/NP+이/VCP+ㄴ지/EC+,/SP
정확한	정확하/VA+ㄴ/ETM
근거도	근거/NNG+도/JX
없이	없이/MAG
현직	현직/NNG
국회의원을	국회의원/NNG+을/JKO
압수수색한	압수/NNG+수색하/VA+ㄴ/ETM
사유를	사유/NNG+를/JKO
밝혀야	밝히/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

마지막으로	마지막/NNG+으로/JKB
최	최/NNP
의원은	의원/NNG+은/JX
"허위사실을	"/SS+허위사실/NNG+을/JKO
공표해서,	공표하/VV+여서/EC+,/SP
저의	저/NP+의/JKG
명예를	명예/NNG+를/JKO
비롯해	비롯하/VV+여/EC
250만	250/SN+만/NR
장애인에	장애인/NNG+에/JKB
상처를	상처/NNG+를/JKO
주는	주/VV+는/ETM
행위를	행위/NNG+를/JKO
즉각	즉각/MAG
중단하라"면서	중단하/VV+라/EF+"/SS+면서/EC
"250만	"/SS+250/SN+만/NR
장애인의	장애인/NNG+의/JKG
명예를	명예/NNG+를/JKO
걸고,	걸/VV+고/EC+,/SP
반드시	반드시/MAG
결백을	결백/NNG+을/JKO
입증할	입증하/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
강조했다	강조하/VV+였/EP+다/EC

한편	한편/MAG
민주당	민주당/NNP
공천로비	공천로비/NNG
의혹을	의혹/NNG+을/JKO
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
부산지검	부산/NNP+지검/NNG
공안부는	공안부/NNG+는/JX
20일	20/SN+일/NNB
오전	오전/NNG
최동익	최동익/NNP
의원의	의원/NNG+의/JKG
서울	서울/NNP
동작구	동작구/NNP
상도동	상도동/NNP
자택과	자택/NNG+과/JC
대표로	대표/NNG+로/JKB
있는	있/VA+는/ETM
한국시각장애인연합회,	한국/NNP+시각장애인연합/NNG+회/XSN+,/SP
시각장애인복지관	시각장애인복지관/NNG
등을	등/NNB+을/JKO
압수수색했다	압수수색하/VV+였/EP+다/EC

압수수색은	압수수색/NNG+은/JX
