장애인유권자	장애인유권자/NNG
이젠	이제/NNG+ㄴ/JX
‘선택만이	‘/SL+선택/NNG+만/JX+이/JKS
남았다’	남/VV+았/EP+다/EF+’/SN

제18대	제/XPN+18/SN+대/NNG
대통령	대통령/NNG
선거가	선거/NNG+가/JKS
코앞으로	코앞/NNG+으로/JKB
다가왔다	다가오/VV+았/EP+다/EC

현재	현재/MAG
대선은	대선/NNG+은/JX
새누리당	새누리당/NNP
박근혜	박근혜/NNP
후보와	후보/NNG+와/JC
민주통합당	민주통합당/NNP
문재인	문재/NNG+이/VCP+ㄴ/ETM
후보의	후보/NNG+의/JKG
양자	양자/NNG
대결로	대결/NNG+로/JKB
박빙을	박빙/NNG+을/JKO
보이고	보이/VV+고/EC
있다	있/VX+다/EC

당초	당초/NNG
무소속	무소속/NNG
안철수	안철수/NNP
후보와	후보/NNG+와/JKB
함께	함께/MAG
3강	3/SN+강/NNG
구조로	구조/NNG+로/JKB
예상됐으나	예상되/VV+었/EP+으나/EC
안	안/NNP
후보가	후보/NNG+가/JKS
대선	대선/NNG
후보에서	후보/NNG+에서/JKB
사퇴하면서	사퇴하/VV+면서/EC
양강	양강/NNG
대결로	대결/NNG+로/JKB
치닫고	치닫/VV+고/EC
있다	있/VX+다/EC

장애계에서도	장애/NNG+계/XSN+에서/JKB+도/JX
두	두/MM
후보를	후보/NNG+를/JKO
지지하는	지지하/VV+는/ETM
성명	성명/NNG
및	및/MAG
논평,	논평/NNG+,/SP
찬조연설들이	찬조연설/NNG+들/XSN+이/JKS
진행되는	진행되/VV+는/ETM
등	등/NNB
대선열기가	대선열기/NNG+가/JKS
뜨겁다	뜨겁/VA+다/EC

특히	특히/MAG
여·야	여/NNG+·/SP+야/NNG
후보들이	후보/NNG+들/XSN+이/JKS
2012대선장애인연대(이하	2012/SN+대선장애인연대/NNG+(/SS+이하/NNG
대선연대)의	대선연대/NNG+)/SS+의/JKG
장애계	장애/NNG+계/XSN
12대	12/SN+대/NNB
요구	요구/NNG
공약들을	공약/NNG+들/XSN+을/JKO
다수	다수/NNG
수용하면서	수용하/VV+면서/EC
차기	차기/NNG
정부에	정부/NNG+에/JKB
더욱	더욱/MAG
관심이	관심/NNG+이/JKS
집중되고	집중되/VV+고/EC
있다	있/VX+다/EC

하지만	하지만/MAJ
대선	대선/NNG
후보들이	후보/NNG+들/XSN+이/JKS
수용한	수용하/VV+ㄴ/ETM
공약을	공약/NNG+을/JKO
구체적으로	구체적/NNG+으로/JKB
살펴보면	살펴보/VV+면/EC
내용면에서는	내용면/NNG+에서/JKB+는/JX
다소	다소/MAG
차이를	차이/NNG+를/JKO
보이고	보이/VV+고/EC
있다	있/VX+다/EC

이에	이/NP+에/JKB
대선에	대선/NNG+에/JKB
앞서	앞서/VV+어/EC
이들	이/NP+들/XSN
후보들의	후보/NNG+들/XSN+의/JKG
장애관련	장애관련/NNG
공약들을	공약/NNG+들/XSN+을/JKO
비교해	비교하/VV+여/EC
