장애인계,	장애인계/NNG+,/SP
제시할	제시하/VV+ㄹ/ETM
대선공약	대선공약/NNG
개발	개발/NNG
‘분주’	‘분주/NNG+’/SN

장애계가	장애/NNG+계/XSN+가/JKS
대선후보들에	대선후보/NNG+들/XSN+에/JKB
제시할	제시하/VV+ㄹ/ETM
대선공약	대선공약/NNG
개발을	개발/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
본격적인	본격적/NNG+이/VCP+ㄴ/ETM
활동에	활동/NNG+에/JKB
들어갔다	들어가/VV+았/EP+다/EC

한국장애인단체총연맹(이하	한국장애인단체총연맹/NNP+(/SS+이하/NNG
한국장총)을	한국/NNP+장총/NNG+)/SS+을/JKO
주축으로	주축/NNG+으로/JKB
한	하/VV+ㄴ/ETM
‘2012대선장애인연대(이하	‘/SL+2012/SN+대선장애인연대/NNG+(/SS+이하/NNG
대선연대)’와	대선연대/NNG+)/SS+’/SL+와/JC
전국장애인차별철폐연대(이하	전/MM+국장애인차별철폐연대/NNG+(/SS+이하/NNG
전장연)는	전장연/NNP+)/SS+는/JX
지난	지나/VV+ㄴ/ETM
10월	10/SN+월/NNB
30일과	30/SN+일/NNB+과/JC
11월	11/SN+월/NNB
2일	2/SN+일/NNB
두	두/MM
번에	번/NNB+에/JKB
거쳐	거치/VV+어/EC
대선공약	대선공약/NNG
개발을	개발/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
논의를	논의/NNG+를/JKO
가졌다	가지/VV+었/EP+다/EC

이는	이/NP+는/JX
장애계	장애/NNG+계/XSN
공동의	공동/NNG+의/JKG
요구안을	요구안/NNG+을/JKO
마련해	마련하/VV+여/EC
대선후보들에게	대선후보/NNG+들/XSN+에게/JKB
전달하자는	전달하/VV+자는/ETM
대선연대의	대선연대/NNG+의/JKG
제안에	제안/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

한국장총은	한국장총/NNP+은/JX
지난달	지난달/NNG
초	초/NNB
‘18대	‘/SL+18/SN+대/NNG
대선은	대선/NNG+은/JX
장애인복지	장애인복지/NNG
인권의	인권/NNG+의/JKG
체계를	체계/NNG+를/JKO
완성하는	완성하/VV+는/ETM
중차대한	중차대하/VA+ㄴ/ETM
선거로,	선거/NNG+로/JKB+,/SP
총선에서	총선/NNG+에서/JKB
시작된	시작되/VV+ㄴ/ETM
정책선거를	정책선거/NNG+를/JKO
대선에서	대선/NNG+에서/JKB
함께	함께/MAG
완성해	완성하/VV+여/EC
장애계의	장애/NNG+계/XSN+의/JKG
현안해결과	현안해결과/NNG
정책의	정책/NNG+의/JKG
내실화를	내실화/NNG+를/JKO
이뤄야	이루/VV+어야/EC
한다’며	하/VX+ㄴ다’며/EC
장애계에	장애/NNG+계/XSN+에/JKB
대선연대를	대선연대/NNG+를/JKO
제안했다	제안하/VV+였/EP+다/EC

현재	현재/MAG
전국의	전국/NNG+의/JKG
시도별	시도/NNG+별/XSN
160여개	160/SN+여/XSN+개/NNB
단체가	단체/NNG+가/JKS
대선연대에	대선연대/NNG+에/JKB
참여한	참여하/VV+ㄴ/ETM
상태다	상태/NNG+이/VCP+다/EC

이들	이/NP+들/XSN
대선연대와	대선연대/NNG+와/JC
전장연은	전장연/NNP+은/JX
두	두/MM
번의	번/NNB+의/JKG
논의	논의/NNG
과정	과정/NNG
끝에	끝/NNG+에/JKB
장애등급제	장애등급/NNG+제/XSN
폐지	폐지/NNG
장애인권리보장법	장애인권리보장법/NNG
제정	제정/NNG
장애인활동지원제도	장애인활동지원제/NNG+도/JX
개선	개선/NNG
장애인연금	장애인연금/NNG
확대	확대/NNG
등	등/NNB
대범주	대범주/NNG
차원의	차원/NNG+의/JKG
15개	15/SN+개/NNB
공약을	공약/NNG+을/JKO
도출했다	도출하/VV+였/EP+다/EC

하지만	하지만/MAJ
15개	15/SN+개/NNB
대범주	대범주/NNG
공약별로	공약/NNG+별/XSN+로/JKB
보다	보다/MAG
구체적인	구체적/NNG+이/VCP+ㄴ/ETM
내용은	내용/NNG+은/JX
담지	담/VV+지/EC
못해	못하/VX+여/EC
오는	오/VV+는/ETM
8일	8/SN+일/NNB
논의를	논의/NNG+를/JKO
통해	통하/VV+여/EC
대선후보들에게	대선후보/NNG+들/XSN+에게/JKB
제시할	제시하/VV+ㄹ/ETM
대선공약	대선공약/NNG
개발을	개발/NNG+을/JKO
마무리할	마무리하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

대선연대	대선연대/NNG
한	한/MM
관계자는	관계자/NNG+는/JX
“2번의	“/SL+2/SN+번/NNB+의/JKG
