안랩	안랩/NNG
장애인고용률	장애인고용률/NNG
저조…安	저조/NNG+…/SE+安/SL
‘두	‘/SN+두/MM
얼굴’	얼굴/NNG+’/SN
비판	비판/NNG

새누리당은	새누리당/NNP+은/JX
9일	9/SN+일/NNB
무소속	무소속/NNG
안철수	안철수/NNP
후보가	후보/NNG+가/JKS
최대	최대/NNG
지분을	지분/NNG+을/JKO
보유하고	보유하/VV+고/EC
있는	있/VX+는/ETM
‘안랩’의	‘/SL+안랩/NNG+’/SL+의/JKG
장애인	장애인/NNG
고용률	고용/NNG+률/XSN
저조에	저조/NNG+에/JKB
대해	대하/VV+여/EC
‘장애인	‘/SN+장애/NNG+이/VCP+ㄴ/ETM
배려	배려/NNG
뒤에	뒤/NNG+에/JKB
숨은	숨/VV+은/ETM
안철수의	안철수/NNP+의/JKG
두	두/MM
얼굴’이라고	얼굴’/NNG+이/VCP+라고/EC
강하게	강하/VA+게/EC
비판했다	비판하/VV+였/EP+다/EC

이상일	이상일/NNP
대변인은	대변인/NNG+은/JX
오전	오전/NNG
국회에서	국회/NNG+에서/JKB
현안	현안/NNG
브리핑을	브리핑/NNG+을/JKO
통해	통하/VV+여/EC
“안철수	“/SN+안철수/NNP
후보가	후보/NNG+가/JKS
최대	최대/NNG
지분을	지분/NNG+을/JKO
보유하고	보유하/VV+고/EC
있는	있/VX+는/ETM
안랩의	안랩/NNG+의/JKG
장애인	장애인/NNG
고용률이	고용률/NNG+이/JKS
현행법에	현행법/NNG+에/JKB
정한	정하/VV+ㄴ/ETM
기준에	기준/NNG+에/JKB
현저히	현저히/MAG
못	못/MAG
미치는	미치/VV+는/ETM
것으로	것/NNB+으로/JKB
드러났다”고	드러나/VV+았/EP+다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

이	이/MM
대변인은	대변인/NNG+은/JX
“고용노동부가	“/SL+고용노동부/NNG+가/JKS
발표한	발표하/VV+ㄴ/ETM
2011년도	2011/SN+년/NNB+도/JX
하반기	하반기/NNG
장애인	장애인/NNG
고용저조	고용저조/NNG
사업주	사업주/NNG
명단에는	명단/NNG+에/JKB+는/JX
안랩이	안랩/NNG+이/JKS
포함되어	포함되/VV+어/EC
있었는데,	있/VX+었/EP+는데/EC+,/SP
안랩의	안랩/NNG+의/JKG
장애인	장애인/NNG
고용률은	고용/NNG+률/XSN+은/JX
0	0/SN

65%로,	65/SN+%/SW+로/JKB+,/SP
620명의	620/SN+명/NNB+의/JKG
근로자	근로자/NNG
중	중/NNB
장애인은	장애인/NNG+은/JX
4명에	4/SN+명/NNB+에/JKB
불과했다”면서	불과하/VA+었/EP+다/EC+”/SN+면서/EC
“‘장애인고용촉진	“/SN+‘/SL+장애인고/NNG+용/XSN+촉진/NNG
및	및/MAG
직업재활법	직업재활법/NNG
시행령’이	시행령/NNG+’/SL+이/JKS
정한	정하/VV+ㄴ/ETM
기준	기준/NNG
2	2/SN

3%에	3/SN+%/SW+에/JKB
현저히	현저히/MAG
못	못/MAG
미치고	미치/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

이어	이어/MAG
“안	“/SN+안/NNG
후보는	후보/NNG+는/JX
대통령	대통령/NNG
선거에	선거/NNG+에/JKB
출마	출마/NNG
선언을	선언/NNG+을/JKO
하는	하/VV+는/ETM
자리에	자리/NNG+에/JKB
수화통역사를	수화통역사/NNG+를/JKO
대동했고	대동하/VV+였/EP+고/EC
트위터에는	트위터/NNG+에/JKB+는/JX
음성지원이	음성지원/NNG+이/JKS
없어	없/VA+어/EC
아쉽다고	아쉽/VA+다고/EC
말하는	말하/VV+는/ETM
등	등/NNB
장애인을	장애인/NNG+을/JKO
극진히	극진히/MAG
배려하는	배려하/VV+는/ETM
듯	듯/NNB
한	한/MM
언행을	언행/NNG+을/JKO
했고,	하/VV+였/EP+고/EC+,/SP
장애인을	장애인/NNG+을/JKO
적시에	적시/NNG+에/JKB
취업시켜	취업/NNG+시키/XSV+어/EC
고용을	고용/NNG+을/JKO
통해	통하/VV+여/EC
자립하도록	자립하/VV+도록/EC
지원하겠다고	지원하/VV+겠/EP+다고/EC
공약한	공약하/VV+ㄴ/ETM
바	바/NNB
있다”면서도	있/VA+다”면서/EC+도/JX
“실제로는	“/SN+실제/NNG+로/JKB+는/JX
말	말/NNG
따로	따로/MAG
행동	행동/NNG
따로이며,	따로/MAG+이/VCP+며/EC+,/SP
자신의	자신/NNG+의/JKG
회사	회사/NNG
장애인	장애인/NNG
법정	법정/NNG
고용률도	고용률/NNG+도/JX
제대로	제대로/MAG
지키지	지키/VV+지/EC
못하면서	못하/VX+면서/EC
장애인	장애인/NNG
배려해	배려하/VV+여/EC
고용한다고	고용하/VV+ㄴ다고/EC
하는	하/VV+는/ETM
것은	것/NNB+은/JX
위선적이고	위선적/NNG+이/VCP+고/EC
이율배반적”이라고	이율배반적”/NNG+이/VCP+라고/EC
질타했다	질타하/VA+었/EP+다/EF

마지막으로	마지막/NNG+으로/JKB
“안	“/SN+안/NNG
후보는	후보/NNG+는/JX
장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
공약을	공약/NNG+을/JKO
하기	하/VV+기/ETN
전에	전/NNG+에/JKB
‘안랩’의	‘/SN+안랩/NNG+’/SL+의/JKG
장애인	장애인/NNG
고용	고용/NNG
의무	의무/NNG
위반에	위반/NNG+에/JKB
대해	대하/VV+여/EC
부끄러움을	부끄러움/NNG+을/JKO
느끼고	느끼/VV+고/EC
정중하게	정중하/VA+게/EC
사과해야	사과하/VV+여야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
요구했다	요구하/VV+었/EP+다/EC
