서울장애인콜택시	서울/NNP+장애인콜택시/NNG
업무부서	업무부서/NNG
이관	이관/NNG
'반대'	'/SS+반대/NNG+'/SS

한국장애인단체총연맹(이하	한국장애인단체총연맹/NNP+(/SS+이하/NNG
장총)과	장총/NNP+)/SS+과/JC
한국장애인단체총연합회(이하	한국장애인단체총연합회/NNP+(/SS+이하/NNG
장총련)이	장총련/NNP+)/SS+이/JKS
29일	29/SN+일/NNB
성명서를	성명서/NNG+를/JKO
통해	통하/VV+여/EC
최근	최근/NNG
서울시가	서울시/NNP+가/JKS
장애인콜택시	장애인콜택시/NNG
관련	관련/NNG
업무를	업무/NNG+를/JKO
기존	기존/NNG
보행자전거과가	보행자전거과/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
신규	신규/NNG
장애인관련	장애인관련/NNG
부서로	부서/NNG+로/JKB
이관하려는	이관하/VV+려는/ETM
움직임에	움직임/NNG+에/JKB
대해	대하/VV+여/EC
‘반대’	‘/SL+반대’/NNG
입장을	입장/NNG+을/JKO
표명하고	표명하/VV+고/EC
현행과	현행/NNG+과/JKB
같은	같/VA+은/ETM
교통관련	교통관련/NNG
부서로	부서/NNG+로/JKB
유지할	유지하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC

먼저	먼저/MAG
이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
“서울시가	“/SL+서울시/NNP+가/JKS
자립생활을	자립생활/NNG+을/JKO
명분으로	명분/NNG+으로/JKB
장애인콜택시	장애인콜택시/NNG
업무를	업무/NNG+를/JKO
신설된	신설되/VV+ㄴ/ETM
장애인부서로	장애인부서/NNG+로/JKB
이관하려고	이관하/VV+려고/EC
하는	하/VX+는/ETM
시도는	시도/NNG+는/JX
장애인특별교통수단인	장애인특/NNG+별/XSN+교통수단/NNG+이/VCP+ㄴ/ETM
장애인콜택시	장애인콜택시/NNG
제도의	제도/NNG+의/JKG
특성을	특성/NNG+을/JKO
제대로	제대로/MAG
이해하지	이해하/VV+지/EC
못하는	못하/VX+는/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
서울시가	서울시/NNP+가/JKS
장애인콜택시	장애인콜택시/NNG
업무	업무/NNG
이관을	이관/NNG+을/JKO
한다면,	하/VV+ㄴ다면/EC+,/SP
장애인콜택시	장애인콜택시/NNG
업무의	업무/NNG+의/JKG
실효성에	실효성/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
문제가	문제/NNG+가/JKS
야기될	야기되/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
주장했다	주장하/VV+였/EP+다/EC

이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
“신설	“/SL+신설/NNG
장애인부서가	장애인부서/NNG+가/JKS
서울시의	서울시/NNP+의/JKG
모든	모든/MM
장애인과	장애인/NNG+과/JKB
관련된	관련되/VV+ㄴ/ETM
업무를	업무/NNG+를/JKO
담당하는	담당하/VV+는/ETM
총괄부서가	총괄부서/NNG+가/JKC
아니기	아니/VCN+기/ETN
때문에	때문/NNB+에/JKB
서울시의	서울시/NNP+의/JKG
장애인콜택시	장애인콜택시/NNG
관련	관련/NNG
업무	업무/NNG
이관은	이관/NNG+은/JX
적절치	적절하/VA+지/EC
못하다”며	못하/VX+다/EC+”/VX+며/EC
“장애인콜택시	“/SL+장애인콜택시/NNG
정책을	정책/NNG+을/JKO
장애인	장애인/NNG
이동권	이동/NNG+권/XSN
보장의	보장/NNG+의/JKG
효과성과	효과성/NNG+과/JC
효율성	효율/NNG+성/XSN
측면에서	측면/NNG+에서/JKB
본다면	보/VV+ㄴ다면/EC
교통관련	교통관련/NNG
부서에서	부서/NNG+에서/JKB
대중교통의	대중교통/NNG+의/JKG
일환으로	일환/NNG+으로/JKB
정책을	정책/NNG+을/JKO
수립하고	수립하/VV+고/EC
시행하는	시행하/VV+는/ETM
것이	것/NNB+이/JKS
더	더/MAG
효율적”이라고	효율적”/NNG+이/VCP+라고/EC
설명했다	설명하/VV+었/EP+다/EC

이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
‘교통약자이동편의증진법’에	‘/SN+교통약자이동편의증진법’/NNG+에/JKB
근거해	근거하/VV+여/EC
소관부처는	소/XPN+관부처/NNG+는/JX
국토해양부의	국토해양부/NNP+의/JKG
교통안전복지과이며,	교통안전복지과/NNG+이/VCP+며/EC+,/SP
장애인콜택시는	장애인콜택시/NNG+는/JX
복지가	복지/NNG+가/JKS
아닌	아니/VCN+ㄴ/ETM
교통정책이라는	교통정책/NNG+이/VCP+라는/ETM
주장이다	주장/NNG+이/VCP+다/EC

또한	또한/MAG
장애인콜택시는	장애인콜택시/NNG+는/JX
장애인	장애인/NNG
등	등/NNB
교통약자의	교통약자/NNG+의/JKG
이동지원을	이동지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
교통수단으로	교통수단/NNG+으로/JKB
‘복지서비스’가	‘/SN+복지서비스/NNG+’/SL+가/JKC
아닌	아니/VCN+ㄴ/ETM
‘교통서비스’라는	‘/SN+교통서비스’/NNG+이/VCP+라는/ETM
인식이	인식/NNG+이/JKS
필요하다는	필요하/VA+다는/ETM
것	것/NNB

특히	특히/MAG
이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
“지금까지	“/SL+지금/NNG+까지/JX
경험을	경험/NNG+을/JKO
토대로	토대/NNG+로/JKB
복지문제를	복지문제/NNG+를/JKO
다루는	다루/VV+는/ETM
업무	업무/NNG
부서에서	부서/NNG+에서/JKB
얼마나	얼마나/MAG
교통관련	교통관련/NNG
