檢	檢/SL
'공천로비'	'/SS+공천로비/NNG+'/SS
민주당	민주당/NNP
최동익	최동익/NNP
의원	의원/NNG
소환(2보)	소환/NNG+(/SS+2/SN+보/NNG+)/SS

(부산=연합뉴스)	(/SS+부산/NNP+=/SW+연합뉴스/NNP+)/SS
민영규	민영규/NNP
기자	기자/NNG
=	=/SW
민주통합당	민주통합당/NNP
공천로비	공천로비/NNG
의혹을	의혹/NNG+을/JKO
수사중인	수사/NNG+중/NNB+이/VCP+ㄴ/ETM
부산지검	부산/NNP+지검/NNG
공안부(이태승	공안부/NNG+(/SS+이태승/NNP
부장검사)는	부장검사/NNG+)/SS+는/JX
26일	26/SN+일/NNB
오전	오전/NNG
민주당	민주당/NNP
최동익(비례대표)	최/NNP+동익/NNG+(/SS+비례대표/NNG+)/SS
의원을	의원/NNG+을/JKO
피의자	피의자/NNG
신분으로	신분/NNG+으로/JKB
소환한	소환하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다	확인되/VV+었/EP+다/EF

최	최/NNP
의원은	의원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
3월부터	3/SN+월/NNB+부터/JX
4·11	4/SN+·/SP+11/SN
총선	총선/NNG
직전인	직전/NNG+이/VCP+ㄴ/ETM
4월초까지	4/SN+월초/NNB+까지/JX
3차례에	3/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
한국시각장애인연합회	한국/NNP+시각장애인연합/NNG+회/XSN
간부	간부/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
강모씨와	강/NNP+모/NP+씨/NNB+와/JKB
함께	함께/MAG
장향숙	장향숙/NNP
전	전/MM
의원에게	의원/NNG+에게/JKB
민주당	민주당/NNP
비례대표	비례대표/NNG
후보로	후보/NNG+로/JKB
공천받을	공천/NNG+받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
도와달라는	돕/VV+아/EC+달/VX+라는/ETM
청탁과	청탁/NNG+과/JKB
함께	함께/MAG
7천만원을	7/SN+천만/NR+원/NNB+을/JKO
전달한	전달하/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다	있/VX+다/EC

검찰은	검찰/NNG+은/JX
이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
최	최/NNP
의원,	의원/NNG+,/SP
장	장/NNP
전	전/MM
의원,	의원/NNG+,/SP
강씨	강/NNP+씨/NNB
등의	등/NNB+의/JKG
자택과	자택/NNG+과/JC
사무실	사무실/NNG
등을	등/NNB+을/JKO
압수수색하고	압수수색하/VV+고/EC
광범위한	광범위하/VA+ㄴ/ETM
계좌추적	계좌추적/NNG
작업을	작업/NNG+을/JKO
벌였다	벌이/VV+었/EP+다/EF

youngkyu@yna	youngkyu/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
