장애인복지법·장차법	장애인복지법/NNG+·/SP+장차법/NNG
개정안	개정안/NNG
국회	국회/NNG
본회의	본회/NNG+의/JKG
통과	통과/NNG

국회는	국회/NNG+는/JX
지난	지나/VV+ㄴ/ETM
27일	27/SN+일/NNB
본회의를	본회의/NNG+를/JKO
열고,	열/VV+고/EC+,/SP
'장애인복지법'	'/SS+장애인복지법/NNG+'/SS
일부개정안과	일부개정안/NNG+과/JC
'장애인	'/SS+장애인/NNG
차별금지	차별금지/NNG
및	및/MAG
권리구제	권리구제/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
법률'	법률/NNG+'/SS
일부개정안을	일부개정안/NNG+을/JKO
가결했다	가결하/VV+였/EP+다/EC

장애인복지법	장애인복지법/NNG
개정안은	개정안/NNG+은/JX
투표	투표/NNG
참여	참여/NNG
의원	의원/NNG
237명	237/SN+명/NNB
중	중/NNB
237명	237/SN+명/NNB
찬성,	찬성/NNG+,/SP
기권	기권/NNG
1명으로	1/SN+명/NNB+으로/JKB
가결됐다	가결되/VV+었/EP+다/EF

여기에는	여기/NP+에/JKB+는/JX
장애인	장애인/NNG
학대의	학대/NNG+의/JKG
정의가	정의/NNG+가/JKS
신설됐을	신설되/VV+었/EP+을/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
앞으로	앞/NNG+으로/JKB
관련	관련/NNG
종사자에게	종사자/NNG+에게/JKB
신고의무를	신고의무/NNG+를/JKO
부과	부과/NNG
하고,	하/VV+고/EC+,/SP
위반	위반/NNG
시	시/NNG
과태료를	과태료/NNG+를/JKO
부과하도록	부과하/VV+도록/EC
하는	하/VX+는/ETM
내용이	내용/NNG+이/JKS
들어있다	들/VV+어/EC+있/VX+다/EC

장애인차별금지법	장애인차별금지법/NNG
개정안은	개정안/NNG+은/JX
투표	투표/NNG
참여	참여/NNG
의원	의원/NNG
232명	232/SN+명/NNB
모두	모두/MAG
찬성해	찬성하/VV+여/EC
가결됐다	가결되/VV+었/EP+다/EF

이에	이/NP+에/JKB
따라	따르/VV+아/EC
의사소통이나	의사소통/NNG+이나/JC
의사표현에	의사표현/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪는	겪/VV+는/ETM
장애인은	장애인/NNG+은/JX
사법기관으로부터	사법기관/NNG+으로부터/JKB
형사사법	형사사법/NNG
절차에서	절차/NNG+에서/JKB
조력을	조력/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
조력신청	조력신청/NNG
시	시/NNG
사법기관은	사법기관/NNG+은/JX
정당한	정당하/VA+ㄴ/ETM
사유	사유/NNG
없이	없이/MAG
거부할	거부하/VV+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EC
