아태장애인대회,	아태장애인대회/NNG+,/SP
‘성공적	‘/SL+성공적/NNG
개최’	개최/NNG+’/SL
평가	평가/NNG

2012아시아태평양장애인대회가	2012/SN+아시아태평양/NNP+장애인대회/NNG+가/JKS
27일	27/SN+일/NNB
오후	오후/NNG
인천	인천/NNP
송도컨벤시아에서의	송도컨벤시아/NNP+에서/JKB+의/JKG
폐회식을	폐회식/NNG+을/JKO
끝으로	끝/NNG+으로/JKB
공식일정이	공식일정/NNG+이/JKS
마무리됐다	마무리되/VV+었/EP+다/EF

지난	지나/VV+ㄴ/ETM
24일부터	24/SN+일/NNB+부터/JX
나흘간	나흘/NNG+간/XSN
진행된	진행되/VV+ㄴ/ETM
아태장애인대회는	아태/NNP+장애인대회/NNG+는/JX
'제3차	'/SS+제/XPN+3/SN+차/NNB
아태장애인	아태장애인/NNG
10년'이	10/SN+년/NNB+'/SS+이/JKS
다가옴에	다가오/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
장애관련	장애관련/NNG
국제동향	국제동향/NNG
및	및/MAG
이슈	이슈/NNG
공유로	공유/NNG+로/JKB
국제적	국제적/NNG
공감대	공감대/NNG
형성과	형성/NNG+과/JC
사회통합을	사회통합/NNG+을/JKO
이루기	이루/VV+기/ETN
위한	위하/VV+ㄴ/ETM
자리였다	자리/NNG+이/VCP+었/EP+다/EF

이에	이/NP+에/JKB
따라	따르/VV+아/EC
아태장애인대회에서는	아태장애인대회/NNG+에서/JKB+는/JX
각	각/MM
국가별	국가/NNG+별/XSN
장애인들의	장애인/NNG+들/XSN+의/JKG
현실을	현실/NNG+을/JKO
살펴보고	살펴보/VV+고/EC
향후	향후/NNG
대응을	대응/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
방안들이	방안/NNG+들/XSN+이/JKS
모색됐다	모색되/VV+었/EP+다/EF

유엔에스캅	유엔에스캅/NNP
정부간고위급회의에서	정부간고위급회의/NNG+에서/JKB
논의될	논의되/VV+ㄹ/ETM
‘제3차	‘/SL+제/XPN+3/SN+차/NNB
아태장애인	아태장애인/NNG
10년’	10/SN+년/NNB+’/SN
내용을	내용/NNG+을/JKO
미리	미리/MAG
점검해	점검하/VV+여/EC
보는	보/VX+는/ETM
시간을	시간/NNG+을/JKO
갖기도	갖/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

이외	이외/NNG
아태장애인대회에서는	아태장애인대회/NNG+에서/JKB+는/JX
‘3차	‘/SL+3/SN+차/NNB
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년’의	10/SN+년/NNB+’/SL+의/JKG
성공적	성공적/NNG
이행을	이행/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
제2차	제/XPN+2/SN+차/NNB
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년	10/SN+년/NNB
평가	평가/NNG
결과를	결과/NNG+를/JKO
공유하기도	공유하/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

또한	또한/MAG
아태장애인	아태장애인/NNG
당사자들의	당사자/NNG+들/XSN+의/JKG
