與	與/SL
공동선대위원장에	공동선대위원장/NNG+에/JKB
김용준	김용준/NNP
전	전/MM
헌법재판소장	헌법재판소장/NNG

박근혜	박근혜/NNP
새누리당	새누리당/NNP
대선	대선/NNG
후보가	후보/NNG+가/JKS
11일	11/SN+일/NNB
중앙선거대책위원회	중앙선거대책위원회/NNG
공동위원장에	공동위원장/NNG+에/JKB
김용준(74)	김용준/NNP+(/SS+74/SN+)/SS
전	전/MM
헌법재판소장과	헌법재판소/NNG+장/XSN+과/JC
김성주(56)	김성주/NNP+(/SS+56/SN+)/SS
성주그룹	성주그룹/NNP
회장,	회장/NNG+,/SP
정몽준	정몽준/NNP
전	전/MM
대표,	대표/NNG+,/SP
황우여	황우여/NNP
대표	대표/NNG
등	등/NNB
4인을	4/SN+인/NNG+을/JKO
임명했다	임명하/VV+였/EP+다/EC

소아마비	소아마비/NNG
장애인인	장애인/NNG+이/VCP+ㄴ/ETM
김	김/NNP
전	전/MM
헌재소장(74)은	헌재소/NNG+장/XSN+(/SS+74/SN+)/SS+은/JX
서울출신으로	서울/NNP+출신/NNG+으로/JKB
지난	지나/VV+ㄴ/ETM
1960년	1960/SN+년/NNB
대구지방법원	대구/NNP+지방법원/NNG
판사로	판사/NNG+로/JKB
법조계에	법조계/NNG+에/JKB
입문했다	입문하/VV+였/EP+다/EF

이후,	이후/NNG+,/SP
서울고법	서울/NNP+고법/NNG
부장판사,	부장판사/NNG+,/SP
서울가정법원장을	서울/NNP+가정법원장/NNG+을/JKO
거쳐	거치/VV+어/EC
1994년	1994/SN+년/NNB
대법관에서	대법관/NNG+에서/JKB
퇴임했으며,	퇴임하/VV+였/EP+으며/EC+,/SP
같은	같/VA+은/ETM
해	해/NNG
제2대	제/XPN+2/SN+대/NNB
헌법재판소	헌법재판소/NNG
소장으로	소장/NNG+으로/JKB
취임해	취임하/VV+여/EC
2000년	2000/SN+년/NNB
임기	임기/NNG
만료로	만료/NNG+로/JKB
물러났다	물러나/VV+았/EP+다/EF

새누리당	새누리당/NNP
대선	대선/NNG
중앙선대위	중앙선대위/NNG
명단100%	명단/NNG+100/SN+%/SW
대한민국대통합위원회=위원장	대한민국대/NNP+통합위원회/NNG+=/SW+위원장/NNG
박근혜,	박근혜/NNP+,/SP
수석부위원장	수석부위원장/NNG
한광옥,	한광옥/NNP+,/SP
부위원장	부위원장/NNG
인요한	인요하/VV+ㄴ/ETM
윤주경	윤주경/NNP
김중태,	김중태/NNP+,/SP
기획담당특보	기획담당특보/NNG
김경재,	김경재/NNP+,/SP
위원	위원/NNG
김규옥	김규옥/NNP
김준용	김준용/NNP
김용직	김용직/NNP
김현장	김현장/NNP
심용식	심용식/NNP
유성식	유성식/NNP
이대용	이대용/NNP
이종철	이종철/NNP
임향순	임향순/NNP
최영호	최영호/NNP
최홍재	최홍재/NNP
최회원	최회원/NNP
한경남	한경남/NNP

공약위원회=위원장	공약위원회/NNG+=/SW+위원장/NNG
박근혜	박근혜/NNP
중앙선대위	중앙선대위/NNG
의장단	의장단/NNG
=김태호	=/SW+김태호/NNP
안상수	안상수/NNP
임태희	임태희/NNP
국민행복추진위원회=위원장	국민행복추진위원회/NNG+=/SW+위원장/NNG
김종인	김종인/NNP
정치쇄신특별위원회=위원장	정치쇄신특별위원회/NNG+=/SW+위원장/NNG
안대희,	안대희/NNP+,/SP
클린정치위	클린정치위/NNP
위원장	위원장/NNG
남기춘	남기춘/NNP
중앙선거대책위원장=김성주	중앙선거대책위원장/NNG+=/SW+김성주/NNP
김용준	김용준/NNP
정몽준	정몽준/NNP
황우여	황우여/NNP
중앙선거대책부위원장=김진선	중앙선거대책부위원장/NNG+=/SW+김진선/NNP
남경필	남경필/NNP
심재철	심재철/NNP
유기준	유기준/NNP
유승민	유승민/NNP
이혜훈	이혜훈/NNP
정병국	정병국/NNP
정우택	정우택/NNP
총괄선거대책본부장=김무성	총괄선거대책본부/NNG+장/XSN+=/SW+김무성/NNP
당무조정본부장=서병수	당무조정본/NNP+부/NNG+장/XSN+=/SW+서병수/NNP
종합상황실=실장	종합상황/NNG+실/XSN+=/SW+실장/NNG
권영세,	권영세/NNP+,/SP
부실장	부/XPN+실장/NNG
김호연,	김호연/NNP+,/SP
권영진	권영진/NNP
김태원	김태원/NNP
백성운	백성운/NNP
서장은	서장/NNG+은/JX
윤재옥	윤재옥/NNP
이종혁	이종혁/NNP
공보단=단장	공보/NNG+단/XSN+=/SW+단장/NNG
이정현,	이정현/NNP+,/SP
대변인단	대변인/NNG+단/XSN
이상일	이상일/NNP
조윤선	조윤선/NNP
중소기업소상공인벤처협력단=정희수	중소기업소상공인벤처협력/NNG+단/XSN+=/SW+정희수/NNP
김윤종	김윤종/NNP
이현재	이현재/NNP
김병호	김병호/NNP
이은정	이은정/NNP
송호근	송호근/NNP
여성본부=본부장	여성본부/NNG+=/SW+본부/NNG+장/XSN
김태현,	김태현/NNP+,/SP
김을동	김을동/NNP
김옥이	김옥이/NNP
박순자	박순자/NNP
강은희	강은희/NNP
청년본부=본부장	청년본부/NNG+=/SW+본부/NNG+장/XSN
김상민,	김상민/NNP+,/SP
부본부장	부본/NNP+부장/NNG
오신환	오신환/NNP
직능본부=총괄본부장	직능본부/NNG+=/SW+총괄본부/NNG+장/XSN
유정복,	유정복/NNP+,/SP
총괄부본부장	총괄부본부/NNG+장/XSN
윤상현	윤상현/NNP
조직본부=본부장	조직본부/NNG+=/SW+본부/NNG+장/XSN
홍문종,	홍문종/NNP+,/SP
김태환	김태환/NNP
김학용	김학용/NNP
안재홍	안재홍/NNP
이장우	이장우/NNP
홍일표	홍일표/NNP
홍보소셜미디어=홍보본부장	홍보소셜미디어/NNG+=/SW+홍보/NNP+본부/NNG+장/XSN
변추석,	변추석/NNG+,/SP
홍보본부	홍보본부/NNG
부위원장	부위원장/NNG
조동원,	조동원/NNP+,/SP
미디어본부장	미디어본부/NNG+장/XSN
박창식,	박창식/NNP+,/SP
SNS본부장	SNS/SL+본부/NNG+장/XSN
김철균,	김철균/NNP+,/SP
SNS소통자문위원회	SNS/SL+소통자문위원회/NNG
강요식	강요식/NNG
특보단=단장	특보/NNG+단/XSN+=/SW+단장/NNG
이주영,	이주영/NNP+,/SP
남재준(국방안보	남재준/NNP+(/SS+국방안보/NNG
분야),	분야/NNG+)/SS+,/SP
김영목(통일외교),	김영목/NNP+(/SS+통일외교/NNG+)/SS+,/SP
최순홍(과학기술),	최순홍/NNP+(/SS+과학기술/NNG+)/SS+,/SP
박선영(북한),	박선영/NNP+(/SS+북한/NNP+)/SS+,/SP
민현주(여성),	민현주/NNP+(/SS+여성/NNG+)/SS+,/SP
김규환(	김규환/NNP+(/SS
일자리),	일자리/NNG+)/SS+,/SP
장흥순(벤처),	장흥순/NNP+(/SS+벤처/NNG+)/SS+,/SP
최외출(기획조정)	최/NNP+외출/NNG+(/SS+기획조정/NNG+)/SS
