장애인단체ㆍ교수단체	장애인단체/NNG+ㆍ/SP+교수단체/NNG
등	등/NNB
안철수	안철수/NNP
지지	지지/NNG
선언	선언/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
홍지인	홍지인/NNP
기자	기자/NNG
=	=/SW
야권의	야권/NNG+의/JKG
후보	후보/NNG
단일화	단일화/NNG
협상이	협상/NNG+이/JKS
진통을	진통/NNG+을/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
22일	22/SN+일/NNB
무소속	무소속/NNG
안철수	안철수/NNP
대선후보에	대선후보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공개	공개/NNG
지지	지지/NNG
선언이	선언/NNG+이/JKS
잇따랐다	잇따라/VV+았/EP+다/EF

이날	이날/NNG
하루에만	하루/NNG+에/JKB+만/JX
장애인단체와	장애인단체/NNG+와/JC
개인택시기사모임,	개인택시기사모임/NNG+,/SP
교수단체	교수단체/NNG
등의	등/NNB+의/JKG
지지	지지/NNG
선언이	선언/NNG+이/JKS
이어졌다	이어지/VV+었/EP+다/EF

`인권과	`/SW+인권/NNG+과/JKB
사회통합을	사회통합/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
장애인의	장애인/NNG+의/JKG
미래포럼'은	미래포럼/NNG+'/SS+은/JX
오전	오전/NNG
공평동	공평동/NNP
캠프에서	캠프/NNG+에서/JKB
출범식을	출범식/NNG+을/JKO
갖고	갖/VV+고/EC
안	안/NNG
후보	후보/NNG
지지를	지지/NNG+를/JKO
선언했다	선언하/VV+였/EP+다/EF

우창윤	우창윤/NNP
상임대표	상임대표/NNG
등	등/NNB
90여명은	90/SN+여/XSN+명/NNB+은/JX
출범선언문에서	출범선언문/NNG+에서/JKB
"270만	"/SS+270/SN+만/NR
장애인의	장애인/NNG+의/JKG
온	온/MM
마음을	마음/NNG+을/JKO
모아	모으/VV+아/EC
아름다운	아름답/VA+ㄴ/ETM
단일화를	단일화/NNG+를/JKO
실현하고,	실현하/VV+고/EC+,/SP
정권교체와	정권교체/NNG+와/JC
정치쇄신을	정치쇄신/NNG+을/JKO
이루는	이루/VV+는/ETM
그날까지	그날/NNG+까지/JX
국민이	국민/NNG+이/JKS
선택하는	선택하/VV+는/ETM
새로운	새롭/VA+ㄴ/ETM
변화에	변화/NNG+에/JKB
함께	함께/MAG
하겠다"고	하/VV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

또	또/MAG
서상석	서상석/NNP
공동대표	공동대표/NNG
등	등/NNB
개인택시기사	개인택시기사/NNG
45명으로	45/SN+명/NNB+으로/JKB
이뤄진	이루어지/VV+ㄴ/ETM
`생존권	`/SW+생존권/NNG
보장을	보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
서울개인택시	서울개인택시/NNP
일동'은	일동/NNP+'/SS+은/JX
"안	"/SS+안/NNP
후보에게	후보/NNG+에게/JKB
주어진	주어지/VV+ㄴ/ETM
시대의	시대/NNG+의/JKG
숙제를	숙제/NNG+를/JKO
함께	함께/MAG
감당하고자	감당하/VV+고자/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"이를	"/SS+이/NP+를/JKO
위해	위하/VV+여/EC
개인택시	개인택시/NNG
업계와	업계/NNG+와/JC
모든	모든/MM
국민이	국민/NNG+이/JKS
총력을	총력/NNG+을/JKO
모아주길	모으/VV+아/EC+주/VX+기/ETN+ㄹ/JKO
간절히	간절히/MAG
바란다"고	바라/VV+ㄴ다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

117개	117/SN+개/NNB
대학	대학/NNG
교수	교수/NNG
1천76명으로	1/SN+천/NR+76/SN+명/NNB+으로/JKB
구성된	구성되/VV+ㄴ/ETM
`안철수	`/SW+안철수/NNP
후보를	후보/NNG+를/JKO
지지하는	지지하/VV+는/ETM
전국	전국/NNG
교수	교수/NNG
일동'도	일동/NNP+'/SS+도/JX
"오직	"/SS+오직/MAG
국민이	국민/NNG+이/JKS
불러낸	불러내/VV+ㄴ/ETM
안	안/NNP
후보만이	후보/NNG+만/JX+이/JKS
정치혁신과	정치혁신/NNG+과/JC
정권교체	정권교체/NNG
및	및/MAG
시대의	시대/NNG+의/JKG
소임을	소임/NNG+을/JKO
능히	능히/MAG
감당할	감당하/VV+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
지지를	지지/NNG+를/JKO
표명했다	표명하/VV+였/EP+다/EC

이외에도	이외/NNG+에/JKB+도/JX
부산지역	부산/NNP+지역/NNG
대학교수	대학교수/NNG
129명	129/SN+명/NNB
시민정책모니터링단	시민정책모니터링/NNG+단/XSN
김서희	김서희/NNP
외	외/NNB
운영위원	운영위원/NNG
43인	43/SN+인/NNG
촛불인권연대	촛불인권연대/NNG
이재교	이재교/NNP
대표	대표/NNG
외	외/NNB
공동대표	공동대표/NNG
3인	3/SN+인/NNG
청년희망포럼	청년희망포럼/NNG
최은상	최은상/NNP
목사	목사/NNG
외	외/NNB
100명	100/SN+명/NNB
안철수지지	안철수지지/NNG
카카오톡운동본부	카카오톡운동본부/NNG
황용철	황용철/NNP
외	외/NNB
운영위원	운영위원/NNG
11인	11/SN+인/NNG
등이	등/NNB+이/JKS
지지의사를	지지의사/NNG+를/JKO
밝혔다	밝히/VV+었/EP+다/EC

ljungberg@yna	ljungberg/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
