심상정,	심상정/NNG+,/SP
대선	대선/NNG
후보직	후보직/NNG
사퇴…'문재인	사퇴/NNG+…/SE+'/SS+문재/NNG+이/VCP+ㄴ/ETM
지지'	지지/NNG+'/SS

진보정의당	진보정의당/NNP
심상정	심상정/NNP
대선	대선/NNG
후보가	후보/NNG+가/JKS
26일	26/SN+일/NNB
국회에서	국회/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
민주통합당	민주통합당/NNP
문재인	문재/NNG+이/VCP+ㄴ/ETM
후보	후보/NNG
지지를	지지/NNG+를/JKO
선언하며	선언하/VV+며/EC
대선	대선/NNG
후보직을	후보직/NNG+을/JKO
사퇴했다	사퇴하/VV+였/EP+다/EF

앞서	앞서/MAG
심	심/NNP
후보는	후보/NNG+는/JX
부양의무제	부양의무제/NNG
및	및/MAG
장애인등급제	장애인등급/NNG+제/XSN
폐지를	폐지/NNG+를/JKO
통해	통하/VV+여/EC
장애인,	장애인/NNG+,/SP
빈곤층	빈곤/NNG+층/XSN
등	등/NNB
취약계층의	취약계층/NNG+의/JKG
기초생활을	기초생활/NNG+을/JKO
보장하겠다는	보장하/VV+겠/EP+다는/ETM
공약을	공약/NNG+을/JKO
발표한	발표하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EF

또한	또한/MAG
수화언어	수화언어/NNG
및	및/MAG
농문화	농문화/NNG
법률제정	법률제정/NNG
일반교과에	일반교과/NNG+에/JKB
수화과목	수화과목/NNG
외국어로	외국어/NNG+로/JKB
채택	채택/NNG
농교육	농교육/NNG
개선을	개선/NNG+을/JKO
약속했다	약속하/VV+었/EP+다/EC

이날	이날/NNG
심	심/NNP
후보는	후보/NNG+는/JX
“사퇴로,	“/SN+사퇴/NNG+로/JKB+,/SP
사실상	사실상/NNG
야권의	야권/NNG+의/JKG
대표주자가	대표주자/NNG+가/JKC
된	되/VV+ㄴ/ETM
문재인	문재/NNG+이/VCP+ㄴ/ETM
후보를	후보/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
정권교체의	정권교체/NNG+의/JKG
열망을	열망/NNG+을/JKO
모아내는	모으/VV+아/EC+내/VX+는/ETM
계기가	계기/NNG+가/JKC
되길	되/VV+기/ETN+ㄹ/JKO
바란다”면서	바란다”/VV+면서/EC
“대통령	“/SL+대통령/NNG
후보로서	후보/NNG+로서/JKB
역할은	역할/NNG+은/JX
여기서	여기/NP+서/JKB
끝나지만,	끝나/VV+지만/EC+,/SP
노동권	노동권/NNG
강화와	강화/NNG+와/JC
정치개혁의	정치개혁/NNG+의/JKG
향한	향하/VV+ㄴ/ETM
저와	저/NP+와/JC
진보정의당의	진보정의당/NNP+의/JKG
노력은	노력/NNG+은/JX
진보적	진보적/NNG
정권교체를	정권교체/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
정책연대를	정책연대/NNG+를/JKO
통해	통하/VV+여/EC
계속될	계속되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

이어	이어/MAG
“응원해주신	“/SN+응원하/VV+여/EC+주/VX+시/EP+ㄴ/ETM
비정규직	비정규직/NNG
노동자,	노동자/NNG+,/SP
중소상공인,	중소상공/NNG+이/VCP+ㄴ/ETM+,/SP
장애인,	장애인/NNG+,/SP
농민,	농민/NNG+,/SP
청년,	청년/NNG+,/SP
여성	여성/NNG
등	등/NNB
서민	서민/NNG
여러분께	여러분/NP+께/JKB
감사의	감사/NNG+의/JKG
인사를	인사/NNG+를/JKO
드린다”고	드리/VV+ㄴ다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

아래는	아래/NNG+는/JX
심상정	심상정/NNP
후보	후보/NNG
대선	대선/NNG
후보	후보/NNG
사퇴	사퇴/NNG
기자회견문	기자회견문/NNG
전문	전문/NNG

존경하는	존경하/VV+는/ETM
국민여러분	국민여러분/NNG

저는	저/NP+는/JX
오늘	오늘/NNG
진보정의당	진보정의당/NNP
대통령	대통령/NNG
후보직을	후보직/NNG+을/JKO
사퇴합니다	사퇴합니/VV+다/EC

저의	저/NP+의/JKG
사퇴가	사퇴/NNG+가/JKS
사실상	사실상/NNG
야권의	야권/NNG+의/JKG
대표주자가	대표주자/NNG+가/JKC
된	되/VV+ㄴ/ETM
문재인	문재/NNG+이/VCP+ㄴ/ETM
후보를	후보/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
정권교체의	정권교체/NNG+의/JKG
열망을	열망/NNG+을/JKO
모아내는	모으/VV+아/EC+내/VX+는/ETM
계기가	계기/NNG+가/JKC
되길	되/VV+기/ETN+ㄹ/JKO
바랍니다	바랍니/VV+다/EC

후보직을	후보직/NNG+을/JKO
사퇴하면서	사퇴하/VV+면서/EC
철탑	철탑/NNG
위에	위/NNG+에/JKB
매달린	매달리/VV+ㄴ/ETM
채	채/NNB
찬바람을	찬바람/NNG+을/JKO
견디고	견디/VV+고/EC
있는	있/VX+는/ETM
울산의	울산/NNP+의/JKG
현대차	현대차/NNP
비정규직	비정규직/NNG
노동자,	노동자/NNG+,/SP
평택의	평택/NNP+의/JKG
쌍용차	쌍용차/NNP
해고노동자	해고노동자/NNG
그리고	그리고/MAJ
다리	다리/NNG
난간에	난간/NNG+에/JKB
매달린	매달리/VV+ㄴ/ETM
아산의	아산/NNG+의/JKG
유성기업	유성기업/NNG
노동자의	노동자/NNG+의/JKG
모습이	모습/NNG+이/JKS
눈에	눈/NNG+에/JKB
밟힙니다	밟힙니/VV+다/EC

그러나	그러나/MAJ
그분들을	그분/NP+들/XSN+을/JKO
따뜻한	따뜻하/VA+ㄴ/ETM
가족의	가족/NNG+의/JKG
품,	품/NNG+,/SP
그리고	그리고/MAJ
정다운	정답/VA+ㄴ/ETM
직장으로	직장/NNG+으로/JKB
돌려	돌리/VV+어/EC
보내드리겠다는	보내/VV+어/EC+드리/VX+겠/EP+다는/ETM
저의	저/NP+의/JKG
약속은	약속/NNG+은/JX
