대선후보,	대선후보/NNG+,/SP
복지	복지/NNG
정책	정책/NNG
실현	실현/NNG
방안은?	방안/NNG+은/JX+?/SF

중앙선거방송토론위원회는	중앙선거방송토론위원회/NNG+는/JX
오는	오/VV+는/ETM
10일	10/SN+일/NNB
오후	오후/NNG
8시부터	8/SN+시/NNB+부터/JX
2시간	2/SN+시간/NNB
동안	동안/NNG
KBS에서	KBS/SL+에서/JKB
두	두/MM
번째	번째/NNB
대선	대선/NNG
후보자	후보자/NNG
토론회를	토론회/NNG+를/JKO
개최한다	개최하/VV+ㄴ다/EF

이날	이날/NNG
토론회는	토론회/NNG+는/JX
박근혜(새누리당),	박근혜/NNP+(/SS+새누리당/NNP+)/SS+,/SP
문재인(민주통합당),	문재인/NNP+(/SS+민주통합당/NNP+)/SS+,/SP
이정희(통합진보당)	이정희/NNP+(/SS+통합진보당/NNP+)/SS
후보자가	후보자/NNG+가/JKS
참석한	참석하/VV+ㄴ/ETM
가운데	가운데/NNG
‘경기침체	‘/SL+경기침체/NNG
장기화에	장기화/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
대책’,	대책’/NNG+,/SP
‘경제민주화	‘/SL+경제민주화/NNG
실현	실현/NNG
방안’,	방안/NNG+’/SL+,/SP
‘일자리	‘/SL+일자리/NNG
창출과	창출/NNG+과/JC
고용안정	고용안정/NNG
방안’과	방안/NNG+’/SL+과/JC
대국민질문	대/XPN+국민질문/NNG
공모를	공모/NNG+를/JKO
통해	통하/VV+여/EC
선정된	선정되/VV+ㄴ/ETM
‘복지정책	‘/SN+복지정책/NNG
실현	실현/NNG
방안’을	방안’/NNG+을/JKO
주제로	주제/NNG+로/JKB
진행된다	진행되/VV+ㄴ다/EC

황상무	황상무/NNP
KBS	KBS/SL
기자가	기자/NNG+가/JKS
사회를	사회/NNG+를/JKO
맡아	맡/VV+아/EC
진행하며,	진행하/VV+며/EC+,/SP
KBS,	KBS/SL+,/SP
MBC,	MBC/SL+,/SP
SBS	SBS/SL
방송과	방송/NNG+과/JC
라디오	라디오/NNG
동시에	동시/NNG+에/JKB
생중계된다	생중계되/VV+ㄴ다/EF
