文,	文/SL+,/SP
“장애인	“/SL+장애인/NNG
인권보장…등급제	인권보장/NNG+…/SE+등급/NNG+제/XSN
폐지할	폐지하/VV+ㄹ/ETM
것”	것/NNB+”/SL

‘제64회	‘/SL+제/XPN+64/SN+회/NNB
세계인권선언의	세계인권선언/NNG+의/JKG
날’을	날/NNG+’/SL+을/JKO
맞아,	맞/VV+아/EC+,/SP
민주통합당	민주통합당/NNP
문재인	문재/NNG+이/VCP+ㄴ/ETM
대선	대선/NNG
후보가	후보/NNG+가/JKS
사회적	사회적/NNG
약자인	약자/NNG+이/VCP+ㄴ/ETM
장애인의	장애인/NNG+의/JKG
인권보장에	인권보장/NNG+에/JKB
힘쓰기	힘쓰/VV+기/ETN
위해	위하/VV+여/EC
장애등급제를	장애등급/NNG+제/XSN+를/JKO
폐지할	폐지하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
약속했다	약속하/VV+었/EP+다/EC

문	문/NNP
후보는	후보/NNG+는/JX
10일	10/SN+일/NNB
오전	오전/NNG
‘문재인의	‘/SN+문재인/NNG+의/JKG
인권정책	인권정책/NNG
10대	10/SN+대/NNB
과제	과제/NNG
발표’를	발표’/NNG+를/JKO
발표하고,	발표하/VV+고/EC+,/SP
모든	모든/MM
국민이	국민/NNG+이/JKS
인권사각지대에	인권사각지대/NNG+에/JKB
놓이지	놓이/VV+지/EC
않도록	않/VX+도록/EC
사회적	사회적/NNG
약자	약자/NNG
및	및/MAG
소수자의	소수자/NNG+의/JKG
인권	인권/NNG
보장에	보장/NNG+에/JKB
힘쓸	힘쓰/VV+ㄹ/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
선언했다	선언하/VV+였/EP+다/EF

문	문/NNP
후보는	후보/NNG+는/JX
“인권은	“/SN+인권/NNG+은/JX
우리	우리/NP
사회의	사회/NNG+의/JKG
기초이다	기초/NNG+이/VCP+다/EC

누구나	누구/NP+나/JX
존중받으며	존중/NNG+받/VV+으며/EC
사는	살/VV+는/ETM
사회,	사회/NNG+,/SP
국가가	국가/NNG+가/JKS
단	단/MM
한	한/MM
사람의	사람/NNG+의/JKG
인권도	인권/NNG+도/JX
소홀히	소홀히/MAG
하지	하/VV+지/EC
않는	않/VX+는/ETM
사회	사회/NNG

저는	저/NP+는/JX
바로	바로/MAG
이러한	이러하/VA+ㄴ/ETM
사회를	사회/NNG+를/JKO
원한다”며	원하/VV+ㄴ다”며/EC
“장애인	“/SL+장애인/NNG
등급제를	등급/NNG+제/XSN+를/JKO
폐지해	폐지하/VV+여/EC
개별	개별/NNG
장애인의	장애인/NNG+의/JKG
욕구에	욕구/NNG+에/JKB
맞는	맞/VV+는/ETM
복지를	복지/NNG+를/JKO
제공하겠다”고	제공하/VV+겠/EP+다/EC+”/SN+고/JKQ
말했다	말하/VV+였/EP+다/EC

이어	이어/MAG
문	문/NNP
후보는	후보/NNG+는/JX
“국가인권위원회의	“/SL+국가인권위원회/NNG+의/JKG
독립성을	독립성/NNG+을/JKO
회복하고	회복하/VV+고/EC
그	그/MM
기능을	기능/NNG+을/JKO
강화하겠다	강화하/VV+겠/EP+다/EC

국가인권위원회의	국가인권위원회/NNG+의/JKG
조직과	조직/NNG+과/JC
인사,	인사/NNG+,/SP
예산	예산/NNG
등	등/NNB
모든	모든/MM
측면에서	측면/NNG+에서/JKB
독립성을	독립성/NNG+을/JKO
보장하겠다”며	보장하/VV+겠/EP+다/EC+”/VV+며/EC
“세군데	“/SL+세구/VV+ㄴ/ETM+데/NNB
밖에	밖/NNG+에/JKB
없는	없/VA+는/ETM
지방인권사무소를	지방인권사무소/NNG+를/JKO
전국으로	전국/NNG+으로/JKB
확대할	확대하/VV+ㄹ/ETM
것”을	것/NNB+”/SL+을/JKO
약속했다	약속하/VV+었/EP+다/EC

이외에도	이외/NNG+에/JKB+도/JX
문	문/NNP
후보는	후보/NNG+는/JX
개인정보	개인정보/NNG
보호	보호/NNG
강화	강화/NNG
참정권	참정권/NNG
확대	확대/NNG
포괄적	포괄적/NNG
차별금지법	차별금지법/NNG
제정	제정/NNG
군	군/NNG
사법개혁	사법개혁/NNG
단행	단행/NNG
범죄피해자	범죄피해자/NNG
인권보호	인권보호/NNG
강화	강화/NNG
형사공공변호인제도	형사공공변호인제도/NNG
도입	도입/NNG
동아시아	동아시아/NNP
인권평화	인권평화/NNG
공동체	공동체/NNG
