선관위,	선관위/NNG+,/SP
홍사덕ㆍ장향숙	홍사덕/NNP+ㆍ/SP+장향숙/NNP
검찰	검찰/NNG
고발(종합2보)	고발/NNG+(/SS+종합/NNG+2/SN+보/NNG+)/SS

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
김연정	김연정/NNP
기자	기자/NNG
=	=/SW
중앙선거관리위원회는	중앙선거관리위원회/NNG+는/JX
17일	17/SN+일/NNB
지난	지나/VV+ㄴ/ETM
4ㆍ11	4/SN+ㆍ/SP+11/SN
총선	총선/NNG
직전	직전/NNG
본인	본인/NNG
또는	또는/MAG
측근이	측근/NNG+이/JKS
수천만원의	수천만/NR+원/NNB+의/JKG
불법	불법/NNG
정치자금을	정치자금/NNG+을/JKO
수수한	수수하/VA+ㄴ/ETM
혐의(정치자금법	혐의/NNG+(/SS+정치자금법/NNG
위반)로	위반/NNG+)/SS+로/JKB
홍사덕	홍사덕/NNP
전	전/MM
의원과	의원/NNG+과/JC
그에게	그/NP+에게/JKB
돈을	돈/NNG+을/JKO
건넨	건네/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
모	모/MM
중소기업	중소기업/NNG
대표	대표/NNG
A씨를	A/SL+씨/NNB+를/JKO
검찰에	검찰/NNG+에/JKB
고발했다	고발하/VV+였/EP+다/EF

선관위는	선관위/NNG+는/JX
또	또/MAG
4ㆍ11	4/SN+ㆍ/SP+11/SN
총선에서	총선/NNG+에서/JKB
비례대표	비례대표/NNG
후보자	후보자/NNG
추천과	추천/NNG+과/JC
관련해	관련하/VV+여/EC
수천만원의	수천만/NR+원/NNB+의/JKG
금품을	금품/NNG+을/JKO
제공받은	제공/NNG+받/VV+은/ETM
혐의(공직선거법	혐의/NNG+(/SS+공직선거법/NNG
위반)로	위반/NNG+)/SS+로/JKB
민주통합당	민주통합당/NNP
후보자로	후보자/NNG+로/JKB
총선에	총선/NNG+에/JKB
출마했다가	출마하/VV+였/EP+다가/EC
낙선한	낙선하/VV+ㄴ/ETM
장향숙	장향숙/NNP
전	전/MM
열린우리당(현	열린우리당/NNP+(/SS+현/MM
민주당)	민주당/NNP+)/SS
의원을	의원/NNG+을/JKO
검찰에	검찰/NNG+에/JKB
고발했다	고발하/VV+였/EP+다/EF

선관위에	선관위/NNG+에/JKB
따르면	따르/VV+면/EC
모	모/MM
중소기업	중소기업/NNG
대표	대표/NNG
A씨는	A/SL+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
중순	중순/NNG
회사	회사/NNG
직원과	직원/NNG+과/JC
종로구의	종로구/NNP+의/JKG
홍	홍/NNP
전	전/MM
의원	의원/NNG
국회의원	국회의원/NNG
선거사무소를	선거사무소/NNG+를/JKO
찾아가	찾아가/VV+아/EC
1만원권	1/SN+만/NR+원/NNB+권/XSN
현금	현금/NNG
총	총/MM
5천만원이	5/SN+천만/NR+원/NNB+이/JKS
담긴	담기/VV+ㄴ/ETM
상자를	상자/NNG+를/JKO
홍	홍/NNP
전	전/NNG
의원의	의원/NNG+의/JKG
측근에게	측근/NNG+에게/JKB
전달한	전달하/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다	있/VX+다/EC

또	또/MAG
A씨는	A/SL+씨/NNB+는/JX
지난해	지난해/NNG
추석과	추석/NNG+과/JC
올해	올해/NNG
설에	설/NNG+에/JKB
각각	각각/MAG
30만원	30/SN+만/NR+원/NNB
상당의	상당/NNG+의/JKG
고기세트에	고기세트/NNG+에/JKB
현금	현금/NNG
500만원씩을	500/SN+만/NR+원/NNB+씩/XSN+을/JKO
넣은	넣/VV+은/ETM
택배를	택배/NNG+를/JKO
홍	홍/NNP
전	전/NNG
의원의	의원/NNG+의/JKG
자택으로	자택/NNG+으로/JKB
발송한	발송하/VV+ㄴ/ETM
혐의도	혐의/NNG+도/JX
받았다	받/VV+았/EP+다/EC

선관위	선관위/NNG
관계자는	관계자/NNG+는/JX
"홍사덕	"/SS+홍사덕/NNP
당시	당시/NNG
18대	18/SN+대/NNB
의원은	의원/NNG+은/JX
후원회를	후원회/NNG+를/JKO
통해	통하/VV+여/EC
후원금을	후원금/NNG+을/JKO
받지	받/VV+지/EC
않았고	않/VX+았/EP+고/EC
수입	수입/NNG
내역을	내역/NNG+을/JKO
회계장부에	회계장부/NNG+에/JKB
기재하지	기재하/VV+지/EC
않은	않/VX+은/ETM
데다	데/NNB+다/JX
회계	회계/NNG
보고를	보고/NNG+를/JKO
누락하는	누락하/VV+는/ETM
등	등/NNB
허위로	허위/NNG+로/JKB
회계보고를	회계보고/NNG+를/JKO
해	하/VV+여/EC
검찰에	검찰/NNG+에/JKB
고발한	고발하/VV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
설명했다	설명하/VV+었/EP+다/EC

장	장/NNP
전	전/MM
의원은	의원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
부산의	부산/NNP+의/JKG
한	한/MM
호텔에서	호텔/NNG+에서/JKB
B씨로부터	B/SL+씨/NNB+로부터/JKB
'비례대표	'/SS+비례대표/NNG
후보로	후보/NNG+로/JKB
추천해	추천하/VV+여/EC
달라'는	달/VX+라/EF+'/SS+는/JX
부탁과	부탁/NNG+과/JKB
함께	함께/MAG
현금	현금/NNG
300만원을	300/SN+만/NR+원/NNB+을/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
지난	지나/VV+ㄴ/ETM
2월에는	2/SN+월/NNB+에/JKB+는/JX
부산의	부산/NNP+의/JKG
장	장/NNP
전	전/MM
의원	의원/NNG
예비후보자	예비후보자/NNG
선거사무소에서	선거사무소/NNG+에서/JKB
3천만원을	3/SN+천만/NR+원/NNB+을/JKO
전달받는	전달/NNG+받/VV+는/ETM
등	등/NNB
총	총/MM
3천300만원을	3/SN+천/NR+300/SN+만/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다	있/VX+다/EC

선관위는	선관위/NNG+는/JX
두	두/MM
건	것/NNB+ㄴ/JX
모두	모두/MAG
제보가	제보/NNG+가/JKS
접수돼	접수되/VV+어/EC
자체	자체/NNG
조사를	조사/NNG+를/JKO
벌였으며	벌이/VV+었/EP+으며/EC
이날	이날/NNG
오전	오전/NNG
대검찰청에	대검찰청/NNG+에/JKB
고발장을	고발장/NNG+을/JKO
접수했다고	접수하/VV+였/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

선관위	선관위/NNG
관계자는	관계자/NNG+는/JX
"제보자와	"/SS+제보자/NNG+와/JC
주변	주변/NNG
사람에	사람/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
조사를	조사/NNG+를/JKO
실시했으며	실시하/VV+였/EP+으며/EC
구체적인	구체적/NNG+이/VCP+ㄴ/ETM
증거를	증거/NNG+를/JKO
확보해	확보하/VV+여/EC
이들	이/NP+들/XSN
자료를	자료/NNG+를/JKO
검찰에	검찰/NNG+에/JKB
함께	함께/MAG
제출했다"면서	제출하/VV+였/EP+다/EF+"/SS+면서/EC
"홍	"/SS+홍/NNP
전	전/MM
의원	의원/NNG
사건은	사건/NNG+은/JX
제보가	제보/NNG+가/JKS
들어와	들어오/VV+아/EC
조사를	조사/NNG+를/JKO
벌인	벌이/VV+ㄴ/ETM
지	지/NNB
한	한/MM
달	달/NNB
이상	이상/NNG
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

이어	이어/MAG
