안철수,	안철수/NNP+,/SP
대선후보	대선후보/NNG
사퇴…장애정책	사퇴/NNG+…/SE+장애정책/NNG
약속	약속/NNG
물거품	물거품/NNG

안철수	안철수/NNP
무소속	무소속/NNG
대선후보가	대선후보/NNG+가/JKS
전격적으로	전격적/NNG+으로/JKB
‘대선	‘/SN+대선/NNG
후보직’을	후보직’/NNG+을/JKO
사퇴했다	사퇴하/VV+였/EP+다/EF

이에	이/NP+에/JKB
따라	따르/VV+아/EC
장애인	장애인/NNG
정책으로	정책/NNG+으로/JKB
제시한	제시하/VV+ㄴ/ETM
장애등급제	장애등급/NNG+제/XSN
폐지,	폐지/NNG+,/SP
장애범주	장애범주/NNG
확대	확대/NNG
및	및/MAG
일시장애	일시장애/NNG
인정,	인정/NNG+,/SP
장애인활동보조	장애인활동보조/NNG
대상	대상/NNG
확대,	확대/NNG+,/SP
탈시설	탈시설/NNG
위한	위하/VV+ㄴ/ETM
대안적	대안/NNG+적/XSN
거주	거주/NNG
공간	공간/NNG
마련	마련/NNG
등의	등/NNB+의/JKG
약속을	약속/NNG+을/JKO
지킬	지키/VV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
됐다	되/VV+었/EP+다/EC

안	안/NNP
후보는	후보/NNG+는/JX
23일	23/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
종로구	종로구/NNP
공평동	공평동/NNP
진심캠프에서	진심캠프/NNG+에서/JKB
긴급기자	긴급기자/NNG
회견을	회견/NNG+을/JKO
열어	열/VV+어/EC
“정권교체를	“/SL+정권교체/NNG+를/JKO
위해서	위하/VV+여서/EC
백의종군	백의종군/NNG
할	하/VV+ㄹ/ETM
것”을	것/NNB+”/SL+을/JKO
선언했다	선언하/VV+였/EP+다/EF

그는	그/NP+는/JX
“민주통합당	“/SN+민주통합당/NNG
문재인	문재/NNG+이/VCP+ㄴ/ETM
후보와	후보/NNG+와/JC
단일화	단일화/NNG
방식에	방식/NNG+에/JKB
대해	대하/VV+여/EC
의견을	의견/NNG+을/JKO
좁히지	좁히/VV+지/EC
못했다”며	못하/VX+였/EP+다/EC+”/VV+며/EC
“더	“/SN+더/NNB
이상	이상/NNG
단일화	단일화/NNG
방식을	방식/NNG+을/JKO
놓고	놓/VV+고/EC
대립하는	대립하/VV+는/ETM
것은	것/NNB+은/JX
국민에	국민/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
도리가	도리/NNG+가/JKC
아니라고	아니/VCN+라고/EC
생각한다	생각하/VV+ㄴ다/EF

옳고	옳/VA+고/EC
그름을	그르/VA+ㅁ/ETN+을/JKO
떠나	떠나/VV+아/EC
새	새/MM
정치에	정치/NNG+에/JKB
어긋나고,	어긋나/VV+고/EC+,/SP
국민에게	국민/NNG+에게/JKB
더	더/MAG
많은	많/VA+은/ETM
상처를	상처/NNG+를/JKO
드릴	드리/VV+ㄹ/ETM
뿐”이라고	뿐/NNB+”/SL+이/VCP+라고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
“얼마	“/SN+얼마/NNG
전	전/NNG
제	저/NP+의/JKG
모든	모든/MM
것을	것/NNB+을/JKO
걸고	걸/VV+고/EC
단일화를	단일화/NNG+를/JKO
이루어내겠다고	이루어내/VV+겠/EP+다고/EC
말씀	말씀/NNG
드린	드리/VV+ㄴ/ETM
