장애인등록증에	장애인등록/NNG+증/XSN+에/JKB
고속道	고속/NNG+道/SN
통행료	통행료/NNG
할인기능	할인기능/NNG
추가	추가/NNG

내달부터	내달/NNG+부터/JX
고속도로	고속도로/NNG
통행료	통행료/NNG
할인카드	할인카드/NNG
기능이	기능/NNG+이/JKS
추가된	추가되/VV+ㄴ/ETM
장애인등록증(복지카드)이	장애인등록/NNG+증/XSN+(/SS+복지카드/NNP+)/SS+이/JKS
발급된다	발급되/VV+ㄴ다/EF

또한	또한/MAG
내년	내년/NNG
6월부터	6/SN+월/NNB+부터/JX
시군구청의	시군구청/NNG+의/JKG
장애인증명서	장애인증명서/NNG
발급창구가	발급창구/NNG+가/JKS
민원실로	민원실/NNG+로/JKB
일원화된다	일원화되/VV+ㄴ다/EF

행정안전부는	행정안전부/NNG+는/JX
9일	9/SN+일/NNB
보건복지부,	보건복지부/NNG+,/SP
고용노동부,	고용노동부/NNG+,/SP
여성가족부와	여성가족부/NNG+와/JKB
합동으로	합동/NNG+으로/JKB
추진할	추진하/VV+ㄹ/ETM
26개의	26/SN+개/NNB+의/JKG
민원제도	민원제도/NNG
개선	개선/NNG
계획을	계획/NNG+을/JKO
밝혔다	밝히/VV+었/EP+다/EC

민원제도	민원제도/NNG
개선	개선/NNG
내용을	내용/NNG+을/JKO
살펴보면	살펴보/VV+면/EC
내년	내년/NNG
6월부터	6/SN+월/NNB+부터/JX
장애인이	장애인/NNG+이/JKS
시·군·구청을	시/NNG+·/SP+군/NNG+·/SP+구청/NNG+을/JKO
방문해	방문하/VV+여/EC
장애인증명서를	장애인증명서/NNG+를/JKO
신청할	신청하/VV+ㄹ/ETM
경우	경우/NNG
민원실에서	민원실/NNG+에서/JKB
발급	발급/NNG
받을	받/VV+을/ETM
수	수/NNB
있다	있/VA+다/EC

내달부터는	내달/NNG+부터는/JX
고속도로	고속도로/NNG
통행료	통행료/NNG
할인카드	할인카드/NNG
기능이	기능/NNG+이/JKS
추가된	추가되/VV+ㄴ/ETM
장애인등록증(복지카드)이	장애인등록/NNG+증/XSN+(/SS+복지카드/NNP+)/SS+이/JKS
발급됨에	발급되/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
장애인이	장애인/NNG+이/JKS
장애인등록증만	장애인등록증/NNG+만/JX
있으면	있/VA+으면/EC
고속도로	고속도로/NNG
통행료를	통행료/NNG+를/JKO
할인	할인/NNG
받을	받/VV+을/ETM
수	수/NNB
있어	있/VA+어/EC
따로	따로/MAG
통행료	통행료/NNG
할인카드를	할인카드/NNG+를/JKO
신청하거나	신청하/VV+거나/EC
재발급	재/XPN+발급/NNG
받기	받/VV+기/ETN
위해	위하/VV+여/EC
읍·면·동주민센터를	읍/NNG+·/SP+면/NNG+·/SP+동주민센터/NNG+를/JKO
방문하는	방문하/VV+는/ETM
불편이	불편/NNG+이/JKS
없어질	없어지/VV+ㄹ/ETM
전망이다	전망/NNG+이/VCP+다/EC

내년	내년/NNG
3월부터	3/SN+월/NNB+부터/JX
시·군·구청과	시/NNG+·/SP+군/NNG+·/SP+구청/NNG+과/JC
읍·면·동을	읍/NNG+·/SP+면/NNG+·/SP+동/NNG+을/JKO
방문해	방문하/VV+여/EC
신청하는	신청하/VV+는/ETM
장애인지원	장애인지/NNG+원/XSN
등	등/NNB
사회복지서비스	사회복지서비스/NNG
이용권을	이용권/NNP+을/JKO
온라인으로도	온라인/NNG+으로/JKB+도/JX
신청할	신청하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
시스템이	시스템/NNG+이/JKS
개선된다	개선되/VV+ㄴ다/EF

특히	특히/MAG
내년부터는	내년/NNG+부터는/JX
시·군·구와	시/NNG+·/SP+군/NNG+·/SP+구/NNG+와/JC
읍·면·동에서	읍/NNG+·/SP+면/NNG+·/SP+동/NNG+에서/JKB
사회복지서비스와	사회복지서비스/NNG+와/JC
장애인연금,	장애인연금/NNG+,/SP
기초생활보장	기초생활보장/NNG
등의	등/NNB+의/JKG
급여를	급여/NNG+를/JKO
신청할	신청하/VV+ㄹ/ETM
때	때/NNG
첨부해야	첨부하/VV+여야/EC
하는	하/VX+는/ETM
소득금액증명서를	소득금액증명서/NNG+를/JKO
행정기관	행정기관/NNG
내부시스템에서	내부시스템/NNG+에서/JKB
확인하고	확인하/VV+고/EC
민원인은	민원인/NNG+은/JX
제출하지	제출하/VV+지/EC
않아도	않/VX+아도/EC
돼	되/VV+어/EC
소득금액증명서를	소득금액증명서/NNG+를/JKO
발급받기	발급/NNG+받/VV+기/ETN
위해	위하/VV+여/EC
별도로	별도/NNG+로/JKB
세무서	세무서/NNG
등에	등/NNB+에/JKB
갈	가/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없게	없/VA+게/EC
된다	되/VV+ㄴ다/EF

장애인근로자가	장애인근로자/NNG+가/JKS
자동차	자동차/NNG
구입자금	구입자금/NNG
대출을	대출/NNG+을/JKO
받아	받/VV+아/EC
자동차를	자동차/NNG+를/JKO
구입했을	구입하/VV+였/EP+을/ETM
때	때/NNG
소유권	소유권/NNG
확인을	확인/NNG+을/JKO
위해	위하/VV+여/EC
시·군·구청에	시/NNG+·/SP+군/NNG+·/SP+구청/NNG+에/JKB
제출하는	제출하/VV+는/ETM
자동차등록원부(이륜차의	자동차등록원부/NNG+(/SS+이륜차/NNG+의/JKG
경우	경우/NNG
사용신고필증)를	사용신고필증/NNG+)/SS+를/JKO
자금대여	자금대여/NNG
후	후/NNG
1년이	1/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
경우부터는	경우/NNG+부터는/JX
행정기관	행정기관/NNG
내부에서	내부/NNG+에서/JKB
확인하고,	확인하/VV+고/EC+,/SP
민원인의	민원인/NNG+의/JKG
제출은	제출/NNG+은/JX
폐지된다	폐지되/VV+ㄴ다/EC

장애인증명서에	장애인증명서/NNG+에/JKB
불필요한	불필요하/VA+ㄴ/ETM
발급	발급/NNG
확인란도	확인/NNG+란도/JX
삭제된다	삭제되/VV+ㄴ다/EC

복지부는	복지부/NNG+는/JX
이를	이/NP+를/JKO
위해	위하/VV+여/EC
