"민주당,	"/SS+민주당/NNP+,/SP
최동익	최동익/NNP
공천헌금	공천헌금/NNG
의혹	의혹/NNG
조사해야"	조사하/VV+여야/EF+"/SS

새누리당이	새누리당/NNP+이/JKS
최근	최근/NNG
불거진	불거지/VV+ㄴ/ETM
민주통합당	민주통합당/NNP
최동익	최동익/NNP
국회의원의	국회의원/NNG+의/JKG
공천헌금	공천헌금/NNG
의혹과	의혹/NNG+과/JKB
관련해	관련하/VV+여/EC
민주통합당의	민주통합당/NNP+의/JKG
진상조사를	진상조사/NNG+를/JKO
촉구했다	촉구하/VV+였/EP+다/EC

새누리당	새누리당/NNP
이상일	이상일/NNP
대변인은	대변인/NNG+은/JX
21일	21/SN+일/NNB
논평을	논평/NNG+을/JKO
내고	내/VV+고/EC
“새누리당은	“/SL+새누리당/NNP+은/JX
그동안	그동안/NNG
부정부패	부정부패/NNG
의혹을	의혹/NNG+을/JKO
받은	받/VV+은/ETM
전·현직	전/NNG+·/SP+현직/NNG
의원에	의원/NNG+에/JKB
대해선	대하/VV+여서/EC+ㄴ/JX
자체	자체/NNG
진상조사,	진상조사/NNG+,/SP
제명	제명/NNG
등의	등/NNB+의/JKG
단호한	단호하/VA+ㄴ/ETM
조치를	조치/NNG+를/JKO
취하고	취하/VV+고/EC
검찰	검찰/NNG
수사에	수사/NNG+에/JKB
적극	적극/NNG
협조해	협조하/VV+여/EC
왔으나	오/VX+았/EP+으나/EC
민주당는	민주당/NNP+는/JX
당에서	당/NNG+에서/JKB
발생한	발생하/VV+ㄴ/ETM
비리	비리/NNG
의혹	의혹/NNG
사건에	사건/NNG+에/JKB
대해	대하/VV+여/EC
사실관계조차도	사실관계/NNG+조차도/JX
확인하려는	확인하/VV+려는/ETM
노력을	노력/NNG+을/JKO
하지	하/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
무조건	무조건/MAG
검찰만	검찰/NNG+만/JX
욕하는	욕하/VV+는/ETM
오만한	오만하/VA+ㄴ/ETM
태도를	태도/NNG+를/JKO
취해	취하/VV+여/EC
왔다”고	오/VX+았/EP+다/EC+”/VV+고/EC
질타했다	질타하/VA+었/EP+다/EC

이어	이어/MAG
“남의	“/SN+남/NNG+의/JKG
당에서	당/NNG+에서/JKB
발생한	발생하/VV+ㄴ/ETM
사건에	사건/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
묻지마식	묻/VV+지마/EC+식/XSN
정치	정치/NNG
공세를	공세/NNG+를/JKO
펴며	펴/VV+며/EC
진상조사단까지	진상조사단/NNG+까지/JX
꾸리면서	꾸리/VV+면서/EC
안방	안방/NNG
일은	일/NNG+은/JX
무조건	무조건/MAG
감추려고	감추/VV+려고/EC
하는	하/VX+는/ETM
모습을	모습/NNG+을/JKO
보이고	보이/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“민주당에	“/SW+민주당/NNP+에/JKB
정권을	정권/NNG+을/JKO
맡길	맡기/VV+ㄹ/ETM
경우	경우/NNG
과연	과연/MAG
비리를	비리/NNG+를/JKO
근절할	근절하/VV+ㄹ/ETM
수	수/NNB
있을까	있/VA+을까/EC
하는	하/VV+는/ETM
의구심을	의구심/NNG+을/JKO
갖는	갖/VV+는/ETM
국민이	국민/NNG+이/JKS
많을	많/VA+을/ETM
듯	듯/NNB
싶다”고	싶/VA+다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC

끝으로	끝/NNG+으로/JKB
“민주당이	“/SN+민주당/NNP+이/JKS
최동익	최동익/NNP
의원	의원/NNG
공천헌금	공천헌금/NNG
의혹	의혹/NNG
사건에	사건/NNG+에/JKB
대해서도	대하/VV+여서/EC+도/JX
막무가내로	막무가내/NNG+로/JKB
발뺌하고	발뺌하/VV+고/EC
나선다면	나서/VV+ㄴ다면/EC
국민은	국민/NNG+은/JX
크게	크/VA+게/EC
실망할	실망하/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
점을	점/NNG+을/JKO
유념해야	유념하/VV+여야/EC
할	하/VX+ㄹ/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“민주당은	“/SL+민주당/NNP+은/JX
신속하게	신속하/VA+게/EC
진상조사위를	진상조사위/NNG+를/JKO
구성해	구성하/VV+여/EC
최동익	최동익/NNP
의원	의원/NNG
사건을	사건/NNG+을/JKO
조사하고	조사하/VV+고/EC
검찰	검찰/NNG
수사에	수사/NNG+에/JKB
적극	적극/NNG
협조하기	협조하/VV+기/ETN
바란다”고	바라/VV+ㄴ다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

한편	한편/MAG
검찰은	검찰/NNG+은/JX
지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
4·11총선	4/SN+·/SP+11/SN+총선/NNG
당시	당시/NNG
민주당	민주당/NNP
비례대표	비례대표/NNG
공천과정에서	공천과정/NNG+에서/JKB
금품이	금품/NNG+이/JKS
오간	오가/VV+ㄴ/ETM
정황을	정황/NNG+을/JKO
포착하고	포착하/VV+고/EC
최동익	최동익/NNP
의원과	의원/NNG+과/JC
장향숙	장향숙/NNP
전	전/MM
의원의	의원/NNG+의/JKG
자택과	자택/NNG+과/JC
사무실	사무실/NNG
등을	등/NNB+을/JKO
압수수색했다	압수수색하/VV+였/EP+다/EC

최동익	최동익/NNP
