고만규·이상호,	고만규/NNP+·/SP+이상호/NNP+,/SP
장애인정책	장애인정책/NNG
‘우수’	‘/SL+우수/NNG+’/SL
서울시의원	서울/NNP+시의원/NNG

서울시의회	서울시/NNP+의회/NNG
고만규·이진화(이하	고만규/NNP+·/SP+이진화/NNP+(/SS+이하/NNG
새누리당),	새누리당/NNP+)/SS+,/SP
이상호·박양숙·김생환(이하	이상호/NNP+·/SP+박양숙/NNP+·/SP+김생환/NNP+(/SS+이하/NNG
민주통합당)	민주통합당/NNP+)/SS
의원이	의원/NNG+이/JKS
올해	올해/NNG
서울시	서울시/NNP
지방의회	지방의회/NNG
장애인정책	장애인정책/NNG
우수의원으로	우수의원/NNG+으로/JKB
선정돼	선정되/VV+어/EC
수상하는	수상하/VV+는/ETM
영광을	영광/NNG+을/JKO
안았다	안/VV+았/EP+다/EC

서울장애인인권포럼(이하	서울/NNP+장애인인권포럼/NNG+(/SS+이하/NNG
서울포럼)은	서울/NNP+포럼/NNG+)/SS+은/JX
6일	6/SN+일/NNB
오후	오후/NNG
서울특별시의회	서울/NNP+특별시의회/NNG
별관	별관/NNG
2층	2/SN+층/NNG
강당에서	강당/NNG+에서/JKB
‘2012	‘2012/SN
서울시	서울시/NNP
지방의회	지방의회/NNG
장애인정책	장애인정책/NNG
우수의원	우수의원/NNG
시상식’을	시상식/NNG+’/SL+을/JKO
개최했다	개최하/VV+였/EP+다/EC

서울포럼은	서울포럼/NNP+은/JX
지난	지나/VV+ㄴ/ETM
2007년부터	2007/SN+년/NNB+부터/JX
서울시	서울시/NNP
지방의회의	지방의회/NNG+의/JKG
장애인	장애인/NNG
복지정책	복지정책/NNG
의정활동을	의정활동/NNG+을/JKO
모니터해오고	모니터하/VV+여/EC+오/VX+고/EC
있으며,	있/VX+으며/EC+,/SP
매년	매년/MAG
그	그/MM
결과를	결과/NNG+를/JKO
보고하고	보고하/VV+고/EC
우수의원을	우수의원/NNG+을/JKO
선정해	선정하/VV+여/EC
시상하고	시상하/VV+고/EC
있다	있/VX+다/EC

이번	이번/NNG
모니터	모니터/NNG
기간은	기간/NNG+은/JX
지난해	지난해/NNG
7월부터	7/SN+월/NNB+부터/JX
올	올/NNG
6월까지로	6/SN+월/NNB+까지/JX+로/JKB
각의회의	각의회/NNG+의/JKG
홈페이지를	홈페이지/NNG+를/JKO
통해	통하/VV+여/EC
웹서비스	웹서비스/NNG
되고	되/VV+고/EC
있는	있/VX+는/ETM
본회의,	본회의/NNG+,/SP
예산결산특별위원회,	예산결산특별위원회/NNG+,/SP
상임위원회	상임위원회/NNG
등	등/NNB
관련	관련/NNG
회의록을	회의록/NNG+을/JKO
전수	전수/NNG
모니터	모니터/NNG
한	한/MM
후	후/NNG
장애인	장애인/NNG
정책과	정책/NNG+과/JKB
관련	관련/NNG
발언,	발언/NNG+,/SP
질의를	질의/NNG+를/JKO
