安,	安/SL+,/SP
“장애등급제·부양의무제	“/SN+장애등급/NNG+제/XSN+·/SP+부양의무제/NNG
폐지”	폐지/NNG+”/SN

무소속	무소속/NNG
안철수	안철수/NNP
대선	대선/NNG
후보는	후보/NNG+는/JX
11일	11/SN+일/NNB
서울	서울/NNP
종로구	종로구/NNP
공평동	공평동/NNP
선거캠프에서	선거캠프/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
7대	7/SN+대/NNB
비전을	비전/NNG+을/JKO
실현하기	실현하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
850개	850/SN+개/NNB
이상의	이상/NNG+의/JKG
실천과제가	실천과제/NNG+가/JKS
포함된	포함되/VV+ㄴ/ETM
정책집	정책집/NNG
‘안철수의	‘안철수/NNG+의/JKG
약속’을	약속’/NNG+을/JKO
발표했다	발표하/VV+였/EP+다/EC

안	안/NNP
후보가	후보/NNG+가/JKS
제시한	제시하/VV+ㄴ/ETM
7대	7/SN+대/NNG
비전은	비전/NNG+은/JX
문제가	문제/NNG+가/JKC
아니라	아니/VCN+라/EC
답을	답/NNG+을/JKO
주는	주/VV+는/ETM
정치	정치/NNG
개인과	개인/NNG+과/JC
기업이	기업/NNG+이/JKS
함께	함께/MAG
성공하는	성공하/VV+는/ETM
경제	경제/NNG
모든	모든/MM
가능성이	가능성/NNG+이/JKS
발휘되는	발휘되/VV+는/ETM
사회	사회/NNG
부담	부담/NNG
없이	없이/MAG
결혼할	결혼하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
나라	나라/NNG
인간	인간/NNG
존엄성을	존엄성/NNG+을/JKO
지켜주는	지키/VV+어/EC+주/VX+는/ETM
나라	나라/NNG
다음	다음/NNG
세대를	세대/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
사회	사회/NNG
강하고	강하/VA+고/EC
당당하고	당당하/VA+고/EC
평화로운	평화롭/VA+ㄴ/ETM
한반도다	한반도/NNP+다/EF

이	이/MM
중	중/NNB
복지	복지/NNG
정책	정책/NNG
비전으로는	비전/NNG+으로/JKB+는/JX
‘인간	‘/SL+인간/NNG
존엄성을	존엄성/NNG+을/JKO
지켜주는	지키/VV+어/EC+주/VX+는/ETM
나라’로	나라’/NNG+로/JKB
안	안/MAG
후보는	후보/NNG+는/JX
노인과	노인/NNG+과/JC
장애인,	장애인/NNG+,/SP
취약계층의	취약계층/NNG+의/JKG
삶이	삶/NNG+이/JKS
보장되는	보장되/VV+는/ETM
나라	나라/NNG
병원비	병원/NNG+비/XSN
걱정	걱정/NNG
없는	없/VA+는/ETM
건강하고	건강하/VA+고/EC
행복한	행복하/VA+ㄴ/ETM
삶	삶/NNG
꿈이	꿈/NNG+이/JKS
자라는	자라/VV+는/ETM
아동·청소년	아동/NNG+·/SP+청소년/NNG
세상	세상/NNG
등	등/NNB
3가지의	3/SN+가지/NNB+의/JKG
정책을	정책/NNG+을/JKO
제안했다	제안하/VV+였/EP+다/EC

장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정책으로	정책/NNG+으로/JKB
장애등급제	장애등급/NNG+제/XSN
폐지를	폐지/NNG+를/JKO
비롯해	비롯하/VV+여/EC
활동보조	활동보조/NNG
서비스	서비스/NNG
대상	대상/NNG
확대,	확대/NNG+,/SP
탈시설	탈시설/NNG
위한	위하/VV+ㄴ/ETM
거주	거주/NNG
공간	공간/NNG
마련	마련/NNG
등을	등/NNB+을/JKO
손	손/NNG
꼽았다	꼽/VV+았/EP+다/EF

■장애	■/SW+장애/NNG
등록은	등록/NNG+은/JX
유지…등급제는	유지/NNG+…/SE+등급/NNG+제/XSN+는/JX
폐지=먼저	폐지/NNG+=/SW+먼저/MAG
안	안/NNP
후보는	후보/NNG+는/JX
“장애인	“/SL+장애인/NNG
정책의	정책/NNG+의/JKG
기본이	기본/NNG+이/JKC
되는	되/VV+는/ETM
등록	등록/NNG
등급제는	등급/NNG+제/XSN+는/JX
