민주당	민주당/NNP
대선	대선/NNG
후보에	후보/NNG+에/JKB
장애인복지	장애인복지/NNG
물으니	묻/VV+으니/EC

민주통합당이	민주통합당/NNP+이/JKS
대선을	대선/NNG+을/JKO
앞두고	앞두/VV+고/EC
오는	오/VV+는/ETM
9월23일	9/SN+월/NNB+23/SN+일/NNB
대통령	대통령/NNG
후보	후보/NNG
경선을	경선/NNG+을/JKO
치른다	치르/VV+ㄴ다/EC

현재	현재/MAG
민주통합당	민주통합당/NNP
대통령	대통령/NNG
경선	경선/NNG
후보자는	후보자/NNG+는/JX
정세균,	정세균/NNP+,/SP
김두관,	김두관/NNP+,/SP
손학규,	손학규/NNP+,/SP
문재인,	문재인/NNP+,/SP
박준영	박준영/NNP
등	등/NNB
총	총/MM
5명이다	5/SN+명/NNB+이/VCP+다/EC

에이블뉴스는	에이블뉴스/NNP+는/JX
대통령	대통령/NNG
후보	후보/NNG
경선을	경선/NNG+을/JKO
앞두고	앞두/VV+고/EC
있는	있/VX+는/ETM
이들	이/NP+들/XSN
후보자들의	후보자/NNG+들/XSN+의/JKG
장애관련	장애관련/NNG
공약을	공약/NNG+을/JKO
들어보는	듣/VV+어/EC+보/VX+는/ETM
시간을	시간/NNG+을/JKO
가졌다	가지/VV+었/EP+다/EC

서면인터뷰는	서면인터뷰/NNG+는/JX
후보자들의	후보자/NNG+들/XSN+의/JKG
장애인공약,	장애인공약/NNG+,/SP
장애인	장애인/NNG
현실에	현실/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
개인적	개인적/NNG
의견,	의견/NNG+,/SP
지난	지나/VV+ㄴ/ETM
4·11총선에서	4/SN+·/SP+11/SN+총선/NNG+에서/JKB
장애계가	장애/NNG+계/XSN+가/JKS
제시한	제시하/VV+ㄴ/ETM
10대	10/SN+대/NNG
공약에	공약/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수용여부	수용여부/NNG
등	등/NNB
3가지	3/SN+가지/NNB
질문으로	질문/NNG+으로/JKB
구성됐다	구성되/VV+었/EP+다/EF

서면인터뷰에는	서면인터뷰/NNG+에/JKB+는/JX
김두관,	김두관/NNP+,/SP
손학규,	손학규/NNP+,/SP
박준영	박준영/NNP
후보가	후보/NNG+가/JKS
응답했으며	응답하/VV+였/EP+으며/EC
이외	이외/NNG
정세균,	정세균/NNP+,/SP
문재인	문재/NNG+이/VCP+ㄴ/ETM
후보는	후보/NNG+는/JX
개인사정	개인사정/NNG
등의	등/NNB+의/JKG
이유로	이유/NNG+로/JKB
인터뷰에	인터뷰/NNG+에/JKB
응하지	응하/VV+지/EC
않았다	않/VX+았/EP+다/EF

서면인터뷰는	서면인터뷰/NNG+는/JX
보내온	보내오/VV+ㄴ/ETM
순서대로	순서/NNG+대로/JX
싣는다	싣/VV+는다/EF

손학규,	손학규/NNP+,/SP
장애특성·정도	장애특성/NNP+·/SP+정도/NNG
고려해	고려하/VV+여/EC
'장애등급제도'	'/SS+장애등급제도/NNG+'/SS
개선	개선/NNG
손학규	손학규/NNP
후보	후보/NNG

ⓒ손학규	ⓒ/SL+손학규/NNP
후보	후보/NNG
캠프	캠프/NNG
■손학규	■/SW+손학규/NNP
후보(기호	후보/NNG+(/SS+기호/NNP
3번)=2008년	3/SN+번/NNB+)/SS+=/SW+2008/SN+년/NNB
장애인차별금지	장애인차별금지/NNG
및	및/MAG
권리구제	권리구제/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
법률이	법률/NNG+이/JKS
시행되었지만	시행되/VV+었/EP+지만/EC
아직까지도	아직/MAG+까지도/JX
소득,	소득/NNG+,/SP
일자리	일자리/NNG
등	등/NNB
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
차별행위가	차별행위/NNG+가/JKS
만연하고	만연하/VV+고/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
매우	매우/MAG
안타까운	안타깝/VA+ㄴ/ETM
일이다	일/NNG+이/VCP+다/EC

여전히	여전히/MAG
장애인을	장애인/NNG+을/JKO
보호의	보호/NNG+의/JKG
대상으로만	대상/NNG+으로/JKB+만/JX
보고	보/VV+고/EC
있으며	있/VX+으며/EC
제도가	제도/NNG+가/JKS
장애들의	장애/NNG+들/XSN+의/JKG
현실과	현실/NNG+과/JC
수요를	수요/NNG+를/JKO
충분히	충분히/MAG
반영하지	반영하/VV+지/EC
못하고	못하/VX+고/EC
있다	있/VX+다/EC

오죽하면	오죽하/VA+면/EC
장애를	장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
