故	故/SL
김주영씨	김주영/NNP+씨/NNB
빈소,	빈소/NNG+,/SP
대선후보	대선후보/NNG
발길	발길/NNG
이어져	이어지/VV+어/EC

홀로	홀로/MAG
잠자다	잠자/VV+다/EC
화재로	화재/NNG+로/JKB
인해	인하/VV+여/EC
참변을	참변/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
장애인활동가	장애인활동가/NNG
고(故)	고/NNG+(/SS+故/SL+)/SS
김주영씨의	김주영/NNP+씨/NNB+의/JKG
장례식장에	장례식장/NNG+에/JKB
제18대	제/XPN+18/SN+대/NNG
대선	대선/NNG
후보들의	후보/NNG+들/XSN+의/JKG
발걸음이	발걸음/NNG+이/JKS
이어졌다	이어지/VV+었/EP+다/EF

29일	29/SN+일/NNB
현재까지	현재/NNG+까지/JX
빈소가	빈소/NNG+가/JKS
마련된	마련되/VV+ㄴ/ETM
서울	서울/NNP
한양대학병원	한양대학병원/NNP
장례식장을	장례식장/NNG+을/JKO
찾아	찾/VV+아/EC
조문한	조문하/VV+ㄴ/ETM
대선	대선/NNG
후보는	후보/NNG+는/JX
민주통합당	민주통합당/NNP
문재인,	문재인/NNG+,/SP
진보정의당	진보정의당/NNP
심상정,	심상정/NNP+,/SP
무소속	무소속/NNG
안철수,	안철수/NNP+,/SP
통합진보당	통합진보당/NNP
이정희	이정희/NNP
후보다	후/NNG+보다/JKB

문재인	문재인/NNP
후보는	후보/NNG+는/JX
지난	지나/VV+ㄴ/ETM
27일	27/SN+일/NNB
오후	오후/NNG
빈소를	빈소/NNG+를/JKO
찾아	찾/VV+아/EC
조문하고,	조문하/VV+고/EC+,/SP
장애인활동가들과	장애인활동가/NNG+들/XSN+과/JKB
간담회를	간담회/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
뒤	뒤/NNG
활동보조서비스	활동보조서비스/NNG
대상	대상/NNG
및	및/MAG
시간(급여)	시간/NNG+(/SS+급여/NNG+)/SS
확대를	확대/NNG+를/JKO
비롯해	비롯하/VV+여/EC
하위소득자	하위소득자/NNG
본인부담금	본인부담금/NNG
폐지의	폐지/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
밝혔다	밝히/VV+었/EP+다/EC

심상정	심상정/NNP
후보도	후보/NNG+도/JX
28일	28/SN+일/NNB
장례식장을	장례식장/NNG+을/JKO
방문,	방문/NNG+,/SP
장애인활동가의	장애인활동가/NNG+의/JKG
안타까운	안타깝/VA+ㄴ/ETM
죽음에	죽음/NNG+에/JKB
애도를	애도/NNG+를/JKO
표했다	표하/VV+였/EP+다/EC

안철수	안철수/NNP
후보는	후보/NNG+는/JX
29일	29/SN+일/NNB
오전	오전/NNG
6시경	6/SN+시/NNB+경/XSN
언론에	언론/NNG+에/JKB
알리지	알리/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
조용히	조용히/MAG
빈소를	빈소/NNG+를/JKO
찾아	찾/VV+아/EC
유가족을	유가족/NNG+을/JKO
위로한	위로하/VV+ㄴ/ETM
뒤	뒤/NNG
전국장애인차별철폐연대(이하	전/MM+국장애인차별철폐연대/NNG+(/SS+이하/NNG
전장연)	전장연/NNP+)/SS
박경석	박경석/NNP
상임대표와	상임대표/NNG+와/JC
김정하	김정하/NNP
조직국장과	조직국장/NNG+과/JC
면담을	면담/NNG+을/JKO
가졌다	가지/VV+었/EP+다/EC

이들은	이/NP+들/XSN+은/JX
면담에서	면담/NNG+에서/JKB
중증장애인에게	중증장애인/NNG+에게/JKB
24시간의	24/SN+시간/NNB+의/JKG
활동보조가	활동보조/NNG+가/JKS
이뤄져야	이루어지/VV+어야/EC
하고,	하/VX+고/EC+,/SP
문제가	문제/NNG+가/JKS
많은	많/VA+은/ETM
장애등급제와	장애등급/NNG+제/XSN+와/JC
부양의무제의	부양의무제/NNG+의/JKG
폐지의	폐지/NNG+의/JKG
