"아태장애인	"/SS+아태장애인/NNG
10년	10/SN+년/NNB
투쟁으로	투쟁/NNG+으로/JKB
쟁취	쟁취/NNG
할	하/VV+ㄹ/ETM
것"	것/NNB+"/SS

2012아시아태평양장애포럼	2012/SN+아시아태평양/NNP+장애포럼/NNG
컨퍼런스(이하	컨퍼런스/NNG+(/SS+이하/NNG
아태장애포럼)가	아태장애포럼/NNG+)/SS+가/JKS
29일	29/SN+일/NNB
오후	오후/NNG
인천	인천/NNP
송도컨벤시에서의	송도컨벤시/NNP+에서/JKB+의/JKG
폐회식을	폐회식/NNG+을/JKO
끝으로	끝/NNG+으로/JKB
나흘간의	나흘/NNG+간/XSN+의/JKG
공식일정을	공식일정/NNG+을/JKO
마무리했다	마무리하/VV+였/EP+다/EC

‘장애인의	‘/SL+장애인/NNG+의/JKG
권리	권리/NNG
실현,	실현/NNG+,/SP
행동하는	행동하/VV+는/ETM
10년’이라는	10/SN+년/NNB+’/SW+이/VCP+라는/ETM
주제로	주제/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
아태장애포럼은	아태장애포럼/NNG+은/JX
‘제2차	‘/SN+제/XPN+2/SN+차/NNB
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년’의	10/SN+년/NNB+’/SL+의/JKG
평가와	평가/NNG+와/JC
새로운	새롭/VA+ㄴ/ETM
‘제3차	‘/SL+제/XPN+3/SN+차/NNB
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년’의	10/SN+년/NNB+’/SL+의/JKG
방향을	방향/NNG+을/JKO
제시하기	제시하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
자리였다	자리/NNG+이/VCP+었/EP+다/EF

이에	이/NP+에/JKB
따라	따르/VV+아/EC
새로운	새롭/VA+ㄴ/ETM
10년과	10/SN+년/NNB+과/JC
유엔장애인권리협약을	유엔/NNP+장애인권리협약/NNG+을/JKO
주제로	주제/NNG+로/JKB
유엔장애인권리협약위원회	유엔/NNP+장애인권리협약위원회/NNG
론	론/NNP
맥칼럼	맥칼럼/NNP
위원장	위원장/NNG
등이	등/NNB+이/JKS
기조강연을	기조강연/NNG+을/JKO
통해	통하/VV+여/EC
새로운	새롭/VA+ㄴ/ETM
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년이	10/SN+년/NNB+이/JKS
나아갈	나아가/VV+ㄹ/ETM
방향을	방향/NNG+을/JKO
제시했다	제시하/VV+였/EP+다/EC

또한	또한/MAG
새로운	새롭/VA+ㄴ/ETM
10년	10/SN+년/NNB
이행을	이행/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
장애단체들의	장애단체/NNG+들/XSN+의/JKG
역할	역할/NNG
및	및/MAG
국제연대,	국제연대/NNG+,/SP
장애포괄적	장애포괄적/NNG
국제개발	국제개발/NNG
등을	등/NNB+을/JKO
주제로	주제/NNG+로/JKB
패널토론	패널토론/NNG
등이	등/NNB+이/JKS
진행됐다	진행되/VV+었/EP+다/EF

아태장애포럼	아태장애포럼/NNG
박경석(전국장애인차별철폐연대	박경석/NNP+(/SS+전/MM+국장애인차별철폐연대/NNG
상임대표)	상임대표/NNG+)/SS
신임회장은	신임회장/NNG+은/JX
폐회사를	폐회사/NNG+를/JKO
통해	통하/VV+여/EC
“이번	“/SL+이번/NNG
대회를	대회/NNG+를/JKO
통해서	통하/VV+여서/EC
짧게나마	짧/VA+게/EC+나마/JX
세계의	세계/NNG+의/JKG
아태장애인	아태장애인/NNG
10년	10/SN+년/NNB
흐름을	흐름/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있었고	있/VA+었/EP+고/EC
멀게만	멀/VA+게/EC+만/JX
느껴졌던	느끼/VV+어/EC+지/VX+었/EP+던/ETM
문제들이	문제/NNG+들/XSN+이/JKS
가깝게	가깝/VA+게/EC
다가왔다”고	다가오/VV+았/EP+다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC

이어	이어/MAG
“향후	“/SN+향후/NNG
아태지역의	아태/NNP+지역/NNG+의/JKG
국가들이	국가/NNG+들/XSN+이/JKS
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년을	10/SN+년/NNB+을/JKO
잘	잘/MAG
이행하고	이행하/VV+고/EC
있는지	있/VX+는지/EC
모니터링	모니터링/NNG
하고,	하/VV+고/EC+,/SP
준수할	준수하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
행동으로	행동/NNG+으로/JKB
촉구할	촉구하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

특히	특히/MAG
박	박/NNP
신임회장은	신임회장/NNG+은/JX
고(故)	고/NNG+(/SS+故/SL+)/SS
김주영	김주영/NNP
장애인활동가의	장애인활동가/NNG+의/JKG
죽음을	죽음/NNG+을/JKO
언급하며,	언급하/VV+며/EC+,/SP
더	더/MAG
이상	이상/NNG
아태지역에서	아태/NNP+지역/NNG+에서/JKB
일어나서는	일어나/VV+아서/EC+는/JX
안	안/MAG
될	되/VV+ㄹ/ETM
일이라고	일/NNG+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

박	박/NNP
신임회장은	신임회장/NNG+은/JX
“최근	“/SN+최근/NNG
장애여성이	장애여성/NNG+이/JKS
불타죽었다	불타죽/VV+었/EP+다/EF

피신할	피신하/VV+ㄹ/ETM
기회조차도	기회/NNG+조차도/JX
얻지	얻/VV+지/EC
못하고	못하/VX+고/EC
죽었다	죽/VV+었/EP+다/EC

활동보조서비스가	활동보조서비스/NNG+가/JKS
24시간	24/SN+시간/NNB
적용됐다면	적용되/VV+었/EP+다면/EC
우리와	우리/NP+와/JKB
함께	함께/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
있었을	있/VA+었/EP+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
지적했다	지적하/VV+였/EP+다/EF

더불어	더불/VV+어/EC
“아태지역에서	“/SN+아태/NNP+지역/NNG+에서/JKB
이같이	이같이/MAG
허무한	허무하/VA+ㄴ/ETM
죽음이	죽음/NNG+이/JKS
일어나지	일어나/VV+지/EC
말아야	말/VX+아야/EC
한다	하/VX+ㄴ다/EF

장애를	장애/NNG+를/JKO
이유로	이유/NNG+로/JKB
기본적인	기본적/NNG+이/VCP+ㄴ/ETM
시민의	시민/NNG+의/JKG
권리조차	권리/NNG+조차/JX
보장하지	보장하/VV+지/EC
않아서는	않/VX+아서/EC+는/JX
안	안/MAG
된다	되/VV+ㄴ다/EF

장애인들이	장애인/NNG+들/XSN+이/JKS
투쟁하지	투쟁하/VV+지/EC
않기	않/VX+기/ETN
때문에	때문/NNB+에/JKB
당연한	당연하/VA+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
받아들여지고	받아들이/VV+어/EC+지/VX+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
목소리를	목소리/NNG+를/JKO
높였다	높이/VV+었/EP+다/EF

박	박/NNP
신임회장은	신임회장/NNG+은/JX
특히	특히/MAG
“‘행동’은	“‘/SL+행동/NNG+’/SL+은/JX
말이	말/NNG+이/JKC
아니라	아니/VCN+라/EC
몸으로	몸/NNG+으로/JKB
싸우는	싸우/VV+는/ETM
것이다	것/NNB+이/VCP+다/EC

우리	우리/NP
모두	모두/MAG
투쟁해	투쟁하/VV+여/EC
갔으면	가/VV+았/EP+으면/EC
좋겠다	좋/VA+겠/EP+다/EC

이	이/NP
역시	역시/MAG
나의	나/NP+의/JKG
책무라고	책무/NNG+이/VCP+라고/EC
생각한다	생각하/VV+ㄴ다/EF

피하지	피하/VV+지/EC
않고	않/VX+고/EC
꿋꿋이	꿋꿋이/MAG
앞으로	앞/NNG+으로/JKB
