“자립센터,	“/SN+자립센터/NNG+,/SP
장애인복지시설에	장애인복지시설/NNG+에/JKB
포함해야”	포함하/VV+여야/EC+”/SN

장애인자립생활센터를	장애인자립생활센터/NNG+를/JKO
장애인복지시설	장애인복지시설/NNG
유형에	유형/NNG+에/JKB
포함시키기	포함/NNG+시키/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
‘장애인복지법’	‘/SL+장애인복지법’/NNG
개정이	개정/NNG+이/JKS
필요하다는	필요하/VA+다는/ETM
주장이	주장/NNG+이/JKS
나왔다	나오/VV+았/EP+다/EF

장애인에게	장애인/NNG+에게/JKB
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
자립생활을	자립생활/NNG+을/JKO
지원하기	지원하/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
서비스	서비스/NNG
중계기관인	중계기관/NNG+이/VCP+ㄴ/ETM
장애인자립생활센터의	장애인자립생활센터/NNG+의/JKG
안정적	안정적/NNG
운영이	운영/NNG+이/JKS
중요하기	중요하/VA+기/ETN
때문에	때문/NNB+에/JKB
예산	예산/NNG
지원	지원/NNG
근거가	근거/NNG+가/JKS
마련돼야	마련되/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것	것/NNB

한국장애인단체총연합회	한국장애인단체총연합회/NNP
서인환	서인환/NNP
사무총장은	사무총장/NNG+은/JX
6일	6/SN+일/NNB
‘자립생활의	‘/SN+자립생활/NNG+의/JKG
실질적	실질적/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
장애인복지법	장애인복지법/NNG
개정	개정/NNG
토론회’	토론회/NNG+’/SL
주제발제자로	주제발제자/NNG+로/JKB
나서	나서/VV+어/EC
이를	이/NP+를/JKO
위한	위하/VV+ㄴ/ETM
장애인복지법	장애인복지법/NNG
개정의	개정/NNG+의/JKG
필요성을	필요성/NNG+을/JKO
역설했다	역설하/VV+였/EP+다/EF

서	서/NNP
총장은	총장/NNG+은/JX
자립생활	자립생활/NNG
지원의	지원/NNG+의/JKG
실효성을	실효성/NNG+을/JKO
확보하기	확보하/VV+기/ETN
위해	위하/VV+여/EC
장애인자립생활센터에	장애인자립생활센터/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
장애인복지시설에	장애인복지시설/NNG+에/JKB
준하는	준하/VV+는/ETM
지원	지원/NNG
근거규정을	근거규정/NNG+을/JKO
두고	두/VV+고/EC
설치·운영에	설치/NNG+·/SP+운영/NNG+에/JKB
필요한	필요하/VA+ㄴ/ETM
비용의	비용/NNG+의/JKG
전부	전부/NNG
또는	또는/MAG
일부를	일부/NNG+를/JKO
보조받을	보조받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
할	하/VX+ㄹ/ETM
것을	것/NNB+을/JKO
제시했다	제시하/VV+였/EP+다/EC

장애인복지법에	장애인복지법/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
장애인복지시설	장애인복지시설/NNG
유형은	유형/NNG+은/JX
장애인복지시설	장애인복지시설/NNG
장애인	장애인/NNG
지역사회재활시설	지역사회재활시설/NNG
장애인	장애인/NNG
직업재활시설	직업재활시설/NNG
장애인	장애인/NNG
의료재활시설	의료재활시설/NNG
그	그/MM
밖에	밖/NNG+에/JKB
대통령령으로	대통령령/NNG+으로/JKB
정하는	정하/VV+는/ETM
시설로	시설/NNG+로/JKB
분류돼	분류되/VV+어/EC
있다	있/VX+다/EF

서	서/NNP
총장은	총장/NNG+은/JX
“현재의	“/SL+현재/NNG+의/JKG
예산지원은	예산지원/NNG+은/JX
국가지정	국가지정/NNG
센터와	센터/NNG+와/JC
지자체	지자체/NNG
지원	지원/NNG
센터로	센터/NNG+로/JKB
양분시키고	양분/NNG+시키/XSV+고/EC
있어	있/VX+어/EC
지원	지원/NNG
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
센터도	센터/NNG+도/JX
있고,	있/VA+고/EC+,/SP
상시적으로	상시적/NNG+으로/JKB
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
것도	것/NNB+도/JX
아니다”라면서	아니/VCN+다/EC+”/VV+라면서/EC
“센터	“/SN+센터/NNG
1개소	1/SN+개소/NNB
연간	연간/NNG
예산이	예산/NNG+이/JKS
복지관과	복지/NNG+관/XSN+과/JC
비슷한	비슷하/VA+ㄴ/ETM
규모인데	규모/NNG+이/VCP+ㄴ데/EC
80%가	80/SN+%/SW+가/JKS
활동보조인의	활동보조인/NNG+의/JKG
인건비로	인건비/NNG+로/JKB
빠져나가고,	빠져나가/VV+고/EC+,/SP
직원	직원/NNG
인건비까지	인건비/NNG+까지/JX
제하고	제하/VV+고/EC
나면	나/VX+면/EC
남는	남/VV+는/ETM
예산이	예산/NNG+이/JKS
불과	불과/MAG
얼마	얼마/NNG
되지	되/VV+지/EC
않아	않/VX+아/EC
서비스	서비스/NNG
제공의	제공/NNG+의/JKG
한계를	한계/NNG+를/JKO
드러낸다”고	드러내/VV+ㄴ다”고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
“기능보강이나	“/SL+기능보강/NNG+이나/JC
인건비를	인건비/NNG+를/JKO
지원받는	지원/NNG+받/VV+는/ETM
근거를	근거/NNG+를/JKO
마련해	마련하/VV+여/EC
예산을	예산/NNG+을/JKO
걱정하지	걱정하/VV+지/EC
않고	않/VX+고/EC
서비스에	서비스/NNG+에/JKB
전념하도록	전념하/VV+도록/EC
센터	센터/NNG
설치·운영비용의	설치/NNG+·/SP+운영비용/NNG+의/JKG
전부	전부/NNG
또는	또는/MAG
일부를	일부/NNG+를/JKO
보조받아야	보조/NNG+받/VV+아야/EC
한다”면서	하/VX+ㄴ다”면서/EC
“센터를	“/SL+센터/NNG+를/JKO
지역사회시설에	지역사회시설/NNG+에/JKB
넣는	넣/VV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
별도의	별도/NNG+의/JKG
시설로	시설/NNG+로/JKB
분류함으로써	분류하/VV+ㅁ/ETN+으로써/JKB
장애인복지법	장애인복지법/NNG
상	상/XSN
시설로	시설/NNG+로/JKB
지원	지원/NNG
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
해야	하/VX+여야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

특히	특히/MAG
서	서/NNP
총장은	총장/NNG+은/JX
자립생활센터가	자립생활센터/NNG+가/JKS
시설의	시설/NNG+의/JKG
유형의	유형/NNG+의/JKG
하나로	하나/NNG+로/JKB
분류하는	분류하/VV+는/ETM
것에	것/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
비판을	비판/NNG+을/JKO
의식한	의식하/VV+ㄴ/ETM
듯	듯/NNB
“자립생활센터가	“/SN+자립생활센터/NNG+가/JKS
과연	과연/MAG
시설인가	시설/NNG+이/VCP+ㄴ가/EC
등의	등/NNB+의/JKG
논점이	논점/NNG+이/JKS
있을	있/VA+을/ETM
수도	수/NNB+도/JX
있고	있/VA+고/EC
반	반/NNG
시설,	시설/NNG+,/SP
탈	타/VV+ㄹ/ETM
시설,	시설/NNG+,/SP
자립생활을	자립생활/NNG+을/JKO
주장하면서	주장하/VV+면서/EC
스스로	스스로/MAG
시설이기를	시설/NNG+이/VCP+기/ETN+를/JKO
원한다고	원하/VV+ㄴ다고/EC
비판할	비판하/VV+ㄹ/ETM
수도	수/NNB+도/JX
있을	있/VA+을/ETM
것	것/NNB
같다"면서도	같/VA+다/EF+"/SS+면서/EC+도/JX
"시설이란	"/SS+시설/NNG+이/VCP+란/ETM
직업시설이	직업시설/NNG+이/JKS
있듯이	있/VA+듯이/EC
서비스	서비스/NNG
제공기관을	제공기관/NNG+을/JKO
의미하는	의미하/VV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

이	이/NP
같은	같/VA+은/ETM
서	서/NNP
총장의	총장/NNG+의/JKG
주장에	주장/NNG+에/JKB
대해	대하/VV+여/EC
토론자들의	토론자/NNG+들/XSN+의/JKG
반응은	반응/NNG+은/JX
나뉘었다	나뉘/VV+었/EP+다/EF

먼저	먼저/MAG
한국척수장애인협회	한국척수장애인협회/NNP
이찬우	이찬우/NNP
사무총장은	사무총장/NNG+은/JX
“안정적인	“/SN+안정적/NNG+이/VCP+ㄴ/ETM
자립생활센터	자립생활센터/NNG
운영을	운영/NNG+을/JKO
통해	통하/VV+여/EC
진정한	진정하/VA+ㄴ/ETM
자립과	자립/NNG+과/JC
사회적	사회적/NNG
통합을	통합/NNG+을/JKO
실현하는	실현하/VV+는/ETM
목적으로	목적/NNG+으로/JKB
보인다”면서	보일/VV+ㄴ다/EC+”/VV+면서/EC
“많은	“/SL+많/VA+은/ETM
부분을	부분/NNG+을/JKO
고민하고,	고민하/VV+고/EC+,/SP
자문을	자문/NNG+을/JKO
구해	구하/VV+여/EC
현실적인	현실적/NNG+이/VCP+ㄴ/ETM
해답을	해답/NNG+을/JKO
제시한	제시하/VV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EC+”/VX+고/EC
평가했다	평가하/VV+였/EP+다/EC

굿잡장애인자립생활센터	굿잡장애인자립생활센터/NNG
김재익	김재익/NNP
소장도	소장/NNG+도/JX
"장애인자립생활센터들도	"/SS+장애인자립생활센터/NNG+들/XSN+도/JX
각각에	각각/NNG+에/JKB
맞는	맞/VV+는/ETM
운영형태,	운영형태/NNG+,/SP
직원의	직원/NNG+의/JKG
수,	수/NNG+,/SP
지역적	지역적/NNG
특성,	특성/NNG+,/SP
회원과	회원/NNG+과/JC
이용자	이용자/NNG
수,	수/NNG+,/SP
강점인	강점/NNG+이/VCP+ㄴ/ETM
특징과	특징/NNG+과/JC
특화된	특화되/VV+ㄴ/ETM
서비스가	서비스/NNG+가/JKS
분명	분명/MAG
존재한다"면서	존재하/VV+ㄴ다/EF+"/SS+면서/EC
“그것에	“/SL+그것/NP+에/JKB
맞는	맞/VV+는/ETM
탄력적인	탄력적/NNG+이/VCP+ㄴ/ETM
예산	예산/NNG
지원이	지원/NNG+이/JKS
담보돼야	담보/NNG+되/XSV+어야/EC
한다”고	하/VX+ㄴ다”고/EC
동조했다	동조하/VV+였/EP+다/EC

반면	반면/NNG
목원대학교	목원대학교/NNP
사회복지학과	사회복지학과/NNG
김동기	김동기/NNP
교수는	교수/NNG+는/JX
진정한	진정하/VA+ㄴ/ETM
자립생활의	자립생활/NNG+의/JKG
의미에서	의미/NNG+에서/JKB
살펴볼	살펴보/VV+ㄹ/ETM
때	때/NNG
장애인의	장애인/NNG+의/JKG
선택권·결정권을	선택권/NNG+·/SP+결정권/NNG+을/JKO
전혀	전혀/MAG
부여하지	부여하/VV+지/EC
않고	않/VX+고/EC
있어	있/VX+어/EC
장애인의	장애인/NNG+의/JKG
선택권·결정권	선택권/NNG+·/SP+결정권/NNG
보장을	보장/NNG+을/JKO
위해	위하/VV+여/EC
개인별예산제도	개인별예산제도/NNG
도입을	도입/NNG+을/JKO
제시했다	제시하/VV+였/EP+다/EF

김	김/NNP
교수는	교수/NNG+는/JX
“현재	“/SL+현재/NNG
급여의	급여/NNG+의/JKG
수준을	수준/NNG+을/JKO
조금	조금/MAG
향상시켜주거나,	향상/NNG+시키/XSV+어/EC+주/VX+거나/EC+,/SP
필요한	필요하/VA+ㄴ/ETM
정책을	정책/NNG+을/JKO
새롭게	새롭/VA+게/EC
개발·실행을	개발/NNG+·/SP+실행/NNG+을/JKO
제안하는	제안하/VV+는/ETM
수준”이라면서	수준”/NNG+이/VCP+라면서/EC
“비장애인	“/SL+비장애인/NNG
중심적인	중심적/NNG+이/VCP+ㄴ/ETM
사고로	사고/NNG+로/JKB
장애인에게	장애인/NNG+에게/JKB
그	그/MM
어떠한	어떠하/VA+ㄴ/ETM
선택권과	선택권/NNG+과/JC
결정권을	결정권/NNG+을/JKO
부여하고	부여하/VV+고/EC
있지	있/VX+지/EC
않고	않/VX+고/EC
있고,	있/VX+고/EC+,/SP
심지어	심지어/MAG
장애인에게	장애인/NNG+에게/JKB
물어볼	물어보/VV+ㄹ/ETM
생각조차	생각/NNG+조차/JX
없는	없/VA+는/ETM
접근으로	접근/NNG+으로/JKB
보인다”고	보일/VV+ㄴ다/EC+”/VV+고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

이어	이어/MAG
“자립생활을	“/SN+자립생활/NNG+을/JKO
보장하기	보장하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
핵심적인	핵심적/NNG+이/VCP+ㄴ/ETM
수단은	수단/NNG+은/JX
바로	바로/MAG
장애인의	장애인/NNG+의/JKG
선택권과	선택권/NNG+과/JC
결정권을	결정권/NNG+을/JKO
보장해줄	보장하/VV+여/EC+주/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
장애인의	장애인/NNG+의/JKG
‘구매력’이	‘/SL+구매력’/NNG+이/JKS
강화돼야	강화되/VV+어야/EC
한다”며	하/VX+ㄴ다”며/EC
“장애인복지법	“/SN+장애인복지법/NNG
개정과	개정/NNG+과/JKB
함께	함께/MAG
병행해	병행하/VV+여/EC
우리나라	우리나라/NNG
