새누리,	새누리/NNG+,/SP
대선공약	대선공약/NNG
다듬기	다듬/VV+기/ETN
본격	본격/NNG
`시동'	`/SW+시동/NNG+'/SS

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
박성민	박성민/NNP
김연정	김연정/NNP
기자	기자/NNG
=	=/SW
새누리당이	새누리당/NNP+이/JKS
9일	9/SN+일/NNB
대선공약을	대선공약/NNG+을/JKO
개발하는	개발하/VV+는/ETM
`5천만의	`/SW+5/SN+천만/NR+의/JKG
행복본부'를	행복본부/NNG+'/SS+를/JKO
발족하고	발족하/VV+고/EC
본격적으로	본격적/NNG+으로/JKB
공약	공약/NNG
다듬기에	다듬/VV+기/ETN+에/JKB
착수했다	착수하/VV+였/EP+다/EC

이한구	이한구/NNP
원내대표는	원내대표/NNG+는/JX
이날	이날/NNG
국회	국회/NNG
원내대표실에서	원내대표실/NNG+에서/JKB
세부	세부/NNG
분야별	분야/NNG+별/XSN
공약단장을	공약단장/NNG+을/JKO
맡은	맡/VV+은/ETM
의원들과	의원/NNG+들/XSN+과/JC
수석전문위원	수석전문위원/NNG
등	등/NNB
20여명이	20/SN+여/XSN+명/NNB+이/JKS
참석한	참석하/VV+ㄴ/ETM
가운데	가운데/NNG
첫	첫/MM
회의를	회의/NNG+를/JKO
열었다	열/VV+었/EP+다/EC

이	이/MM
원내대표는	원내대표/NNG+는/JX
"`5천만의	"/SS+`/SW+5/SN+천만/NR+의/JKG
행복본부'는	행복본부/NNG+'/SS+는/JX
대립,	대립/NNG+,/SP
갈등을	갈등/NNG+을/JKO
조장하는	조장하/VV+는/ETM
풍토를	풍토/NNG+를/JKO
극복하고	극복하/VV+고/EC
전	전/MM
국민이	국민/NNG+이/JKS
함께	함께/MAG
행복할	행복하/VA+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
나라를	나라/NNG+를/JKO
만들겠다는	만들/VV+겠/EP+다는/ETM
의지와	의지/NNG+와/JC
국민의	국민/NNG+의/JKG
다양한	다양하/VA+ㄴ/ETM
가치를	가치/NNG+를/JKO
존중하며	존중하/VV+며/EC
공정하고	공정하/VA+고/EC
정의로운	정의롭/VA+ㄴ/ETM
사회를	사회/NNG+를/JKO
만들어가자는	만들/VV+어/EC+가/VX+자는/ETM
국민통합	국민통합/NNG
의지를	의지/NNG+를/JKO
담고	담/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
소개했다	소개하/VV+였/EP+다/EC

`5천만의	`/SW+5/SN+천만/NR+의/JKG
행복본부'는	행복본부/NNG+'/SS+는/JX
청년희망	청년희망/NNG
엄마ㆍ아빠	엄마/NNG+ㆍ/SP+아빠/NNG
어르신	어르신/NNG
여성당당	여성당당/NNG
이웃사촌	이웃사촌/NNG
경제키움	경제키움/VV
희망나눔	희망/NNG+나누/VV+ㅁ/ETN
지역발전	지역발전/NNG
미래도약	미래도약/NNG
평화지킴	평화지킴/NNG
등	등/NNB
10개	10/SN+개/NNB
분야별	분야/NNG+별/XSN
공약단으로	공약/NNG+단/XSN+으로/JKB
구성돼	구성되/VV+어/EC
있다	있/VX+다/EC

실천	실천/NNG
가능하고	가능하/VA+고/EC
책임있는	책임/NNG+있/VA+는/ETM
공약	공약/NNG
재원조달	재원조달/NNG
