文,	文/SL+,/SP
“활동보조서비스	“/SN+활동보조서비스/NNG
24시간	24/SN+시간/NNB
확대”	확대/NNG+”/SN

민주통합당	민주통합당/NNP
문재인	문재/NNG+이/VCP+ㄴ/ETM
대선	대선/NNG
후보가	후보/NNG+가/JKS
장애인등급제	장애인등급/NNG+제/XSN
폐지와	폐지/NNG+와/JC
장애인활동보조서비스	장애인활동보조서비스/NNG
시간을	시간/NNG+을/JKO
최대	최대/NNG
24시간	24/SN+시간/NNB
확대	확대/NNG
등을	등/NNB+을/JKO
공약으로	공약/NNG+으로/JKB
내세워	내세우/VV+어/EC
주목된다	주목되/VV+ㄴ다/EF

민주통합당	민주통합당/NNP
문재인	문재/NNG+이/VCP+ㄴ/ETM
대선	대선/NNG
후보가	후보/NNG+가/JKS
11일	11/SN+일/NNB
오전,	오전/NNG+,/SP
국회	국회/NNG
헌정기념관	헌정기념관/NNG
대강당에서	대강당/NNG+에서/JKB
‘다섯	‘/SN+다섯/NR
개의	개/NNB+의/JKG
문,	문/NNG+,/SP
단	단/MM
하나의	하나/NNG+의/JKG
문’	문/NNG+’/SL
5대문	5/SN+대문/NNG
정책공약	정책공약/NNG
발표회를	발표회/NNG+를/JKO
통해	통하/VV+여/EC
“역대	“/SL+역대/NNG
민주정부가	민주정부/NNG+가/JKS
쌓아놓은	쌓/VV+아/EC+놓/VX+은/ETM
복지제도의	복지제도/NNG+의/JKG
토대	토대/NNG
위에서	위/NNG+에서/JKB
우리나라	우리나라/NNG
첫	첫/MM
번째	번째/NNB
복지국가	복지국가/NNG
대통령이	대통령/NNG+이/JKC
되겠다"고	되/VV+겠/EP+다/EF+"/SS+고/JKQ
선언했다	선언하/VV+였/EP+다/EF

이날	이날/NNG
문	문/NNP
후보는	후보/NNG+는/JX
일자리	일자리/NNG
혁명의	혁명/NNG+의/JKG
문	문/NNG
경제민주화의	경제민주화/NNG+의/JKG
문	문/NNG
복지국가의	복지국가/NNG+의/JKG
문	문/NNP
새정치의	새/MM+정치/NNG+의/JKG
문	문/NNG
평화와	평화/NNG+와/JC
공존의	공존/NNG+의/JKG
문	문/NNG
등	등/NNB
각	각/MM
분야별	분야/NNG+별/XSN
정책	정책/NNG
공약들을	공약/NNG+들/XSN+을/JKO
모은	모으/VV+ㄴ/ETM
‘다섯	‘/SN+다섯/NR
개의	개/NNB+의/JKG
문’을	문’/NNG+을/JKO
상세히	상세히/MAG
설명했다	설명하/VV+었/EP+다/EC

먼저	먼저/MAG
문	문/NNP
후보는	후보/NNG+는/JX
앞서	앞서/MAG
발표한	발표하/VV+ㄴ/ETM
10대	10/SN+대/NNG
공약과	공약/NNG+과/JC
마찬가지로	마찬가지/NNG+로/JKB
장애인연금	장애인연금/NNG
두	두/MM
배로	배/NNG+로/JKB
인상(9만원→18만원)하겠다고	인상/NNG+(/SS+9/SN+만/NR+원/NNB+→/SW+18/SN+만/NR+원/NNB+)/SS+하/XSV+겠/EP+다고/EC
선언했다	선언하/VV+였/EP+다/EF

또한	또한/MAG
국민명령	국민명령/NNG
정책	정책/NNG
1호로	1/SN+호/NNB+로/JKB
뽑힌	뽑히/VV+ㄴ/ETM
장애인등급제	장애인등급/NNG+제/XSN
