문재인,	문재인/NNG+,/SP
"시혜·선별적	"/SS+시혜/NNG+·/SP+선별적/NNG
복지	복지/NNG
뛰어넘을	뛰어넘/VV+을/ETM
것"	것/NNB+"/SS

민주통합당	민주통합당/NNP
대선	대선/NNG
후보를	후보/NNG+를/JKO
선출하기	선출하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
마지막	마지막/NNG
경선인	경선/NNG+이/VCP+ㄴ/ETM
13번째	13/SN+번째/NNB
서울	서울/NNP
경선에서문재인	경선/NNP+에서/JKB+문재/NNG+이/VCP+ㄴ/ETM
후보가	후보/NNG+가/JKS
승리하며	승리하/VV+며/EC
결선투표없이	결선투표/NNG+없이/MAG
민주당	민주당/NNP
대선	대선/NNG
후보로	후보/NNG+로/JKB
선출됐다	선출되/VV+었/EP+다/EF

문	문/NNP
후보는	후보/NNG+는/JX
지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
열린	열리/VV+ㄴ/ETM
서울	서울/NNP
지역	지역/NNG
경선을	경선/NNG+을/JKO
포함해	포함하/VV+여/EC
전국	전국/NNG
순회	순회/NNG
경선에서	경선/NNG+에서/JKB
13승	13/SN+승/NNB
전승을	전승/NNG+을/JKO
거두며	거두/VV+며/EC
전체	전체/NNG
유효투표(61만4,257표)의	유효투표/NNG+(/SS+61/SN+만/NR+4,257/SN+표/NNG+)/SS+의/JKG
56	56/SN

52%인	52/SN+%인/SW
34만7,183표를	34/SN+만/NR+7,183/SN+표/NNG+를/JKO
확보했다	확보하/VV+였/EP+다/EF

과반	과반/NNG
득표를	득표/NNG+를/JKO
함으로써	하/VV+ㅁ/ETN+으로써/JKB
문	문/NNP
후보는	후보/NNG+는/JX
결선투표를	결선투표/NNG+를/JKO
거치지	거치/VV+지/EC
않고	않/VX+고/EC
민주당	민주당/NNP
후보로	후보/NNG+로/JKB
확정됐다	확정되/VV+었/EP+다/EF

2위는	2/SN+위/NNB+는/JX
22	22/SN

17%(13만6,205표)를	17/SN+%/SW+(/SS+13/SN+만/NR+6,205/SN+표/NNG+)/SS+를/JKO
확보한	확보하/VV+ㄴ/ETM
손학규	손학규/NNP
후보가	후보/NNG+가/JKS
차지했고,	차지하/VV+였/EP+고/EC+,/SP
김두관	김두관/NNP
후보(14	후보/NNG+(/SS+14/SN

30%)와	30/SN+%/SW+)/SS+와/JC
정세균	정세균/NNP
후보(7	후보/NNG+(/SS+7/SN

01%)는	01/SN+%/SW+)/SS+는/JX
그	그/MM
뒤를	뒤/NNG+를/JKO
이었다	잇/VV+었/EP+다/EF

문재인	문재인/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
민주당	민주당/NNP
대선후보	대선후보/NNG
수락연설에서	수락연설/NNG+에서/JKB
일자리	일자리/NNG
혁명	혁명/NNG
복지국가	복지국가/NNG
경제민주화	경제민주화/NNG
새로운	새롭/VA+ㄴ/ETM
정치	정치/NNG
평화와	평화/NNG+와/JC
