“3차	“/SL+3/SN+차/NNB
아태장애인	아태장애인/NNG
10년,	10/SN+년/NNB+,/SP
장애인	장애인/NNG
참여해야”	참여하/VV+여야/EC+”/SN

“재3차	“/SN+재/NNG+3/SN+차/NNB
아태장애인	아태장애인/NNG
10년의	10/SN+년/NNB+의/JKG
변화를	변화/NNG+를/JKO
도모하기	도모하/VV+기/ETN
위해	위하/VV+여/EC
가장	가장/MAG
중요한	중요하/VA+ㄴ/ETM
것은	것/NNB+은/JX
장애인	장애인/NNG
당사자의	당사자/NNG+의/JKG
참여다	참여/NNG+이/VCP+다/EF

”아태장애인연합(AP-DPO	”/SN+아태장애인연합/NNG+(/SS+AP/SL+-/SO+DPO/SL
United)	United/SL+)/SS
김효진	김효진/NNP
준비위원장은	준비위원장/NNG+은/JX
27일	27/SN+일/NNB
오전	오전/NNG
인천	인천/NNP
송도컨벤시아에서	송도컨벤시아/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘제1회	‘/SN+제/XPN+1/SN+회/NNB
아태장애인연합대회’	아태장애인연합대회/NNG+’/SN
개회식에서	개회식/NNG+에서/JKB
“새로운	“/SN+새롭/VA+ㄴ/ETM
10년에서는	10/SN+년/NNB+에서/JKB+는/JX
장애인이	장애인/NNG+이/JKS
수혜자가	수혜자/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
주체로서	주체/NNG+로서/JKB
참여할	참여하/VV+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

AP·DPO	AP/SL+·/SP+DPO/SL
UNITED는	UNITED/SL+는/JX
제3차	제/XPN+3/SN+차/NNB
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년을	10/SN+년/NNB+을/JKO
보다	보다/MAG
효과적으로	효과적/NNG+으로/JKB
이행하기	이행하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
아태지역	아태/NNP+지역/NNG
장애인	장애인/NNG
당사자	당사자/NNG
단체로서	단체/NNG+로서/JKB
장애인	장애인/NNG
당사자들이	당사자/NNG+들/XSN+이/JKS
제3차의	제/XPN+3/SN+차/NNB+의/JKG
주요	주요/NNG
주체로,	주체/NNG+로/JKB+,/SP
조직적으로	조직적/NNG+으로/JKB
참여하기	참여하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
연합체이다	연합체/NNG+이/VCP+다/EC

이는	이/NP+는/JX
지난	지나/VV+ㄴ/ETM
20년	20/SN+년/NNB
동안	동안/NNG
아태장애인	아태장애인/NNG
10년은	10/SN+년/NNB+은/JX
각국	각국/NNG
정부	정부/NNG
대표들의	대표/NNG+들/XSN+의/JKG
잔치였을	잔치/NNG+이/VCP+었/EP+을/ETM
뿐,	뿐/NNB+,/SP
정작	정작/NNG
장애인	장애인/NNG
당사자들은	당사자/NNG+들/XSN+은/JX
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년이	10/SN+년/NNB+이/JKS
무엇인지조차	무엇/NP+이/VCP+ㄴ지/EC+조차/JX
모를	모르/VV+ㄹ/ETM
만큼	만큼/NNB
당사자들의	당사자/NNG+들/XSN+의/JKG
문제에서	문제/NNG+에서/JKB
소외돼	소외되/VV+어/EC
왔다는	오/VX+았/EP+다는/ETM
이유에서다	이유/NNG+에서다/JKB

아태지역	아태/NNP+지역/NNG
장애인	장애인/NNG
단체들은	단체/NNG+들/XSN+은/JX
