대한장애인선수위원회,	대한/NNP+장애인선수위원회/NNG+,/SP
박근혜	박근혜/NNP
후보지지	후보지지/NNG
나서	나서/VV+어/EC

대한장애인선수위원회(위원장	대한/NNP+장애인선수위원회/NNG+(/SS+위원장/NNG
김임연)을	김임연/NNP+)/SS+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
일부	일부/NNG
장애체육인	장애체육/NNG+이/VCP+ㄴ/ETM
인사들이	인사/NNG+들/XSN+이/JKS
30일	30/SN+일/NNB
오후	오후/NNG
새누리당	새누리당/NNP
중앙당사	중앙당사/NNG
기자회견실에서	기자회견/NNG+실/XSN+에서/JKB
박근혜	박근혜/NNP
대통령	대통령/NNG
후보를	후보/NNG+를/JKO
공식	공식/NNG
지지하고	지지하/VV+고/EC
나섰다	나서/VV+었/EP+다/EF

이날	이날/NNG
김	김/NNP
위원장은	위원장/NNG+은/JX
“박	“/SN+박/NNB
후보는	후보/NNG+는/JX
장애인체육이	장애인체육/NNG+이/JKS
있는지	있/VA+는지/EC
조차	조차/JX
알려지지	알려지/VV+지/EC
않은	않/VX+은/ETM
70년대부터	70/SN+년대/NNB+부터/JX
고(故)	고/NNG+(/SS+故/SL+)/SS
육영수	육영수/NNP
여사를	여사/NNG+를/JKO
대신해	대신하/VV+여/EC
장애인올림픽	장애인올림픽/NNG
선수단을	선수단/NNG+을/JKO
접견하고	접견하/VV+고/EC
격려해	격려하/VV+여/EC
왔다”고	오/VX+았/EP+다”고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
“박	“/SN+박/NNP
후보는	후보/NNG+는/JX
장애인체육대회에	장애인체육대회/NNG+에/JKB
지원하고	지원하/VV+고/EC
참관하는	참관하/VV+는/ETM
등	등/NNB
장애인체육을	장애인체육/NNG+을/JKO
위해	위하/VV+여/EC
헌신적으로	헌신적/NNG+으로/JKB
노력해왔던	노력하/VV+여/EC+오/VX+았/EP+던/ETM
대통령	대통령/NNG
후보”라고	후보”/NNG+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

특히	특히/MAG
김	김/NNP
위원장은	위원장/NNG+은/JX
“약속을	“/SN+약속/NNG+을/JKO
지키는,	지키/VV+는/ETM+,/SP
신뢰할	신뢰하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
박	박/NNP
후보만이	후보/NNG+만/JX+이/JKS
차별	차별/NNG
없는	없/VA+는/ETM
장애인체육과	장애인체육/NNG+과/JC
장애인체육의	장애인체육/NNG+의/JKG
꿈을	꿈/NNG+을/JKO
실현해	실현하/VV+여/EC
줄	주/VX+ㄹ/ETM
최고지도자의	최고지도자/NNG+의/JKG
자격이	자격/NNG+이/JKS
있다”고	있/VA+다”고/EC
평가했다	평가하/VV+였/EP+다/EC

김	김/NNP
위원장은	위원장/NNG+은/JX
또한	또한/MAG
“차별	“/SL+차별/NNG
없는	없/VA+는/ETM
장애인체육을	장애인체육/NNG+을/JKO
위해	위하/VV+여/EC
함께할	함께하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
박	박/NNP
후보를	후보/NNG+를/JKO
제18대	제/XPN+18/SN+대/NNG
대통령으로	대통령/NNG+으로/JKB
당선시켜,	당선/NNG+시키/XSV+어/EC+,/SP
새로운	새롭/VA+ㄴ/ETM
복지	복지/NNG
대한민국을	대한민국/NNP+을/JKO
함께	함께/MAG
건설할	건설하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC
