“장애인연금,	“/SL+장애인연금/NNG+,/SP
최저임금	최저임금/NNG
3분의	3/SN+분/XSN+의/JKG
1수준	1/SN+수준/NNG
인상”	인상/NNG+”/SN

통합진보당	통합진보당/NNP
이정희	이정희/NNP
대통령	대통령/NNG
후보가	후보/NNG+가/JKS
2012대선장애인연대(이하	2012/SN+대선장애인연대/NNG+(/SS+이하/NNG
대선연대)의	대선연대/NNG+)/SS+의/JKG
‘장애계	‘/SL+장애/NNG+계/XSN
12대	12/SN+대/NNB
요구	요구/NNG
공약’을	공약’/NNG+을/JKO
전면	전면/NNG
수용했다	수용하/VV+였/EP+다/EC

이정희	이정희/NNP
후보는	후보/NNG+는/JX
27일	27/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
국회	국회/NNG
정론관에서	정론관/NNG+에서/JKB
대선연대와	대선연대/NNG+와/JC
정책	정책/NNG
협약식을	협약/NNG+식/XSN+을/JKO
갖고,	갖/VV+고/EC+,/SP
12대	12/SN+대/NNB
요구	요구/NNG
공약수용과	공약수용/NNG+과/JKB
함께	함께/MAG
이행을	이행/NNG+을/JKO
약속했다	약속하/VV+었/EP+다/EC

대선연대는	대선연대/NNG+는/JX
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
장애계의	장애/NNG+계/XSN+의/JKG
의견을	의견/NNG+을/JKO
수렴한	수렴하/VV+ㄴ/ETM
‘장애계	‘/SN+장애/NNG+계/XSN
12대	12/SN+대/NNB
요구공약’을	요구공약/NNG+’/SL+을/JKO
발표하고,	발표하/VV+고/EC+,/SP
대선후보들에게	대선후보/NNG+들/XSN+에게/JKB
향후	향후/NNG
국정	국정/NNG
운영에	운영/NNG+에/JKB
반영할	반영하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
약속하는	약속하/VV+는/ETM
정책	정책/NNG
협약식을	협약/NNG+식/XSN+을/JKO
제안한바	제안하/VV+ㄴ/ETM+바/NNB
있다	있/VA+다/EF

이에	이/NP+에/JKB
따라	따르/VV+아/EC
무소속	무소속/NNG
김소연	김소연/NNP
후보가	후보/NNG+가/JKS
21일,	21/SN+일/NNB+,/SP
민주통합당	민주통합당/NNP
문재인	문재/NNG+이/VCP+ㄴ/ETM
후보가	후보/NNG+가/JKS
23일	23/SN+일/NNB
각각	각각/MAG
대선연대와	대선연대/NNG+와/JC
정책	정책/NNG
협약식을	협약/NNG+식/XSN+을/JKO
가졌다	가지/VV+었/EP+다/EC

김	김/NNP
후보는	후보/NNG+는/JX
‘12대	‘/SL+12/SN+대/NNG
요구	요구/NNG
공약’	공약’/NNG
전면	전면/NNG
수용,	수용/NNG+,/SP
문	문/NNP
후보는	후보/NNG+는/JX
대부분	대부분/NNG
수용했다	수용하/VV+였/EP+다/EF

대선연대의	대선연대/NNG+의/JKG
12대	12/SN+대/NNB
요구	요구/NNG
공약에는	공약/NNG+에/JKB+는/JX
장애인권리보장법	장애인권리보장법/NNG
제정	제정/NNG
및	및/MAG
장애등급제	장애등급/NNG+제/XSN
폐지,	폐지/NNG+,/SP
장애인활동지원	장애인활동지원/NNG
24시간	24/SN+시간/NNB
보장,	보장/NNG+,/SP
발달장애인법	발달장애인법/NNG
제정,	제정/NNG+,/SP
한국수화언어기본법	한국/NNP+수화언어기본법/NNG
제정	제정/NNG
등	등/NNB
농교육	농교육/NNG
환경개선,	환경개선/NNG+,/SP
국민기초생활보장법의	국민기초생활보장법/NNG+의/JKG
부양의무자	부양의무자/NNG
기준	기준/NNG
폐지	폐지/NNG
등이	등/NNB+이/JKS
담겨있다	담기/VV+어/EC+있/VX+다/EC

이	이/MM
자리에서	자리/NNG+에서/JKB
이정희	이정희/NNP
후보는	후보/NNG+는/JX
“장애인의	“/SL+장애인/NNG+의/JKG
삶을	삶/NNG+을/JKO
억압해왔던	억압하/VV+여/EC+오/VX+았/EP+던/ETM
장애등급제를	장애등급/NNG+제/XSN+를/JKO
폐지하고,	폐지하/VV+고/EC+,/SP
24시간	24/SN+시간/NNB
활동지원과	활동지원/NNG+과/JC
주거	주거/NNG
지원	지원/NNG
등	등/NNB
장애인의	장애인/NNG+의/JKG
자립생활을	자립생활/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
제도마련을	제도마련/NNG+을/JKO
위해	위하/VV+여/EC
노력하겠다”면서	노력하/VV+겠/EP+다/EC+”/VV+면서/EC
“국민기초생활보장법을	“/SL+국민기초생활보장법/NNG+을/JKO
개정해	개정하/VV+여/EC
부양의무자	부양의무자/NNG
기준도	기준/NNG+도/JX
전면	전면/NNG
폐지하고,	폐지하/VV+고/EC+,/SP
장애인연금을	장애인연금/NNG+을/JKO
최저임금의	최저임금/NNG+의/JKG
3분의	3/SN+분/XSN+의/JKG
1수준으로	1/SN+수준/NNG+으로/JKB
인상해	인상하/VV+여/EC
장애인의	장애인/NNG+의/JKG
실질적	실질적/NNG
소득을	소득/NNG+을/JKO
보장	보장/NNG
하겠다”고	하/VV+겠/EP+다”고/EC
강조했다	강조하/VV+였/EP+다/EC

이어	이어/MAG
“취약한	“/SN+취약하/VA+ㄴ/ETM
장애유형에	장애유형/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기본적	기본적/NNG
권리	권리/NNG
보장을	보장/NNG+을/JKO
위해	위하/VV+여/EC
장애인의	장애인/NNG+의/JKG
특성과	특성/NNG+과/JC
수요에	수요/NNG+에/JKB
맞는	맞/VV+는/ETM
개별화된	개별/NNG+화/XSN+되/XSV+ㄴ/ETM
서비스	서비스/NNG
지원체계를	지원체계/NNG+를/JKO
비롯해	비롯하/VV+여/EC
발달장애인·정신장애인의	발달장애인/NNG+·/SP+정신장애인/NNG+의/JKG
인권보장을	인권보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
제도를	제도/NNG+를/JKO
마련하겠다”고	마련하/VV+겠/EP+다/EC+”/VX+고/EC
피력했다	피력하/VV+었/EP+다/EC
