“복지부,	“/SL+복지부/NNG+,/SP
수급자	수급/NNG+자/XSN
탈락	탈락/NNG
할머니	할머니/NNG
사건	사건/NNG
해명	해명/NNG
거짓”	거짓”/NNG

무소속	무소속/NNG
안철수	안철수/NNP
대선후보	대선후보/NNG
선거캠프는	선거캠프/NNG+는/JX
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
부양의무	부양의무/NNG
기준	기준/NNG
때문에	때문/NNB+에/JKB
국민기초생활보장수급자에서	국민기초생활보장수급/NNG+자/XSN+에서/JKB
탈락하자	탈락하/VV+자/EC
경남	경남/NNP
거제시청	거제/NNP+시청/NNG
앞에서	앞/NNG+에서/JKB
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊은	끊/VV+은/ETM
한	한/MM
할머니(78세)와	할머니/NNG+(/SS+78/SN+세/NNB+)/SS+와/JKB
관련해	관련하/VV+여/EC
보건복지부가	보건복지부/NNG+가/JKS
거짓	거짓/NNG
해명을	해명/NNG+을/JKO
내놨다고	내놓/VV+았/EP+다고/EC
비판했다	비판하/VV+였/EP+다/EC

안	안/NNP
후보	후보/NNG
선거캠프의	선거캠프/NNG+의/JKG
정연순	정연순/NNP
대변인은	대변인/NNG+은/JX
23일	23/SN+일/NNB
논평을	논평/NNG+을/JKO
통해	통하/VV+여/EC
“안	“/SN+안/NNG
후보는	후보/NNG+는/JX
지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
할머니의	할머니/NNG+의/JKG
자살에	자살/NNG+에/JKB
대해	대하/VV+여/EC
안타까운	안타깝/VA+ㄴ/ETM
마음을	마음/NNG+을/JKO
담아	담/VV+아/EC
정책적	정책적/NNG
사안으로	사안/NNG+으로/JKB
이	이/MM
문제를	문제/NNG+를/JKO
거론한	거론하/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있다”면서	있/VA+다”면서/EC
“복지부는	“/SL+복지부/NNG+는/JX
안	안/NNP
후보	후보/NNG
발언	발언/NNG
당일	당일/NNG
할머니의	할머니/NNG+의/JKG
딸	딸/NNG
부부의	부부/NNG+의/JKG
가구소득이	가구소득/NNG+이/JKS
월	월/NNG
813만원이나	813/SN+만/NR+원/NNB+이나/JX
되는	되/VV+는/ETM
고소득	고소득/NNG
가구라고	가구/NNG+이/VCP+라고/EC
해명했는데,	해명하/VV+였/EP+는데/EC+,/SP
거짓인	거짓/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다”고	드러나/VV+았/EP+다”고/EC
지적했다	지적하/VV+였/EP+다/EF

거짓	거짓/NNG
해명의	해명/NNG+의/JKG
근거로	근거/NNG+로/JKB
국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
남윤인순	남윤인순/NNP
의원(민주통합당)이	의원/NNG+(/SS+민주통합당/NNP+)/SS+이/JKS
최근	최근/NNG
복지부로부터	복지부/NNG+로부터/JKB
제출받은	제출/NNG+받/VV+은/ETM
소득·증빙자료를	소득/NNG+·/SP+증빙자료/NNG+를/JKO
분석한	분석하/VV+ㄴ/ETM
결과를	결과/NNG+를/JKO
들었다	듣/VV+었/EP+다/EF

정	정/NNP
대변인은	대변인/NNG+은/JX
“제조업체	“/SL+제조업체/NNG
노동자인	노동자/NNG+이/VCP+ㄴ/ETM
이	이/MM
할머니의	할머니/NNG+의/JKG
사위는	사위/NNG+는/JX
거액의	거액/NNG+의/JKG
부채	부채/NNG
탓에	탓/NNG+에/JKB
임금의	임금/NNG+의/JKG
절반을	절반/NNG+을/JKO
압류당하고	압류/NNG+당하/XSV+고/EC
있었고,	있/VX+었/EP+고/EC+,/SP
병가	병가/NNG
중이어서	중/NNB+이/VCP+어서/EC
실제소득은	실제소득/NNG+은/JX
이보다	이/NP+보다/JKB
훨씬	훨씬/MAG
적은	적/VA+은/ETM
것으로	것/NNB+으로/JKB
나타났다”면서	나타나/VV+았/EP+다”면서/EC
“복지부는	“/SL+복지부/NNG+는/JX
국민건강보험공단에	국민건강보험공단/NNG+에/JKB
등록된	등록되/VV+ㄴ/ETM
딸과	딸/NNG+과/JC
사위의	사위/NNG+의/JKG
‘작년	‘/SN+작년/NNG
소득’을	소득’/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
