11월	11/SN+월/NNB
편의점	편의점/NNG
의약품	의약품/NNG
판매,	판매/NNG+,/SP
13개품목	13/SN+개/NNB+품목/NNG
결정	결정/NNG

보건복지부(이하	보건복지부/NNG+(/SS+이하/NNG
복지부)가	복지부/NNG+)/SS+가/JKS
5일	5/SN+일/NNB
‘안전상비의약품	‘/SN+안전상비의약품/NNG
지정심의위원회’(이하	지정심의위원회’/NNG+(/SS+이하/NNG
위원회)를	위원회/NNG+)/SS+를/JKO
열어,	열/VV+어/EC+,/SP
금년부터	금년/NNG+부터/JX
편의점에서	편의점/NNG+에서/JKB
판매되는	판매되/VV+는/ETM
안전상비의약품	안전상비의약품/NNG
품목을	품목/NNG+을/JKO
결정했다	결정하/VV+였/EP+다/EC

편의점	편의점/NNG
판매가	판매/NNG+가/JKS
결정된	결정되/VV+ㄴ/ETM
품목은	품목/NNG+은/JX
해열진통제(타이레놀정	해열진통제/NNG+(/SS+타이레놀정/NNG
500mg,타이레놀정	500/SN+mg/SL+,/SP+타이레놀정/NNG
160mg,	160/SN+mg/SL+,/SP
어린이용타이레놀정	어린이용타이레놀정/NNG
80mg,어린이타이레놀현탁액,어린이부루펜시럽)	80/SN+mg/SL+,/SP+어린이타이레놀현탁액/NNG+,/SP+어린이부루펜시럽/NNP+)/SS
감기약(판콜에이내복액,판피린티정)	감기약/NNG+(/SS+판콜에이내복액/NNG+,/SP+판피린티정/NNG+)/SS
소화제(베아제정,닥터베아제정,훼스탈골드정,훼스탈플러스정)	소화제/NNG+(/SS+베아제정/NNP+,/SP+닥터베아제정/NNP+,/SP+훼스탈골드정/NNP+,/SP+훼스탈플러스정/NNP+)/SS
파스(제일쿨파스,신신파스아렉스)	파스/NNP+(/SS+제일쿨파스/NNP+,/SP+신신파스아렉스/NNP+)/SS
등	등/NNB
총	총/MM
13개	13/SN+개/NNB
품목이다	품목/NNG+이/VCP+다/EC

복지부는	복지부/NNG+는/JX
위원회의	위원회/NNG+의/JKG
의견에	의견/NNG+에/JKB
따라	따르/VV+아/EC
제도	제도/NNG
시행	시행/NNG
6개월	6/SN+개월/NNB
후	후/NNG
소비자들의	소비자/NNG+들/XSN+의/JKG
안전상비의약품	안전상비의약품/NNG
사용실태	사용실태/NNG
등을	등/NNB+을/JKO
중간	중간/NNG
점검하고,	점검하/VV+고/EC+,/SP
시행	시행/NNG
1년	1/SN+년/NNB
후	후/NNG
품목을	품목/NNG+을/JKO
재조정키로	재조정하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

또한	또한/MAG
추후	추후/NNG
안전상비의약품	안전상비의약품/NNG
품목	품목/NNG
조정을	조정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
검토와	검토/NNG+와/JC
논의를	논의/NNG+를/JKO
지속해	지속하/VV+여/EC
나가기로	나가/VX+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

이날	이날/NNG
위원회에서는	위원회/NNG+에서/JKB+는/JX
13개	13/SN+개/NNB
품목	품목/NNG
외에	외/NNB+에/JKB
지사제,	지사제/NNG+,/SP
제산제,	제산제/NNG+,/SP
진경제	진경제/NNG
등의	등/NNB+의/JKG
추가	추가/NNG
지정	지정/NNG
필요성에	필요성/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
논의가	논의/NNG+가/JKS
있었으며,	있/VA+었/EP+으며/EC+,/SP
이날	이날/NNG
지정된	지정되/VV+ㄴ/ETM
13개	13/SN+개/NNB
중	중/NNB
일부	일부/NNG
품목에	품목/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
지정	지정/NNG
필요성에	필요성/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이견이	이견/NNG+이/JKS
제기되기도	제기되/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

위원회는	위원회/NNG+는/JX
의학계,	의학계/NNG+,/SP
약학계,	약학계/NNG+,/SP
보건정책	보건정책/NNG
전문가,	전문가/NNG+,/SP
시민단체,	시민단체/NNG+,/SP
소비자단체	소비자단체/NNG
등으로	등/NNB+으로/JKB
구성됐으며	구성되/VV+었/EP+으며/EC
총	총/MM
3차에	3/SN+차/NNB+에/JKB
걸친	걸치/VV+ㄴ/ETM
회의에서	회의/NNG+에서/JKB
‘안전상비의약품	‘/SN+안전상비의약품/NNG
지정기준’과	지정기준/NNG+’/SL+과/JKB
함께	함께/MAG
판매대상	판매대상/NNG
품목에	품목/NNG+에/JKB
대해	대하/VV+여/EC
검토해	검토하/VV+여/EC
왔다	오/VX+았/EP+다/EF

위원회의	위원회/NNG+의/JKG
이번	이번/NNG
품목	품목/NNG
선정은	선정/NNG+은/JX
임부금기	임부금기/NNG
등	등/NNB
사용상	사용/NNG+상/XSN
특별한	특별하/VA+ㄴ/ETM
주의사항이	주의사항/NNG+이/JKS
있는	있/VA+는/ETM
의약품	의약품/NNG
등을	등/NNB+을/JKO
제외하는	제외하/VV+는/ETM
‘안전상비의약품	‘/SN+안전상비의약품/NNG
지정기준’을	지정기준/NNG+’/SL+을/JKO
충족하면서,	충족하/VV+면서/EC+,/SP
심야,	심야/NNG+,/SP
공휴일	공휴일/NNG
등에	등/NNB+에/JKB
긴급하게	긴급하/VA+게/EC
사용되는	사용되/VV+는/ETM
점을	점/NNG+을/JKO
감안해	감안하/VV+여/EC
소비자들의	소비자/NNG+들/XSN+의/JKG
인지도가	인지도/NNG+가/JKS
높은	높/VA+은/ETM
품목을	품목/NNG+을/JKO
우선적으로	우선적/NNG+으로/JKB
검토했다	검토하/VV+였/EP+다/EF

복지부	복지부/NNG
관계자는	관계자/NNG+는/JX
“품목이	“/SN+품목/NNG+이/JKS
정해진	정하/VV+여/EC+지/VX+ㄴ/ETM
만큼,	만큼/NNB+,/SP
포장단위?표시기재	포장단위/NNG+?/SF+표시기재/NNG
변경	변경/NNG
등	등/NNB
후속조치를	후속조치/NNG+를/JKO
차질	차질/NNG
없이	없이/MAG
준비해	준비하/VV+여/EC
