청각장애,	청각장애/NNG+,/SP
유전자	유전자/NNG
치료	치료/NNG
가능해진다	가능하/VA+여/EC+지/VX+ㄴ다/EF

CBS	CBS/SL
감일근	감일근/NNG
기자유전자	기자유전자/NNG
요법에	요법/NNG+에/JKB
의해	의하/VV+여/EC
선천적	선천적/NNG
청각	청각/NNG
장애를	장애/NNG+를/JKO
치료하는	치료하/VV+는/ETM
동물	동물/NNG
실험이	실험/NNG+이/JKS
성공해	성공하/VV+여/EC
청각장애	청각장애/NNG
치료에	치료/NNG+에/JKB
청신호가	청신호/NNG+가/JKS
켜졌다	켜/VV+어/EC+지/VX+었/EP+다/EC

연구를	연구/NNG+를/JKO
이끈	이끌/VV+ㄴ/ETM
미	미/NNP
캘리포니아	캘리포니아/NNP
대학	대학/NNG
로렌스	로렌스/NNP
루스틱	루스틱/NNP
박사는	박사/NNG+는/JX
유전자를	유전자/NNG+를/JKO
이용해	이용하/VV+여/EC
쥐의	쥐/NNG+의/JKG
선천적	선천적/NNG
청각장애를	청각장애/NNG+를/JKO
치료한	치료하/VV+ㄴ/ETM
것은	것/NNB+은/JX
처음이라며	처음/NNG+이/VCP+라며/EC
유전자	유전자/NNG
결함에	결함/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
사람의	사람/NNG+의/JKG
청각장애를	청각장애/NNG+를/JKO
치료하는데	치료하/VV+는/ETM+데/NNB
중요한	중요하/VA+ㄴ/ETM
이정표가	이정표/NNG+가/JKC
만들어졌음을	만들/VV+어/EC+지/VX+었/EP+음/ETN+을/JKO
의미한다고	의미하/VV+ㄴ다고/EC
말했다	말하/VV+였/EP+다/EC

청각손실은	청각손실/NNG+은/JX
귓속의	귓속/NNG+의/JKG
청모세모	청모세모/NNG
손상이	손상/NNG+이/JKS
원인이며	원인/NNG+이/VCP+며/EC
선천적	선천적/NNG
청각장애의	청각장애/NNG+의/JKG
절반이	절반/NNG+이/JKS
유전적	유전적/NNG
요인에	요인/NNG+에/JKB
의해	의하/VV+여/EC
발생한다	발생하/VV+ㄴ다/EC

소리증폭장치나	소리증폭장치/NNG+나/JC
달팽이관	달팽이관/NNG
이식	이식/NNG
등의	등/NNB+의/JKG
처방이	처방/NNG+이/JKS
있지만	있/VA+지만/EC
청력	청력/NNG
회복에는	회복/NNG+에/JKB+는/JX
한계가	한계/NNG+가/JKS
있다	있/VA+다/EC

그러나	그러나/MAJ
유전자	유전자/NNG
치료로	치료/NNG+로/JKB
청각장애를	청각장애/NNG+를/JKO
일으키는	일으키/VV+는/ETM
유전자	유전자/NNG
결함을	결함/NNG+을/JKO
바로잡으면	바로잡/VV+으면/EC
청력을	청력/NNG+을/JKO
완전히	완전히/MAG
회복할	회복하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다	되/VV+ㄴ다/EF

연구진은	연구/NNG+진/XSN+은/JX
VGLUT3(신경전달물질인	VGLUT/SL+3/SN+(/SS+신경전달물질/NNG+이/VCP+ㄴ/ETM
글루타민산	글루타민산/NNG
수송단백질)라는	수송단백질/NNG+)/SS+이/VCP+라는/ETM
단백질의	단백질/NNG+의/JKG
유전자	유전자/NNG
신호	신호/NNG
돌연변이로	돌연변이/NNG+로/JKB
발생하는	발생하/VV+는/ETM
선천적	선천적/NNG
청각장애	청각장애/NNG
쥐를	쥐/NNG+를/JKO
이용해	이용하/VV+여/EC
실험을	실험/NNG+을/JKO
했다	하/VV+였/EP+다/EC

이	이/MM
단백질은	단백질/NNG+은/JX
귓속의	귓속/NNG+의/JKG
청모세포가	청모세포/NNG+가/JKS
사람이	사람/NNG+이/JKS
들을	듣/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
신호를	신호/NNG+를/JKO
보내도록	보내/VV+도록/EC
하는데	하/VX+는/ETM+데/NNB
있어	있/VA+어/EC
중요한	중요하/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
한다	하/VV+ㄴ다/EF

연구진이	연구/NNG+진/XSN+이/JKS
이	이/MM
VGLUT3를	VGLUT/SL+3/SN+를/JKO
쥐의	쥐/NNG+의/JKG
귓속에	귓속/NNG+에/JKB
주입한	주입하/VV+ㄴ/ETM
뒤	뒤/NNG
2주가	2/SN+주/NNB+가/JKS
지나자	지나/VV+자/EC
모든	모든/MM
쥐에서	쥐/NNG+에서/JKB
청력이	청력/NNG+이/JKS
회복되었다	회복되/VV+었/EP+다/EC

이후	이후/NNG
성인	성인/NNG
쥐의	쥐/NNG+의/JKG
경우	경우/NNG
7주에서	7/SN+주/NNB+에서/JKB
1년6개월간	1/SN+년/NNB+6/SN+개월/NNB+간/XSN
지속됐고,	지속되/VV+었/EP+고/EC+,/SP
새로	새로/MAG
태어난	태어나/VV+ㄴ/ETM
쥐의	쥐/NNG+의/JKG
경우	경우/NNG
9달	9/SN+달/NNB
이상	이상/NNG
청력이	청력/NNG+이/JKS
유지되었다	유지되/VV+었/EP+다/EF

이	이/MM
치료법은	치료법/NNG+은/JX
쥐의	쥐/NNG+의/JKG
속귀를	속귀/NNG+를/JKO
손상시키지	손상/NNG+시키/XSV+지/EC
않았으며,	않/VX+았/EP+으며/EC+,/SP
오히려	오히려/MAG
귓속	귓속/NNG
청모세포의	청모세포/NNG+의/JKG
구조적	구조적/NNG
결함을	결함/NNG+을/JKO
바로잡았다	바로잡/VV+았/EP+다/EF

이번	이번/NNG
동물	동물/NNG
실험에	실험/NNG+에/JKB
이용된	이용되/VV+ㄴ/ETM
특정	특정/NNG
유전자	유전자/NNG
주입	주입/NNG
방식은	방식/NNG+은/JX
안전할	안전하/VA+ㄹ/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
효과적인	효과적/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
머지않아	머지않/VA+아/EC
사람을	사람/NNG+을/JKO
상대로	상대/NNG+로/JKB
한	하/VV+ㄴ/ETM
임상	임상/NNG
실험에	실험/NNG+에/JKB
적용될	적용되/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다	되/VV+었/EP+다/EC

이번	이번/NNG
연구는	연구/NNG+는/JX
지난	지나/VV+ㄴ/ETM
26일	26/SN+일/NNB
발간된	발간되/VV+ㄴ/ETM
뉴런지에	뉴런/NNP+지/XSN+에/JKB
실렸다	실리/VV+었/EP+다/EF

stephano@cbs	stephano/SL+@/SW+cbs/SL

co	co/SL

