여름철	여름철/NNG
폭염	폭염/NNG
기승,	기승/NNG+,/SP
식중독	식중독/NNG
예방하려면?	예방하/VV+려면/EF+?/SF

식품의약품안전청(이하	식품의약품안전/NNG+청/XSN+(/SS+이하/NNG
식약청)이	식약청/NNG+)/SS+이/JKS
12일	12/SN+일/NNB
기후변화로	기후변화/NNG+로/JKB
인해	인하/VV+여/EC
예년보다	예년/NNG+보다/JKB
빨리	빨리/MAG
찾아온	찾아오/VV+ㄴ/ETM
무더위	무더위/NNG
및	및/MAG
폭염에	폭염/NNG+에/JKB
대비해	대비하/VV+여/EC
가정에서	가정/NNG+에서/JKB
손쉽게	손쉽/VA+게/EC
실천할	실천하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
식품	식품/NNG
안전	안전/NNG
취급	취급/NNG
요령을	요령/NNG+을/JKO
안내했다	안내하/VV+였/EP+다/EC

지난	지나/VV+ㄴ/ETM
100년간	100/SN+년/NNB+간/XSN
우리나라	우리나라/NNG
6대	6/SN+대/NNG
도시	도시/NNG
평균	평균/NNG
기온이	기온/NNG+이/JKS
약	약/MM
1	1/SN

8℃상승한	8/SN+℃/SL+상승하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타난	나타나/VV+ㄴ/ETM
가운데	가운데/NNG
지구	지구/NNG
평균	평균/NNG
기온	기온/NNG
1℃	1/SN+℃/SW
상승	상승/NNG
시	시/NNG
살모넬라,	살모넬라/NNG+,/SP
장염비브리오	장염비브리오/NNG
및	및/MAG
황색포도상구균으로	황색포도상구균/NNG+으로/JKB
인한	인하/VV+ㄴ/ETM
식중독	식중독/NNG
발생	발생/NNG
건수는	건수/NNG+는/JX
각각	각각/MAG
47	47/SN

8%,	8/SN+%/SW+,/SP
19	19/SN

2%,	2/SN+%/SW+,/SP
5	5/SN

1%	1/SN+%/SW
증가하는	증가하/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

또한	또한/MAG
2001~2010년까지	2001/SN+~/SO+2010/SN+년/NNB+까지/JX
약	약/MM
10년간	10/SN+년/NNB+간/XSN
폭염	폭염/NNG
발생	발생/NNG
일수가	일수/NNG+가/JKS
평균	평균/NNG
9일에서	9/SN+일/NNB+에서/JKB
2050년까지	2050/SN+년/NNB+까지/JX
평균	평균/NNG
25일로	25/SN+일/NNB+로/JKB
약	약/MM
3배가	3/SN+배/NNG+가/JKS
증가할	증가하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예측하고	예측하/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
그	그/MM
발생	발생/NNG
시기도	시기/NNG+도/JX
점차	점차/MAG
빨라지는	빠르/VA+아/EC+지/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

이러한	이러하/VA+ㄴ/ETM
기후	기후/NNG
