장애인	장애인/NNG
10명	10/SN+명/NNB
중	중/NNB
2명	2/SN+명/NNB
‘죽고	‘/SN+죽/VV+고/EC
싶다’	싶/VX+다/EC+’/SL
생각	생각/NNG

장애인은	장애인/NNG+은/JX
비장애인에	비장애인/NNG+에/JKB
비해	비하/VV+여/EC
건강문제에서	건강문제/NNG+에서/JKB
취약하고,	취약하/VV+고/EC+,/SP
건강관리의	건강관리/NNG+의/JKG
어려움을	어려움/NNG+을/JKO
호소하고	호소하/VV+고/EC
있다	있/VX+다/EC

물리적인	물리적/NNG+이/VCP+ㄴ/ETM
장벽으로	장벽/NNG+으로/JKB
인해	인하/VV+여/EC
의료기관	의료기관/NNG
및	및/MAG
의료장비를	의료장비/NNG+를/JKO
접근하기	접근하/VV+기/ETN
어렵고,	어렵/VA+고/EC+,/SP
2차적인	2/SN+차/NNB+적/XSN+이/VCP+ㄴ/ETM
장애	장애/NNG
발생,	발생/NNG+,/SP
금전적인	금전/NNG+적/XSN+이/VCP+ㄴ/ETM
문제	문제/NNG
부담	부담/NNG
등이	등/NNB+이/JKS
발생하기	발생하/VV+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

현재	현재/MAG
국립재활원은	국립재활원/NNP+은/JX
'장애유형별	'/SS+장애유형별/NNP
건강	건강/NNG
모니터링	모니터링/NNG
체계'를	체계/NNG+'/SS+를/JKO
마련할	마련하/VV+ㄹ/ETM
계획으로,	계획/NNG+으로/JKB+,/SP
다양한	다양하/VA+ㄴ/ETM
연구들을	연구/NNG+들/XSN+을/JKO
진행하고	진행하/VV+고/EC
있다	있/VX+다/EC

이	이/MM
일환으로	일환/NNG+으로/JKB
국립재활원은	국립재활원/NNP+은/JX
18일	18/SN+일/NNB
오후	오후/NNG
이룸센터에서	이룸센터/NNG+에서/JKB
‘제1차	‘/SN+제/XPN+1/SN+차/NNB
장애와	장애/NNG+와/JC
건강	건강/NNG
컨퍼런스’를	컨퍼런스/NNG+’/SL+를/JKO
통해	통하/VV+여/EC
보건복지부의	보건복지부/NNG+의/JKG
연구용역을	연구용역/NNG+을/JKO
받아	받/VV+아/EC
진행한	진행하/VV+ㄴ/ETM
‘장애인	‘/SL+장애인/NNG
건강모니터링을	건강모니터링/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
건강실태	건강실태/NNG
예비조사’	예비조사/NNG+’/SL
결과를	결과/NNG+를/JKO
발표했다	발표하/VV+였/EP+다/EC

예비조사	예비조사/NNG
발표자로	발표자/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
국립재활원	국립재활원/NNP
재활연구소	재활연구소/NNG
재활표준연구과	재활표준연구/NNG+과/JC
홍현숙	홍현숙/NNP
연구관	연구관/NNG

'장애인의	'/SS+장애인/NNG+의/JKG
건강	건강/NNG
모니터링을	모니터링/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
