최동익,	최동익/NNG+,/SP
‘장애아동	‘/SN+장애아동/NNG
돌봄	돌보/VV+ㅁ/ETN
크레딧’	크레딧/NNG+’/SL
제안	제안/NNG

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
소속	소속/NNG
최동익	최동익/NNP
의원(민주통합당)이	의원/NNG+(/SS+민주통합당/NNP+)/SS+이/JKS
장애아동을	장애아동/NNG+을/JKO
돌보느라	돌보/VV+느라/EC
국민연금에	국민연금/NNG+에/JKB
가입하기	가입하/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
부모들을	부모/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
‘장애아동	‘/SL+장애아동/NNG
돌봄	돌보/VV+ㅁ/ETN
크레딧’을	크레딧/NNG+’/SL+을/JKO
제안했다	제안하/VV+였/EP+다/EC

최	최/NNP
의원은	의원/NNG+은/JX
22일	22/SN+일/NNB
국민연금공단	국민연금공단/NNP
국정감사자료를	국정감사자료/NNG+를/JKO
통해	통하/VV+여/EC
“장애아동을	“/SN+장애아동/NNG+을/JKO
돌봐야	돌보/VV+아야/EC
하는	하/VX+는/ETM
부모들은	부모/NNG+들/XSN+은/JX
불가피하게	불가피하/VA+게/EC
소득활동에	소득활동/NNG+에/JKB
참여하지	참여하/VV+지/EC
못하는	못하/VX+는/ETM
만큼	만큼/NNB
장애아동	장애아동/NNG
부모들에	부모/NNG+들/XSN+에/JKB
국민연금	국민연금/NNG
크레딧	크레딧/NNG
제도를	제도/NNG+를/JKO
확대	확대/NNG
적용할	적용하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다”고/EC
주장했다	주장하/VV+였/EP+다/EC

국민연금공단의	국민연금공단/NNG+의/JKG
크레딧은	크레딧/NNG+은/JX
돌봄노동,	돌봄노동/NNP+,/SP
군복무,	군복무/NNG+,/SP
실업교육	실업교육/NNG
등	등/NNB
사회적으로	사회적/NNG+으로/JKB
가치	가치/NNG
있는	있/VA+는/ETM
혹은	혹은/MAG
불가피한	불가피하/VA+ㄴ/ETM
이유로	이유/NNG+로/JKB
인해	인하/VV+여/EC
보험료를	보험료/NNG+를/JKO
납부하지	납부하/VV+지/EC
못하는	못하/VX+는/ETM
기간이	기간/NNG+이/JKS
