국립의료기관	국립의료기관/NNG
수익성	수익성/NNG
추구에	추구/NNG+에/JKB
‘급급’	‘/SN+급급/NNG+’/SN

공공성을	공공성/NNG+을/JKO
우선으로	우선/NNG+으로/JKB
공공의료	공공의료/NNG
모델을	모델/NNG+을/JKO
만들어야	만들/VV+어야/EC
하는	하/VX+는/ETM
국립	국립/NNG
의료기관들이	의료기관/NNG+들/XSN+이/JKS
수익성	수익성/NNG
추구에	추구/NNG+에/JKB
앞장서고	앞장서/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
소속	소속/NNG
이학영	이학영/NNP
의원(민주통합당)은	의원/NNG+(/SS+민주통합당/NNP+)/SS+은/JX
23일	23/SN+일/NNB
국립중앙의료원과	국립중앙의료원/NNP+과/JC
국립재활원에	국립재활원/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
국정감사에서	국정감사/NNG+에서/JKB
두	두/MM
의료기관의	의료기관/NNG+의/JKG
진료내역을	진료내역/NNG+을/JKO
분석하고,	분석하/VV+고/EC+,/SP
국립의료기관의	국립의료기관/NNG+의/JKG
공공성	공공성/NNG
추구를	추구/NNG+를/JKO
강하게	강하/VA+게/EC
요구했다	요구하/VV+었/EP+다/EC

이	이/MM
의원에	의원/NNG+에/JKB
따르면	따르/VV+면/EC
국립중앙의료원의	국립중앙의료원/NNP+의/JKG
경우	경우/NNG
모든	모든/MM
진료과에서	진료과/NNG+에서/JKB
1인당	1/SN+인/NNG+당/XSN
진료비가	진료비/NNG+가/JKS
급격히	급격히/MAG
상승했다	상승하/VV+였/EP+다/EC

내과는	내과/NNG+는/JX
2010년	2010/SN+년/NNB
36만원이던	36/SN+만/NR+원/NNB+이/VCP+던/ETM
1인당	1/SN+인/NNG+당/XSN
진료비가	진료비/NNG+가/JKS
54만원으로	54/SN+만/NR+원/NNB+으로/JKB
불과	불과/MAG
1년	1/SN+년/NNB
새	새/NNG
53%나	53/SN+%/SW+나/JX
올랐고,	오르/VV+았/EP+고/EC+,/SP
외과는	외과/NNG+는/JX
13만원에서	13/SN+만/NR+원/NNB+에서/JKB
17만원으로,	17/SN+만/NR+원/NNB+으로/JKB+,/SP
소아청소년과는	소아청소년/NNG+과/JKB+는/JX
6만원에서	6/SN+만/NR+원/NNB+에서/JKB
8만원,	8/SN+만/NR+원/NNB+,/SP
정신과는	정신과/NNG+는/JX
20만원에서	20/SN+만/NR+원/NNB+에서/JKB
26만원으로	26/SN+만/NR+원/NNB+으로/JKB
대폭	대폭/MAG
올랐다	오르/VV+았/EP+다/EC

CT촬영은	CT/SL+촬영/NNG+은/JX
더욱	더욱/MAG
