보건소,	보건소/NNG+,/SP
4일부터	4/SN+일/NNB+부터/JX
인플루엔자	인플루엔자/NNG
예방	예방/NNG
접종	접종/NNG

질병관리본부는	질병관리본부/NNG+는/JX
인플루엔자	인플루엔자/NNG
유행에	유행/NNG+에/JKB
대비해	대비하/VV+여/EC
65세	65/SN+세/NNB
이상	이상/NNG
노인,	노인/NNG+,/SP
심장·폐	심장/NNG+·/SP+폐/NNG
질환,	질환/NNG+,/SP
당뇨	당뇨/NNG
등	등/NNB
만성질환을	만성질환/NNG+을/JKO
가지고	가지/VV+고/EC
있는	있/VX+는/ETM
환자와	환자/NNG+와/JC
그	그/MM
보호자,	보호자/NNG+,/SP
생후	생후/NNG
6~59개월	6/SN+~/SO+59/SN+개월/NNB
소아	소아/NNG
및	및/MAG
임신부	임신부/NNG
등을	등/NNB+을/JKO
인플루엔자	인플루엔자/NNG
우선접종	우선접종/NNG
권장대상자로	권장대상자/NNG+로/JKB
정하고	정하/VV+고/EC
예방접종을	예방접종/NNG+을/JKO
권고한다고	권고하/VV+ㄴ다고/EC
4일	4/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

인플루엔자는	인플루엔자/NNG+는/JX
환자의	환자/NNG+의/JKG
기침이나	기침/NNG+이나/JC
콧물	콧물/NNG
등의	등/NNB+의/JKG
분비물을	분비물/NNG+을/JKO
통해	통하/VV+여/EC
쉽게	쉽/VA+게/EC
감염이	감염/NNG+이/JKS
일어나므로	일어나/VV+므로/EC
예방을	예방/NNG+을/JKO
위해	위하/VV+여/EC
손	손/NNG
씻기	씻/VV+기/ETN
등	등/NNB
개인	개인/NNG
위생수칙과	위생수칙/NNG+과/JC
기침	기침/NNG
에티켓을	에티켓/NNG+을/JKO
잘	잘/MAG
지켜야	지키/VV+어야/EC
한다	하/VX+ㄴ다/EF

특히	특히/MAG
노약자,	노약자/NNG+,/SP
만성질환자가	만성질환/NNG+자/XSN+가/JKS
인플루엔자에	인플루엔자/NNG+에/JKB
감염될	감염되/VV+ㄹ/ETM
경우	경우/NNG
세균성폐렴,	세균성폐렴/NNG+,/SP
울혈성	울혈성/NNG
심부전증과	심부전증/NNG+과/JKB
같은	같/VA+은/ETM
합병증	합병증/NNG
발생의	발생/NNG+의/JKG
위험이	위험/NNG+이/JKS
높아지고,	높아지/VV+고/EC+,/SP
기존에	기존/NNG+에/JKB
앓던	앓/VV+던/ETM
만성질환이	만성질환/NNG+이/JKS
악화될	악화되/VV+ㄹ/ETM
수	수/NNB
있으므로	있/VA+으므로/EC
본격적인	본격적/NNG+이/VCP+ㄴ/ETM
인플루엔자	인플루엔자/NNG
유행	유행/NNG
이전에	이전/NNG+에/JKB
예방접종을	예방접종/NNG+을/JKO
받아야	받/VV+아야/EC
한다	하/VX+ㄴ다/EF

올해	올해/NNG
우리나라	우리나라/NNG
인플루엔자	인플루엔자/NNG
백신	백신/NNG
공급량은	공급량/NNG+은/JX
지난해보다	지난해/NNG+보다/JKB
7%가량	7/SN+%/SW+가량/XSN
증가한	증가하/VV+ㄴ/ETM
약	약/MM
2300만	2300/SN+만/NR
도즈(1회	도즈/NNG+(/SS+1/SN+회/NNB
접종량)로,	접종량/NNG+)/SS+로/JKB+,/SP
인플루엔자	인플루엔자/NNG
백신	백신/NNG
부족현상은	부족현상/NNG+은/JX
없을	없/VA+을/ETM
것으로	것/NNB+으로/JKB
예상된다	예상되/VV+ㄴ다/EF

민간의료기관에서는	민간의료기관/NNG+에서/JKB+는/JX
9월부터	9/SN+월/NNB+부터/JX
접종이	접종/NNG+이/JKS
시작됐고,	시작되/VV+었/EP+고/EC+,/SP
보건소의	보건소/NNG+의/JKG
경우	경우/NNG
백신공급이	백신공급/NNG+이/JKS
완료되는	완료되/VV+는/ETM
4일부터	4/SN+일/NNB+부터/JX
지역	지역/NNG
우선접종대상자	우선접종대상자/NNG
약	약/MM
384만	384/SN+만/NR
명에	명/NNB+에/JKB
대해	대하/VV+여/EC
순차적으로	순차적/NNG+으로/JKB
예방접종이	예방접종/NNG+이/JKS
실시될	실시되/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

보건소는	보건소/NNG+는/JX
65세	65/SN+세/NNB
이상	이상/NNG
노인,	노인/NNG+,/SP
사회복지시설	사회복지시설/NNG
생활자,	생활자/NNG+,/SP
의료수급권자	의료수급권자/NNG
등을	등/NNB+을/JKO
위주로	위주/NNG+로/JKB
자치단체	자치단체/NNG
실정에	실정/NNG+에/JKB
맞추어	맞추/VV+어/EC
예방접종을	예방접종/NNG+을/JKO
실시	실시/NNG
할	하/VV+ㄹ/ETM
계획으로,	계획/NNG+으로/JKB+,/SP
이에	이/NP+에/JKB
해당되는	해당되/VV+는/ETM
주민은	주민/NNG+은/JX
거주	거주/NNG
지역	지역/NNG
보건소에	보건소/NNG+에/JKB
접종일정을	접종일정/NNG+을/JKO
사전에	사전/NNG+에/JKB
확인하고	확인하/VV+고/EC
방문하면	방문하/VV+면/EC
된다	되/VV+ㄴ다/EF

특히,	특히/MAG+,/SP
보건소	보건소/NNG
접종	접종/NNG
시	시/NNG
고령자분들은	고령자분/NNG+들/XSN+은/JX
추운	춥/VA+ㄴ/ETM
날씨에	날씨/NNG+에/JKB
야외에서	야외/NNG+에서/JKB
장시간	장시간/NNG
서서	서/VV+어서/EC
대기하지	대기하/VV+지/EC
않도록	않/VX+도록/EC
주의해야하며(낮	주의하/VV+여야/EC+하/VX+며/EF+(/SS+낮/MM
시간을	시간/NNG+을/JKO
이용해	이용하/VV+여/EC
접종),	접종/NNG+)/SS+,/SP
따뜻한	따뜻하/VA+ㄴ/ETM
옷을	옷/NNG+을/JKO
입고,	입/VV+고/EC+,/SP
수분을	수분/NNG+을/JKO
충분히	충분히/MAG
섭취해야	섭취하/VV+여야/EC
안전사고를	안전사고/NNG+를/JKO
예방할	예방하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

또한	또한/MAG
당일	당일/NNG
건강한	건강하/VA+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
예방접종	예방접종/NNG
받는	받/VV+는/ETM
것이	것/NNB+이/JKS
중요하므로	중요하/VA+므로/EC
예진	예진/NNG
시	시/NNG
접종당일	접종당일/NNG
건강상태와	건강상태/NNG+와/JC
평소	평소/NNG
앓고	앓/VV+고/EC
있는	있/VX+는/ETM
만성질환을	만성질환/NNG+을/JKO
의료진에게	의료진/NNG+에게/JKB
꼭	꼭/MAG
알려야	알리/VV+어야/EC
하고,	하/VX+고/EC+,/SP
예방접종	예방접종/NNG
후에는	후/NNG+에/JKB+는/JX
30분	30/SN+분/NNB
정도	정도/NNG
보건소에	보건소/NNG+에/JKB
머물면서	머물/VV+면서/EC
급성	급성/NNG
이상반응	이상반응/NNG
(쇼크증상/아나필락시스)	(/SS+쇼크증상/NNG+//SP+아나필락시스/NNP+)/SS
발생	발생/NNG
여부를	여부/NNG+를/JKO
관찰한	관찰하/VV+ㄴ/ETM
후	후/NNG
귀가해야	귀가하/VV+여야/EC
한다	하/VX+ㄴ다/EF
