발달장애인	발달장애인/NNG
독립기관이	독립기관/NNG+이/JKS
필요한	필요하/VA+ㄴ/ETM
이유	이유/NNG

‘2012	‘/SL+2012/SN
장애청년드림팀	장애청년드림팀/NNG
6대륙에	6/SN+대륙/NNG+에/JKB
도전하다’	도전하/VV+다/EC+’/SL
CASS팀은	CASS/SL+팀/NNG+은/JX
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
23일부터	23/SN+일/NNB+부터/JX
9월	9/SN+월/NNB
2일까지	2/SN+일/NNB+까지/JX
‘발달장애인의	‘/SN+발달장애인/NNG+의/JKG
dream	dream/SL
challenge'를	challenge/SL+'/SS+를/JKO
주제로	주제/NNG+로/JKB
한	하/VV+ㄴ/ETM
미국	미국/NNP
연수를	연수/NNG+를/JKO
무사히	무사히/MAG
마치고	마치/VV+고/EC
돌아왔다	돌아오/VV+았/EP+다/EC

연수	연수/NNG
기간	기간/NNG
동안	동안/NNG
각	각/MM
기관	기관/NNG
등을	등/NNB+을/JKO
방문해	방문하/VV+여/EC
체험하고,	체험하/VV+고/EC+,/SP
느낀	느끼/VV+ㄴ/ETM
점을	점/NNG+을/JKO
소개한다	소개하/VV+ㄴ다/EF

이번	이번/NNG
연수에서	연수/NNG+에서/JKB
우리	우리/NP
팀은	팀/NNG+은/JX
장애인들의	장애인/NNG+들/XSN+의/JKG
존엄,	존엄/NNG+,/SP
긍지,	긍지/NNG+,/SP
자존감을	자존/NNG+감/XSN+을/JKO
높이고	높이/VV+고/EC
그들에게	그/NP+들/XSN+에게/JKB
보다	보다/MAG
많은	많/VA+은/ETM
선택권을	선택권/NNG+을/JKO
제공함으로써	제공하/VV+ㅁ/ETN+으로써/JKB
그들의	그/NP+들/XSN+의/JKG
독립성을	독립성/NNG+을/JKO
유지하고	유지하/VV+고/EC
삶의	삶/NNG+의/JKG
만족감을	만족감/NNG+을/JKO
높이는	높이/VV+는/ETM
것을	것/NNB+을/JKO
목적으로	목적/NNG+으로/JKB
하고	하/VV+고/EC
있는	있/VX+는/ETM
“Access	“Access/SL
Living"을	Living/SL+"/SS+을/JKO
방문했다	방문하/VV+였/EP+다/EC

Access	Access/SL
Living은	Living/SL+은/JX
현재	현재/MAG
약70여명의	약/MM+70/SN+여/XSN+명/NNB+의/JKG
직원들이	직원/NNG+들/XSN+이/JKS
1500여명의	1500/SN+여/XSN+명/NNB+의/JKG
장애인을	장애인/NNG+을/JKO
돕고	돕/VV+고/EC
있다	있/VX+다/EC

이들	이/NP+들/XSN
중	중/NNB
약80%가	약/MM+80/SN+%/SW+가/JKS
시각장애,	시각장애/NNG+,/SP
청각장애,	청각장애/NNG+,/SP
지체장애,	지체장애/NNG+,/SP
발달장애	발달장애/NNG
등	등/NNB
다양한	다양하/VA+ㄴ/ETM
장애인으로	장애인/NNG+으로/JKB
구성되어	구성되/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
근무환경은	근무환경/NNG+은/JX
장애를	장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
직원들이	직원/NNG+들/XSN+이/JKS
불편하지	불편하/VA+지/EC
않게	않/VX+게/EC
근무할	근무하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
설계되어	설계되/VV+어/EC
있다	있/VX+다/EC

이	이/MM
기관에서	기관/NNG+에서/JKB
주로	주로/MAG
하는	하/VV+는/ETM
업무는	업무/NNG+는/JX
장애인	장애인/NNG
중	중/NNB
요양원이나	요양원/NNG+이나/JC
병원	병원/NNG
등에서	등/NNB+에서/JKB
벗어나	벗어나/VV+아/EC
자신의	자신/NNG+의/JKG
집에서	집/NNG+에서/JKB
생활하기를	생활하/VV+기/ETN+를/JKO
원하는	원하/VV+는/ETM
이들을	이/NP+들/XSN+을/JKO
위해	위하/VV+여/EC
주택	주택/NNG
서비스를	서비스/NNG+를/JKO
제공하는	제공하/VV+는/ETM
것이다	것/NNB+이/VCP+다/EC

직접	직접/MAG
주택을	주택/NNG+을/JKO
제공하지는	제공하/VV+지/EC+는/JX
않으나	않/VX+으나/EC
주택	주택/NNG
찾는	찾/VV+는/ETM
것을	것/NNB+을/JKO
도와주고	도와주/VV+고/EC
있다	있/VX+다/EC

청소년을	청소년/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
프로그램을	프로그램/NNG+을/JKO
진행하고	진행하/VV+고/EC
요양원에	요양원/NNG+에/JKB
있던	있/VA+던/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
지역사회에	지역사회/NNG+에/JKB
거주할	거주하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
돕는	돕/VV+는/ETM
프로그램,	프로그램/NNG+,/SP
예술과	예술/NNG+과/JC
문화에	문화/NNG+에/JKB
관련된	관련되/VV+ㄴ/ETM
프로그램도	프로그램/NNG+도/JX
진행하고	진행하/VV+고/EC
있지만	있/VX+지만/EC
가장	가장/MAG
큰	크/VA+ㄴ/ETM
목적은	목적/NNG+은/JX
장애인들의	장애인/NNG+들/XSN+의/JKG
권리를	권리/NNG+를/JKO
보호해	보호하/VV+여/EC
주는	주/VX+는/ETM
것이라	것/NNB+이/VCP+라/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

팀원의	팀원/NNG+의/JKG
대부분이	대부분/NNG+이/JKS
발달장애로	발달장애/NNG+로/JKB
구성된	구성되/VV+ㄴ/ETM
우리	우리/NP
팀은	팀/NNG+은/JX
최근	최근/NNG
Access	Access/SL
Living이	Living/SL+이/JKS
발달장애인을	발달장애인/NNG+을/JKO
위해	위하/VV+여/EC
벌인	벌이/VV+ㄴ/ETM
운동에	운동/NNG+에/JKB
관해	관하/VV+여/EC
질의하였는데,	질의하/VV+였/EP+는데/EC+,/SP
장애인	장애인/NNG
복지가	복지/NNG+가/JKS
잘	잘/MAG
되어	되/VV+어/EC
있는	있/VX+는/ETM
미국에서	미국/NNP+에서/JKB
이런	이런/MM
사실이	사실/NNG+이/JKS
있다는	있/VA+다는/ETM
것이	것/NNB+이/JKS
놀라울	놀랍/VA+ㄹ/ETM
뿐이었다	뿐/NNB+이/VCP+었/EP+다/EF

시카고	시카고/NNP
정부는	정부/NNG+는/JX
발달장애인이	발달장애인/NNG+이/JKS
다양한	다양하/VA+ㄴ/ETM
서비스를	서비스/NNG+를/JKO
받기	받/VV+기/ETN
위해서	위하/VV+여서/EC
IQ테스트를	IQ/SL+테스트/NNG+를/JKO
해	하/VV+여/EC
왔고,	오/VX+았/EP+고/EC+,/SP
그들이	그/NP+들/XSN+이/JKS
정한	정하/VV+ㄴ/ETM
수준	수준/NNG
이상이	이상/NNG+이/JKC
되지	되/VV+지/EC
않으면	않/VX+으면/EC
서비스를	서비스/NNG+를/JKO
제공하지	제공하/VV+지/EC
않았다	않/VX+았/EP+다/EF

그렇다면	그렇/VA+다면/EC
중증의	중증/NNG+의/JKG
발달장애인은	발달장애인/NNG+은/JX
정부로부터	정부/NNG+로부터/JKB
아무런	아무런/MM
서비스를	서비스/NNG+를/JKO
받지	받/VV+지/EC
못했다는	못하/VX+였/EP+다는/ETM
것인데,	것/NNB+이/VCP+ㄴ데/EC+,/SP
그	그/MM
이유는	이유/NNG+는/JX
놀랍게도	놀랍/VA+게/EC+도/JX
재정이	재정/NNG+이/JKS
부족해서	부족하/VA+여서/EC
모든	모든/MM
발달장애인에게	발달장애인/NNG+에게/JKB
서비스를	서비스/NNG+를/JKO
제공할	제공하/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
것이다	것/NNB+이/VCP+다/EC

Access	Access/SL
Living에서는	Living/SL+에서/JKB+는/JX
IQ테스트를	IQ/SL+테스트/NNG+를/JKO
통해	통하/VV+여/EC
발달장애인에게	발달장애인/NNG+에게/JKB
제한된	제한되/VV+ㄴ/ETM
서비스를	서비스/NNG+를/JKO
제공한다는	제공하/VV+ㄴ다는/ETM
것	것/NNB
또한	또한/MAG
차별	차별/NNG
중	중/NNB
하나이고,	하나/NNG+이/VCP+고/EC+,/SP
이것을	이것/NP+을/JKO
시정시키기	시정/NNG+시키/XSV+기/ETN
위해	위하/VV+여/EC
정부에	정부/NNG+에/JKB
오랜	오랜/MM
기간	기간/NNG
강력하게	강력하/VA+게/EC
항의했다	항의하/VV+였/EP+다/EC

결국	결국/NNG
정부는	정부/NNG+는/JX
모든	모든/MM
발달장애인에게	발달장애인/NNG+에게/JKB
어떠한	어떠하/VA+ㄴ/ETM
테스트도	테스트/NNG+도/JX
거치지	거치/VV+지/EC
않고	않/VX+고/EC
서비스를	서비스/NNG+를/JKO
제공하기	제공하/VV+기/ETN
시작했다	시작하/VV+였/EP+다/EF

이	이/MM
사실이	사실/NNG+이/JKS
불과	불과/MAG
몇달전의	몇/MM+달/NNB+전/NNG+의/JKG
일이었다는	일/NNG+이/VCP+었/EP+다는/ETM
것이	것/NNB+이/JKS
놀라울	놀랍/VA+ㄹ/ETM
따름이다	따름/NNB+이/VCP+다/EC

스스로의	스스로/NNG+의/JKG
권리를	권리/NNG+를/JKO
지키지	지키/VV+지/EC
못하고,	못하/VX+고/EC+,/SP
타인에	타인/NNG+에/JKB
의해	의하/VV+여/EC
자신을	자신/NNG+을/JKO
지켜야	지키/VV+어야/EC
하는	하/VX+는/ETM
발달장애인들을	발달장애인/NNG+들/XSN+을/JKO
위해	위하/VV+여/EC
우리나라에도	우리나라/NNG+에/JKB+도/JX
이러한	이러하/VA+ㄴ/ETM
독립기관이	독립기관/NNG+이/JKS
하루	하루/NNG
속히	속히/MAG
생겨나길	생겨나/VV+기/ETN+ㄹ/JKO
간절히	간절히/MAG
기도해	기도하/VV+여/EC
본다	보/VX+ㄴ다/EF

*이글은	*/SW+이글/NNP+은/JX
'2012장애청년드림팀	'/SS+2012/SN+장애/NNB+청년드림팀/NNG
6대륙에	6/SN+대륙/NNG+에/JKB
도전하다'	도전하/VA+다/EF+'/SS
CASS팀의	CASS/SL+팀/NNG+의/JKG
박세진님이	박세진/NNP+님/XSN+이/JKS
보내왔습니다	보내오/VV+았/EP+습니다/EF
