서울시,	서울시/NNP+,/SP
‘제10회	‘/SN+제/XPN+10/SN+회/NNB
복지상’	복지/NNG+상/XSN+’/SL
수상자	수상자/NNG
선정	선정/NNG

32년간	32/SN+년/NNB+간/XSN
서울의	서울/NNP+의/JKG
철거민과	철거민/NNG+과/JC
달동네	달동네/NNG
주민들의	주민/NNG+들/XSN+의/JKG
주거지원을	주거지원/NNG+을/JKO
위해	위하/VV+여/EC
헌신한	헌신하/VV+ㄴ/ETM
뉴질랜드	뉴질랜드/NNP
출신	출신/NNG
브레넌	브레넌/NNP
로버트	로버트/NNP
존(Brennan	존/NNG+(/SS+Brennan/SL
Robert	Robert/SL
John,	John/SL+,/SP
한국명:안광훈)	한국/NNP+명/NNG+:/SP+안광훈/NNP+)/SS
신부가	신부/NNG+가/JKS
‘2012년	‘/SL+2012/SN+년/NNB
서울시	서울시/NNP
복지상’	복지/NNG+상/XSN+’/SN
대상	대상/NNG
수상자로	수상자/NNG+로/JKB
선정됐다	선정되/VV+었/EP+다/EF

서울시는	서울시/NNP+는/JX
올해	올해/NNG
10회째	10/SN+회/NNB+째/XSN
맞는	맞/VV+는/ETM
복지상	복지/NNG+상/XSN
수상자로	수상자/NNG+로/JKB
복지자원봉사	복지자원봉/NNG+사/XSN
후원자	후원자/NNG
종사자	종사자/NNG
등	등/NNB
3개	3/SN+개/NNB
분야에	분야/NNG+에/JKB
걸쳐	걸치/VV+어/EC
대상	대상/NNG
1명,	1/SN+명/NNB+,/SP
최우수상	최우수상/NNG
3명(각	3/SN+명/NNB+(/SS+각/JKS
분야	분야/NNG
1명씩),	1/SN+명/NNB+씩/XSN+)/SS+,/SP
우수상	우수상/NNG
6명(각	6/SN+명/NNB+(/SS+각/MM
분야	분야/NNG
2명씩)	2/SN+명/NNB+씩/XSN+)/SS
등	등/NNB
총	총/MM
10명을	10/SN+명/NNB+을/JKO
선정했다	선정하/VV+였/EP+다/EF

대상을	대상/NNG+을/JKO
수상한	수상하/VV+ㄴ/ETM
안광훈	안광훈/NNP
신부는	신부/NNG+는/JX
현재	현재/MAG
일흔을	일흔/NR+을/JKO
넘긴	넘기/VV+ㄴ/ETM
나이임에도	나이/NNG+이/VCP+ㅁ에도/EC
불구하고	불구하/VV+고/EC
20년째	20/SN+년/NNB+째/XSN
삼양동	삼양동/NNP
달동네를	달동네/NNG+를/JKO
지켜오고	지키/VV+어/EC+오/VX+고/EC
있다	있/VX+다/EC

저소득층을	저소득층/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
일자리사업,	일자리사업/NNG+,/SP
주거복지,	주거복지/NNG+,/SP
대안금융	대안금융/NNG
등	등/NNB
다양한	다양하/VA+ㄴ/ETM
방면에서	방면/NNG+에서/JKB
활발하게	활발하/VA+게/EC
활동하며,	활동하/VV+며/EC+,/SP
‘소통의	‘/SL+소통/NNG+의/JKG
달인’,	달인/NNG+’/SL+,/SP
‘달동네	‘/SN+달동네/NNG
주민의	주민/NNG+의/JKG
대부’로	대부’/NNG+로/JKB
불린다	불리/VV+ㄴ다/EF

안	안/NNP
신부가	신부/NNG+가/JKS
처음	처음/NNG
한국	한국/NNP
땅을	땅/NNG+을/JKO
밟은	밟/VV+은/ETM
것은	것/NNB+은/JX
지난	지나/VV+ㄴ/ETM
1966년으로	1966/SN+년/NNB+으로/JKB
3년	3/SN+년/NNB
뒤	뒤/NNG
강원도	강원도/NNP
정선에	정선/NNP+에/JKB
부임해	부임하/VV+여/EC
저소득층의	저소득층/NNG+의/JKG
대출을	대출/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘정선	‘/SL+정선/NNG
신용협동조합’을	신용협동조합’/NNG+을/JKO
건립하고,	건립하/VV+고/EC+,/SP
지역	지역/NNG
병원이	병원/NNG+이/JKS
없는	없/VA+는/ETM
군민들을	군민/NNG+들/XSN+을/JKO
위해	위하/VV+여/EC
‘프란치스코	‘/SL+프란치스코/NNP
의원’을	의원/NNG+’/SL+을/JKO
운영했다	운영하/VV+였/EP+다/EF

또,	또/MAG+,/SP
1981년	1981/SN+년/NNB
서울로	서울/NNP+로/JKB
올라온	올라오/VV+ㄴ/ETM
안	안/NNP
신부는	신부/NNG+는/JX
당시	당시/NNG
올림픽준비를	올림픽준비/NNG+를/JKO
위해	위하/VV+여/EC
목동의	목동/NNG+의/JKG
재건축	재건축/NNG
현장에서	현장/NNG+에서/JKB
어떠한	어떠하/VA+ㄴ/ETM
보상도	보상/NNG+도/JX
없이	없이/MAG
쫓겨나는	쫓겨나/VV+는/ETM
철거민을	철거민/NNG+을/JKO
보고,	보/VV+고/EC+,/SP
철거민의	철거민/NNG+의/JKG
생활터전	생활터전/NNG
보호를	보호/NNG+를/JKO
위해	위하/VV+여/EC
물심양면으로	물심양면/NNG+으로/JKB
지원했다	지원하/VV+였/EP+다/EC

이와	이/NP+와/JKB
함께	함께/MAG
1997년	1997/SN+년/NNB
IMF	IMF/SL
구제금융	구제금융/NNG
요청으로	요청/NNG+으로/JKB
인해	인하/VV+여/EC
실업문제가	실업문제/NNG+가/JKS
심각해지자	심각하/VA+여/EC+지/VX+자/EC
‘서울북부실업자사업단	‘/SL+서울북/NNP+부실업자사업/NNG+단/XSN
강북지부’의	강북/NNP+지부/NNG+’/SL+의/JKG
운영위원으로	운영위원/NNG+으로/JKB
부임해	부임하/VV+여/EC
현재까지도	현재/NNG+까지도/JX
저소득층의	저소득층/NNG+의/JKG
일자리	일자리/NNG
창출을	창출/NNG+을/JKO
위해	위하/VV+여/EC
기여하고	기여하/VV+고/EC
있다	있/VX+다/EC

안	안/NNP
신부는	신부/NNG+는/JX
2000년부터는	2000/SN+년/NNB+부터는/JX
강북지역자활센터	강북/NNP+지역자활센터/NNG
위탁운영을	위탁운영/NNG+을/JKO
통해	통하/VV+여/EC
노숙인과	노숙인/NNG+과/JC
국민기초생활수급권자의	국민기초/NNP+생활수급권자/NNG+의/JKG
생활안정을	생활안정/NNG+을/JKO
도모하고,	도모하/VV+고/EC+,/SP
2007년부터는	2007/SN+년/NNB+부터는/JX
주민들의	주민/NNG+들/XSN+의/JKG
안정적인	안정적/NNG+이/VCP+ㄴ/ETM
주거생활을	주거생활/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘강북주거복지센터	‘/SL+강북주거복지센터/NNG
설립’을	설립/NNG+’/SL+을/JKO
제안해	제안하/VV+여/EC
운영위원으로서	운영위원/NNG+으로서/JKB
활동	활동/NNG
중이다	중/NNB+이/VCP+다/EC

자원봉사자분야	자원봉사자분야/NNG
최우수상에는	최우수상/NNG+에/JKB+는/JX
지난	지나/VV+ㄴ/ETM
10년간	10/SN+년/NNB+간/XSN
총	총/MM
1200회,	1200/SN+회/NNB+,/SP
약	약/MM
4522	4522/SN
시간	시간/NNB
동안	동안/NNG
