“음식점	“/SL+음식점/NNG
입구에서	입구/NNG+에서/JKB
가격확인하세요”	가격확인/NNG+하/XSN+시/EP+어/EC+요/NNB+”/NNG

보건복지부(이하	보건복지부/NNG+(/SS+이하/NNG
복지부)는	복지부/NNG+)/SS+는/JX
음식점	음식점/NNG
외부에도	외부/NNG+에/JKB+도/JX
가격을	가격/NNG+을/JKO
표시하도록	표시하/VV+도록/EC
하고,	하/VX+고/EC+,/SP
집단급식소의	집단급식소/NNG+의/JKG
지하수	지하수/NNG
수질	수질/NNG
관리를	관리/NNG+를/JKO
강화하는	강화하/VV+는/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
‘식품위생법	‘/SN+식품위생법/NNG
시행령’	시행령/NNG+’/SL
및	및/MAG
‘식품위생법	‘/SL+식품위생법/NNG
시행규칙’	시행규칙/NNG+’/SN
개정안을	개정안/NNG+을/JKO
오는	오/VV+는/ETM
31일부터	31/SN+일/NNB+부터/JX
9월10일까지	9/SN+월/NNB+10/SN+일/NNB+까지/JX
입법예고한다	입법/NNG+예고하/VV+ㄴ다/EF

개정안에	개정안/NNG+에/JKB
따르면	따르/VV+면/EC
우선	우선/MAG
소비자가	소비자/NNG+가/JKS
사전에	사전/NNG+에/JKB
가격	가격/NNG
정보를	정보/NNG+를/JKO
확인하고	확인하/VV+고/EC
합리적인	합리적/NNG+이/VCP+ㄴ/ETM
선택을	선택/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
음식점	음식점/NNG
외부에	외부/NNG+에/JKB
메뉴와	메뉴/NNG+와/JC
가격	가격/NNG
표시가	표시/NNG+가/JKS
의무화된다	의무화되/VV+ㄴ다/EF

현재는	현재/NNG+는/JX
소비자가	소비자/NNG+가/JKS
사전에	사전/NNG+에/JKB
해당	해당/NNG
음식점에	음식점/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정보를	정보/NNG+를/JKO
알아보고	알아보/VV+고/EC
방문하지	방문하/VV+지/EC
않는	않/VX+는/ETM
한,	한/NNG+,/SP
음식점의	음식점/NNG+의/JKG
메뉴와	메뉴/NNG+와/JC
가격에	가격/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정보를	정보/NNG+를/JKO
알	알/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없어	없/VA+어/EC
음식점	음식점/NNG
선택에	선택/NNG+에/JKB
많은	많/VA+은/ETM
제약과	제약/NNG+과/JC
불편을	불편/NNG+을/JKO
받는	받/VV+는/ETM
경우가	경우/NNG+가/JKS
발생하고	발생하/VV+고/EC
있다	있/VX+다/EC

이러한	이러하/VA+ㄴ/ETM
불편을	불편/NNG+을/JKO
해소하기	해소하/VV+기/ETN
위해	위하/VV+여/EC
영업	영업/NNG
신고	신고/NNG
면적	면적/NNG
150㎡이상의	150/SN+㎡/SW+이상/NNG+의/JKG
대형	대형/NNG
일반음식점	일반음식점/NNG
및	및/MAG
휴게음식점을	휴게음식점/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
외부에서	외부/NNG+에서/JKB
확인이	확인/NNG+이/JKS
가능하도록	가능하/VA+도록/EC
최종	최종/NNG
지불가격	지불가격/NNG
표시	표시/NNG
의무를	의무/NNG+를/JKO
부여할	부여하/VV+ㄹ/ETM
방침이다	방침/NNG+이/VCP+다/EC

옥외	옥외/NNG
가격	가격/NNG
표시	표시/NNG
방법은	방법/NNG+은/JX
소비자	소비자/NNG
입장에서	입장/NNG+에서/JKB
알아보기	알아보/VV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
장소(주출입구	장소/NNG+(/SS+주출입구/NNG
주변	주변/NNG
등)에	등/NNB+)/SS+에/JKB
표시하고,	표시하/VV+고/EC+,/SP
‘옥외광고물	‘/SN+옥외광고/NNG+물/XSN
관리법’에	관리법/NNG+’/SL+에/JKB
저촉되지	저촉되/VV+지/EC
않는	않/VX+는/ETM
방법으로	방법/NNG+으로/JKB
게재하도록	게재하/VV+도록/EC
세부	세부/NNG
규정을	규정/NNG+을/JKO
마련할	마련하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

