뇌	뇌/NNG
비신경세포를	비신경세포/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
흥분조절	흥분조절/NNG
기전	기전/NNG
규명	규명/NNG

국내	국내/NNG
연구진	연구/NNG+진/XSN
'셀'에	'/SS+셀/NNP+'/SS+에/JKB
논문	논문/NNG
게재(서울=연합뉴스)	게재/NNG+(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
이주연	이주연/NNP
기자	기자/NNG
=	=/SW
국내	국내/NNG
연구진이	연구/NNG+진/XSN+이/JKS
비(非)신경세포의	비/NNG+(/SS+非/SL+)/SS+신경세포/NNG+의/JKG
흥분성	흥분성/NNG
신경전달물질	신경전달물질/NNG
분비	분비/NNG
메커니즘을	메커니즘/NNG+을/JKO
세계	세계/NNG
최초로	최초/NNG+로/JKB
규명해	규명하/VV+여/EC
생물학	생물학/NNG
분야	분야/NNG
권위지인	권위지/NNG+이/VCP+ㄴ/ETM
셀(Cell)에	셀/NNG+(/SS+Cell/SL+)/SS+에/JKB
연구	연구/NNG
논문을	논문/NNG+을/JKO
실었다	싣/VV+었/EP+다/EC

교육과학기술부는	교육과학기술부/NNG+는/JX
한국과학기술연구원(KIST)	한국과학기술연구원/NNG+(/SS+KIST/SL+)/SS
기능커넥토믹스센터	기능커넥토믹스센터/NNG
이창준	이창준/NNP
박사팀,	박사팀/NNG+,/SP
경상대	경상대/NNP
박재용	박재용/NNP
교수팀,	교수팀/NNG+,/SP
경북대	경북대/NNP
배용철	배용철/NNP
교수팀	교수팀/NNG
등이	등/NNB+이/JKS
참여한	참여하/VV+ㄴ/ETM
연구	연구/NNG
결과를	결과/NNG+를/JKO
29일	29/SN+일/NNB
공개하고	공개하/VV+고/EC
이렇게	이렇/VA+게/EC
밝혔다	밝히/VV+었/EP+다/EC

연구진은	연구/NNG+진/XSN+은/JX
논문에서	논문/NNG+에서/JKB
비신경세포의	비신경세포/NNG+의/JKG
일종인	일종/NNG+이/VCP+ㄴ/ETM
성상교세포(astrocyte)에서	성상교세포/NNP+(/SS+astrocyte/SL+)/SS+에서/JKB
대표적인	대표적/NNG+이/VCP+ㄴ/ETM
흥분성	흥분성/NNG
신경전달물질인	신경전달물질/NNG+이/VCP+ㄴ/ETM
글루타메이트의	글루타메이트/NNG+의/JKG
분비	분비/NNG
메커니즘을	메커니즘/NNG+을/JKO
규명했다	규명하/VV+였/EP+다/EC

성상교세포는	성상교세포/NNG+는/JX
신경세포의	신경세포/NNG+의/JKG
위치를	위치/NNG+를/JKO
고정하거나	고정하/VV+거나/EC
혈액	혈액/NNG
뇌관문을	뇌관문/NNG+을/JKO
형성하는	형성하/VV+는/ETM
역할을	역할/NNG+을/JKO
맡는다	맡/VV+는다/EF

이는	이/NP+는/JX
신경세포나	신경세포/NNG+나/JC
비신경세포의	비신경세포/NNG+의/JKG
글루타메이트	글루타메이트/NNG
분비	분비/NNG
이상이	이상/NNG+이/JKS
여러	여러/MM
가지	가지/NNB
정신질환과	정신질환/NNG+과/JKB
연관돼	연관되/VV+어/EC
있다는	있/VX+다는/ETM
기존	기존/NNG
연구결과를	연구결과/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
구체적	구체적/NNG
메커니즘을	메커니즘/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

연구진은	연구/NNG+진/XSN+은/JX
전기생리학적	전기생리학/NNG+적/XSN
실험과	실험/NNG+과/JC
면역조직화학법	면역조직화학법/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
글루타메이트가	글루타메이트/NNG+가/JKS
성상교세포에	성상교세포/NNG+에/JKB
존재하는	존재하/VV+는/ETM
서로	서로/MAG
다른	다르/VA+ㄴ/ETM
이동통로를	이동통로/NNG+를/JKO
통해	통하/VV+여/EC
빠르고	빠르/VA+고/EC
느린	느리/VA+ㄴ/ETM
두	두/MM
가지	가지/NNB
형태로	형태/NNG+로/JKB
분비된다는	분비되/VV+ㄴ다는/ETM
사실을	사실/NNG+을/JKO
밝혔다	밝히/VV+었/EP+다/EC

글루타메이트의	글루타메이트/NNG+의/JKG
빠른	빠르/VA+ㄴ/ETM
분비와	분비/NNG+와/JC
느린	느리/VA+ㄴ/ETM
분비가	분비/NNG+가/JKS
각각	각각/MAG
'트렉-1(TREK-1)',	'/SS+트렉/NNG+-/SO+1/SN+(/SS+TREK/SL+-/SO+1/SN+)'/SS+,/SP
'베스트로핀(Best1)'라고	'/SS+베스트로핀/NNG+(/SS+Best/SL+1/SN+)'/SS+라고/JKQ
불리는	불리/VV+는/ETM
이동	이동/NNG
통로를	통로/NNG+를/JKO
거친다는	거치/VV+ㄴ다는/ETM
것이	것/NNB+이/JKS
연구의	연구/NNG+의/JKG
결론이다	결론/NNG+이/VCP+다/EC

이창준	이창준/NNP
박사는	박사/NNG+는/JX
"성상교세포의	"/SS+성상교세포/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
기능을	기능/NNG+을/JKO
밝힘으로써	밝히/VV+ㅁ/ETN+으로써/JKB
중추신경계	중추신경계/NNG
흥분성과	흥분성/NNG+과/JC
억제성의	억제성/NNG+의/JKG
불균형으로	불균형/NNG+으로/JKB
나타나는	나타나/VV+는/ETM
신경계	신경계/NNG
질환의	질환/NNG+의/JKG
치료	치료/NNG
가능성을	가능성/NNG+을/JKO
제시했다"고	제시하/VV+였/EP+다/EF+"/SS+고/JKQ
이번	이번/NNG
연구의	연구/NNG+의/JKG
의미를	의미/NNG+를/JKO
설명했다	설명하/VV+었/EP+다/EC

인간의	인간/NNG+의/JKG
중추신경계에서	중추신경계/NNG+에서/JKB
흥분성·억제성	흥분성/NNG+·/SP+억제성/NNG
신경전달물질의	신경전달물질/NNG+의/JKG
균형이	균형/NNG+이/JKS
깨지면	깨지/VV+면/EC
우울증,	우울증/NNG+,/SP
불면증,	불면증/NNG+,/SP
운동이상,	운동이상/NNG+,/SP
학습장애,	학습장애/NNG+,/SP
기억장애,	기억장애/NNG+,/SP
간질,	간질/NNG+,/SP
발작	발작/NNG
등이	등/NNB+이/JKS
나타나는데,	나타나/VV+는데/EC+,/SP
이번	이번/NNG
연구는	연구/NNG+는/JX
이런	이런/MM
질환들의	질환/NNG+들/XSN+의/JKG
치료	치료/NNG
방법을	방법/NNG+을/JKO
개발하는	개발하/VV+는/ETM
토대가	토대/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이	것/NNB+이/JKS
연구진의	연구/NNG+진/XSN+의/JKG
설명이다	설명/NNG+이/VCP+다/EC

이	이/MM
연구는	연구/NNG+는/JX
교육과학기술부가	교육과학기술부/NNG+가/JKS
추진하는	추진하/VV+는/ETM
'세계수준의	'/SS+세계수준/NNG+의/JKG
연구센터'(WCI)	연구센터/NNG+'(/SS+WCI/SL+)/SS
사업의	사업/NNG+의/JKG
일환으로	일환/NNG+으로/JKB
추진됐다	추진되/VV+었/EP+다/EF

gold@yna	gold/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
