고단백질	고/XPN+단백질/NNG
섭취,	섭취/NNG+,/SP
근골격계	근골격계/NNG
통증완화	통증완화/NNG
도와	돕/VV+아/EC

“뇌성마비장애인의	“뇌성마비장애인/NNG+의/JKG
근골격계	근골격계/NNG
통증	통증/NNG
완화를	완화/NNG+를/JKO
위해서는	위하/VV+여서/EC+는/JX
영양섭취가	영양섭취/NNG+가/JKS
중요하다	중요하/VA+다/EC

특히	특히/MAG
고단백질을	고단백질/NNG+을/JKO
많이	많이/MAG
섭취한다면	섭취하/VV+ㄴ다면/EC
통증완화에	통증완화/NNG+에/JKB
도움이	도움/NNG+이/JKC
된다	되/VV+ㄴ다/EF

“경희대학교	“/SL+경희대학교/NNP
재활의학과	재활의학과/NNG
이종하	이종하/NNP
과장은	과장/NNG+은/JX
18일	18/SN+일/NNB
이룸센터	이룸센터/NNG
열린	열리/VV+ㄴ/ETM
‘뇌성마비장애인의	‘/SN+뇌성마비장애인/NNG+의/JKG
건강권	건강/NNG+권/XSN
및	및/MAG
문화향유권	문화향유권/NNG
토론회’에서	토론회/NNG+’/SL+에서/JKB
뇌성마비	뇌성마비/NNG
장애인의	장애인/NNG+의/JKG
근골격계	근골격계/NNG
통증	통증/NNG
완화	완화/NNG
방법을	방법/NNG+을/JKO
제시했다	제시하/VV+였/EP+다/EC

이	이/NNP
과장은	과장/NNG+은/JX
“근골격계	“/SN+근골격계/NNG
통증	통증/NNG
원인으로는	원인/NNG+으로/JKB+는/JX
뼈의	뼈/NNG+의/JKG
변형을	변형/NNG+을/JKO
유발하는	유발하/VV+는/ETM
경직,	경직/NNG+,/SP
구축,	구축/NNG+,/SP
관절	관절/NNG
스트레스,	스트레스/NNG+,/SP
측만증	측만/NNG+증/XSN
등	등/NNB
다양하다”며	다양하/VA+다”며/EC
“고단백질을	“/SN+고단백질/NNG+을/JKO
섭취하면	섭취하/VV+면/EC
통증을	통증/NNG+을/JKO
완화	완화/NNG
시킬	시키/VV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
기분(컨디션)도	기분/NNG+(/SS+컨디션/NNG+)/SS+도/JX
좋아	좋/VA+아/EC
진다”고	지/VV+ㄴ다/EC+”/VV+고/EC
설명했다	설명하/VV+었/EP+다/EC

이와	이/NP+와/JKB
함께	함께/MAG
주기적인	주기적/NNG+이/VCP+ㄴ/ETM
스트레칭	스트레칭/NNG
등	등/NNB
자신의	자신/NNG+의/JKG
몸에	몸/NNG+에/JKB
맞는	맞/VV+는/ETM
운동도	운동/NNG+도/JX
하나의	하나/NNG+의/JKG
방법이라고	방법/NNG+이/VCP+라고/EC
충고했다	충고하/VV+였/EP+다/EC

특히	특히/MAG
휠체어	휠체어/NNG
사용으로	사용/NNG+으로/JKB
인한	인하/VV+ㄴ/ETM
목,	목/NNG+,/SP
어깨	어깨/NNG
등의	등/NNB+의/JKG
주요부위의	주요부위/NNG+의/JKG
통증을	통증/NNG+을/JKO
완화하는	완화하/VV+는/ETM
강화훈련을	강화훈련/NNG+을/JKO
제안했다	제안하/VV+였/EP+다/EC

근골격계	근골격계/NNG
통증을	통증/NNG+을/JKO
완화하기	완화하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
방법으로	방법/NNG+으로/JKB
보톡스	보톡스/NNG
주사	주사/NNG
등	등/NNB
약물치료	약물치료/NNG
방법도	방법/NNG+도/JX
있지만	있/VA+지만/EC
무엇보다	무엇/NP+보다/JKB
주기적인	주기적/NNG+이/VCP+ㄴ/ETM
운동이	운동/NNG+이/JKS
중요하다는	중요하/VA+다는/ETM
것	것/NNB

이	이/NNP
과장은	과장/NNG+은/JX
“주요부위인	“/SL+주요부위/NNG+이/VCP+ㄴ/ETM
목과	목/NNG+과/JC
어깨	어깨/NNG
전방근육(흉근	전방근육/NNG+(/SS+흉근/NNG
이두근)	이두근/NNP+)/SS
스트레칭,	스트레칭/NNG+,/SP
어깨	어깨/NNG
후방	후방/NNG
근육	근육/NNG
강화,	강화/NNG+,/SP
어께	어께/NNG
관절	관절/NNG
운동을	운동/NNG+을/JKO
정기적으로	정기적/NNG+으로/JKB
스트레칭을	스트레칭/NNG+을/JKO
해준다면	하/VV+여/EC+주/VX+ㄴ다면/EC
통증완화와	통증완화/NNG+와/JC
근육경직을	근육경직/NNG+을/JKO
완화하는데	완화하/VV+는/ETM+데/NNB
도움이	도움/NNG+이/JKC
된다”고	되/VV+ㄴ다/EC+”/VV+고/EC
강조했다	강조하/VV+였/EP+다/EC

이어	이어/MAG
“통증을	“/SN+통증/NNG+을/JKO
완화하기	완화하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
수술은	수술/NNG+은/JX
만병통치약이	만병통치약/NNG+이/JKC
아니라며	아니/VCN+라며/EC
수술을	수술/NNG+을/JKO
해야	하/VV+여야/EC
한다면	하/VX+ㄴ다면/EC
전문의	전문의/NNG
등과의	등/NNB+과/JKB+의/JKG
충분한	충분하/VA+ㄴ/ETM
상담이	상담/NNG+이/JKS
필요하다”고	필요하/VA+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF
