복지부,	복지부/NNG+,/SP
안마사	안마사/NNG
취득자격	취득자격/NNG
완화	완화/NNG
권고	권고/NNG
불수용	불수/NNG+용/XSN

국가인권위원회는	국가인권위원회/NNG+는/JX
중학교	중학교/NNG
이상	이상/NNG
학력을	학력/NNG+을/JKO
요구하는	요구하/VV+는/ETM
안마사	안마사/NNG
자격	자격/NNG
취득	취득/NNG
요건의	요건/NNG+의/JKG
완화를	완화/NNG+를/JKO
보건복지부	보건복지부/NNG
장관에게	장관/NNG+에게/JKB
권고했지만,	권고하/VV+였/EP+지만/EC+,/SP
이를	이/NP+를/JKO
복지부가	복지부/NNG+가/JKS
수용하지	수용하/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
2일	2/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

진정인	진정/NNG+이/VCP+ㄴ/ETM
A씨는	A/SL+씨/NNB+는/JX
초등학교	초등학교/NNG
졸업	졸업/NNG
학력의	학력/NNG+의/JKG
시각장애인이	시각장애인/NNG+이/JKS
안마사	안마사/NNG
자격을	자격/NNG+을/JKO
취득하기	취득하/VV+기/ETN
위해	위하/VV+여/EC
안마수련원	안마수련/NNG+원/XSN
교육을	교육/NNG+을/JKO
받고자	받/VV+고자/EC
했으나	하/VX+였/EP+으나/EC
‘중학교	‘/SL+중학교/NNG
과정	과정/NNG
이상의	이상/NNG+의/JKG
교육을	교육/NNG+을/JKO
받은	받/VV+은/ETM
자’여야	자’/NNG+이/VCP+어야/EC
한다는	하/VX+ㄴ다는/ETM
답변을	답변/NNG+을/JKO
들은	듣/VV+은/ETM
뒤	뒤/NNG
지난해	지난해/NNG
8월	8/SN+월/NNB
인권위에	인권위/NNG+에/JKB
제기했다	제기하/VV+였/EP+다/EC

현행	현행/NNG
‘의료법’을	‘/SN+의료법/NNG+’/SL+을/JKO
살펴보면	살펴보/VV+면/EC
시각장애인은	시각장애인/NNG+은/JX
중학교	중학교/NNG
과정을	과정/NNG+을/JKO
마쳐야	마치/VV+어야/EC
하거나	하/VX+거나/EC
안마사	안마사/NNG
자격	자격/NNG
취득을	취득/NNG+을/JKO
위해	위하/VV+여/EC
‘고등학교	‘/SL+고등학교/NNG
입학자격	입학자격/NNG
