수면무호흡증,	수면무호흡/NNG+증/XSN+,/SP
예방	예방/NNG
관리하세요!	관리하/VV+세요/EF+!/SF

질병관리본부(본부장	질병관리본부/NNG+(/SS+본부/NNG+장/XSN
전병율)와	전/MM+병율/NNG+)/SS+와/JC
대한이비인후과학회(이사장	대한이비인후과학회/NNP+(/SS+이사장/NNG
백정환)는	백정환/NNP+)/SS+는/JX
수면무호흡증에	수면무호흡/NNG+증/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
국민들의	국민/NNG+들/XSN+의/JKG
올바른	올바르/VA+ㄴ/ETM
질환인식과	질환인식/NNG+과/JC
건강생활	건강생활/NNG
실천율을	실천율/NNG+을/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+여/EC
‘수면무호흡증	‘/SL+수면무호흡/NNG+증/XSN
예방과	예방/NNG+과/JC
관리를	관리/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
5대	5/SN+대/NNB
생활	생활/NNG
수칙’을	수칙/NNG+’/SL+을/JKO
권고했다	권고하/VV+였/EP+다/EC

수면무호흡증	수면무호흡/NNG+증/XSN
예방관리수칙은	예방관리수칙/NNG+은/JX
성인	성인/NNG
수면무호흡증의	수면무호흡/NNG+증/XSN+의/JKG
위험	위험/NNG
요인	요인/NNG
관리	관리/NNG
및	및/MAG
조기	조기/NNG
진단·치료의	진단/NNG+·/SP+치료/NNG+의/JKG
중요성	중요성/NNG
뿐만	뿐만/JX
아니라	아니/VCN+라/EC
소아	소아/NNG
수면무호흡증의	수면무호흡/NNG+증/XSN+의/JKG
진단과	진단/NNG+과/JC
치료의	치료/NNG+의/JKG
중요성을	중요성/NNG+을/JKO
담고	담/VV+고/EC
있다	있/VX+다/EC

먼저	먼저/MAG
비만,	비만/NNG+,/SP
술,	술/NNG+,/SP
담배는	담배/NNG+는/JX
성인의	성인/NNG+의/JKG
수면무호흡증의	수면무호흡/NNG+증/XSN+의/JKG
위험도를	위험도/NNG+를/JKO
높이는	높이/VV+는/ETM
주요	주요/NNG
위험	위험/NNG
요인이므로	요인/NNG+이/VCP+므로/EC
체중	체중/NNG
조절과	조절/NNG+과/JC
금주	금주/NNG
및	및/MAG
금연으로	금연/NNG+으로/JKB
수면무호흡증을	수면무호흡/NNG+증/XSN+을/JKO
호전시킬	호전/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

수면	수면/NNG
중	중/NNB
발생하는	발생하/VV+는/ETM
수면무호흡증은	수면무호흡/NNG+증/XSN+은/JX
자가	자가/NNG
진단이	진단/NNG+이/JKS
어렵기	어렵/VA+기/ETN
때문에	때문/NNB+에/JKB
코골이,	코골/NNP+이/JKS+,/SP
주간	주간/NNG
졸림	졸림/NNG
등과	등/NNB+과/JKB
같은	같/VA+은/ETM
증상이	증상/NNG+이/JKS
있으면	있/VA+으면/EC
의사와	의사/NNG+와/JC
상담이	상담/NNG+이/JKS
필요하다	필요하/VA+다/EC

특히,	특히/MAG+,/SP
소아의	소아/NNG+의/JKG
수면무호흡증은	수면무호흡/NNG+증/XSN+은/JX
기도가	기도/NNG+가/JKS
완전히	완전히/MAG
막히는	막히/VV+는/ETM
무호흡증보다	무호흡/NNG+증/XSN+보다/JKB
부분적으로	부분적/NNG+으로/JKB
막히는	막히/VV+는/ETM
저호흡이	저호흡/NNG+이/JKS
수면	수면/NNG
중	중/NNB
지속적으로	지속적/NNG+으로/JKB
나타나	나타나/VV+아/EC
주의력	주의력/NNG
결핍,	결핍/NNG+,/SP
식욕	식욕/NNG
저하,	저하/NNG+,/SP
안면발달장애	안면발달장애/NNG
등	등/NNB
신경	신경/NNG
정신적	정신적/NNG
합병증이	합병증/NNG+이/JKS
유발될	유발되/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

소아는	소아/NNG+는/JX
정신적,	정신적/NNG+,/SP
육체적으로	육체적/NNG+으로/JKB
성장기에	성장기/NNG+에/JKB
있으므로	있/VA+으므로/EC
수면무호흡증의	수면무호흡/NNG+증/XSN+의/JKG
합병증을	합병증/NNG+을/JKO
예방하기	예방하/VV+기/ETN
위해	위하/VV+여/EC
적극적으로	적극적/NNG+으로/JKB
진단하고	진단하/VV+고/EC
치료해야	치료하/VV+여야/EC
한다	하/VX+ㄴ다/EF

<수면무호흡증	</SS+수면무호흡/NNG+증/XSN
예방관리수칙>*적정	예방관리수칙/NNG+>/SS+*/SW+적정/NNG
체중을	체중/NNG+을/JKO
유지할	유지하/VV+ㄹ/ETM
것	것/NNB
*술과	*/SW+술/NNG+과/JC
담배를	담배/NNG+를/JKO
끊을	끊/VV+을/ETM
것	것/NNB
*코골이,	*/SW+코골/NNP+이/JKS+,/SP
주간	주간/NNG
졸림	졸리/VV+ㅁ/ETN
등이	등/NNB+이/JKS
있으면	있/VA+으면/EC
수면무호흡증이	수면무호흡/NNG+증/XSN+이/JKS
아닌지	아니/VCN+ㄴ지/EC
의사와	의사/NNG+와/JKB
상담할	상담하/VV+ㄹ/ETM
것*심뇌혈관질환을	것/NNB+*/SW+심뇌혈관질환/NNG+을/JKO
예방하기	예방하/VV+기/ETN
위해	위하/VV+여/EC
수면무호흡증을	수면무호흡/NNG+증/XSN+을/JKO
적극적으로	적극적/NNG+으로/JKB
치료할	치료하/VV+ㄹ/ETM
것	것/NNB
*소아의	*/SW+소아/NNG+의/JKG
수면무호흡증은	수면무호흡/NNG+증/XSN+은/JX
조기에	조기/NNG+에/JKB
치료할	치료하/VV+ㄹ/ETM
것	것/NNB
