<다운증후군ㆍ지적장애	</SS+다운증후군/NNG+ㆍ/SP+지적장애/NNG
치료길	치료길/NNG
열리나>	열리/VV+나/EF+>/SS

(울산=연합뉴스)	(/SS+울산/NNG+=/SW+연합뉴스/NNP+)/SS
이상현	이상현/NNP
기자	기자/NNG
=	=/SW
다운증후군을	다운증후군/NNG+을/JKO
초래하는	초래하/VV+는/ETM
단백질의	단백질/NNG+의/JKG
역할을	역할/NNG+을/JKO
UNIST(울산과기대)	UNIST/SL+(/SS+울산과기대/NNP+)/SS
연구진이	연구/NNG+진/XSN+이/JKS
규명했다	규명하/VV+였/EP+다/EC

또	또/MAG
지적장애를	지적장애/NNG+를/JKO
일으키는	일으키/VV+는/ETM
가장	가장/MAG
흔한	흔하/VA+ㄴ/ETM
유전적	유전적/NNG
질병인	질병/NNG+이/VCP+ㄴ/ETM
취약	취약/NNG
X-염색체	X/SL+-/SO+염색체/NNG
증후군이	증후군/NNG+이/JKS
다운증후군과	다운증후군/NNG+과/JKB
같은	같/VA+은/ETM
분자	분자/NNG
생화학적	생화학/NNG+적/XSN
경로를	경로/NNG+를/JKO
통해	통하/VV+여/EC
발생한다는	발생하/VV+ㄴ다는/ETM
사실을	사실/NNG+을/JKO
밝혀냈다	밝혀내/VV+었/EP+다/EF

이에	이/NP+에/JKB
따라	따르/VV+아/EC
이들	이/NP+들/XSN
장애를	장애/NNG+를/JKO
일으키는	일으키/VV+는/ETM
유전자를	유전자/NNG+를/JKO
제어하면	제어하/VV+면/EC
다운증후군,	다운증후군/NNG+,/SP
알츠하이머,	알츠하이머/NNG+,/SP
자폐	자폐/NNG
등	등/NNB
여러	여러/MM
지적장애	지적장애/NNG
증상의	증상/NNG+의/JKG
치료가	치료/NNG+가/JKS
가능할	가능하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다	보일/VV+ㄴ다/EF

UNIST	UNIST/SL
나노생명화학공학부	나노생명화학공학부/NNG
민경태	민경태/NNP
교수	교수/NNG
연구팀은	연구팀/NNG+은/JX
다운	답/VA+ㄴ/ETM
증후군의	증후군/NNG+의/JKG
지적	지적/NNG
장애를	장애/NNG+를/JKO
유발하는	유발하/VV+는/ETM
대표적인	대표적/NNG+이/VCP+ㄴ/ETM
유전자인	유전자/NNG+이/VCP+ㄴ/ETM
DSCR1이	DSCR/SL+1/SN+이/JKS
쥐의	쥐/NNG+의/JKG
뇌	뇌/NNG
신경세포의	신경세포/NNG+의/JKG
수상돌기	수상돌기/NNG
가시에	가시/NNG+에/JKB
존재한다는	존재하/VV+ㄴ다는/ETM
사실을	사실/NNG+을/JKO
확인했다고	확인하/VV+였/EP+다고/EC
4일	4/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

이어	이어/MAG
DSCR1	DSCR/SL+1/SN
유전자가	유전자/NNG+가/JKS
수상돌기	수상돌기/NNG
가시의	가시/NNG+의/JKG
모양과	모양/NNG+과/JC
숫자를	숫자/NNG+를/JKO
조절하는	조절하/VV+는/ETM
것을	것/NNB+을/JKO
