김정록,	김정록/NNP+,/SP
故박지우	故/SL+박지우/NNG
양	양/MM
애도…활동보조	애도/NNG+…/SE+활동보조/NNG
확대	확대/NNG
주문	주문/NNG

새누리당	새누리당/NNP
김정록	김정록/NNP
의원(국회	의원/NNG+(/SS+국회/NNG
보건복지위원회)이	보건복지위원회/NNG+)/SS+이/JKS
9일	9/SN+일/NNB
화재	화재/NNG
당시	당시/NNG
뇌병변장애	뇌병변장애/NNG
동생을	동생/NNG+을/JKO
지키려다	지키/VV+려다/EC
사망한	사망하/VV+ㄴ/ETM
누나	누나/NNG
故박지우	故/SL+박지우/NNG
양을	양/NNG+을/JKO
애도하며,	애도하/VV+며/EC+,/SP
정부에	정부/NNG+에/JKB
활동보조인제도	활동보조인제도/NNG
급여	급여/NNG
확대	확대/NNG
및	및/MAG
본인부담금	본인부담금/NNG
축소를	축소/NNG+를/JKO
강력히	강력히/MAG
주문했다	주문하/VV+였/EP+다/EF

앞서	앞서/MAG
지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
김정록	김정록/NNP
의원은	의원/NNG+은/JX
故박지우	故/SL+박지우/NNG
양의	양/NNG+의/JKG
빈소를	빈소/NNG+를/JKO
방문해	방문하/VV+여/EC
유가족을	유가족/NNG+을/JKO
위로했다	위로하/VV+였/EP+다/EC

이들	이/NP+들/XSN
남매는	남매/NNG+는/JX
화재사고	화재사고/NNG
당시	당시/NNG
불길을	불길/NNG+을/JKO
피하지	피하/VV+지/EC
못해	못하/VX+여/EC
유독가스에	유독가스/NNG+에/JKB
질식했고,	질식하/VV+였/EP+고/EC+,/SP
현재	현재/MAG
남동생은	남동생/NNG+은/JX
뇌사	뇌사/NNG
판정을	판정/NNG+을/JKO
받았다	받/VV+았/EP+다/EC

김	김/NNP
의원에	의원/NNG+에/JKB
따르면	따르/VV+면/EC
실제로	실제로/MAG
박	박/NNP
양의	양/NNB+의/JKG
동생은	동생/NNG+은/JX
뇌병변장애	뇌병변장애/NNG
1급의	1/SN+급/NNG+의/JKG
중증장애인으로	중증장애인/NNG+으로/JKB
활동보조서비스를	활동보조서비스/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있었지만,	있/VA+었/EP+지만/EC+,/SP
본인부담금	본인부담금/NNG
납부의	납부/NNG+의/JKG
어려움과	어려움/NNG+과/JC
하루	하루/NNG
2~3시간의	2/SN+~/SO+3/SN+시간/NNB+의/JKG
활동보조	활동보조/NNG
서비스	서비스/NNG
시간으로	시간/NNG+으로/JKB
신청	신청/NNG
조차	조차/JX
하지	하/VV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
확인됐다	확인되/VV+었/EP+다/EF

김정록	김정록/NNP
의원은	의원/NNG+은/JX
“	“/SL
허정석·김주영	허정석/NNP+·/SP+김주영/NNP
씨에	씨/NNB+에/JKB
이어	잇/VV+어/EC
너무도	너무/MAG+도/JX
안타까운	안타깝/VA+ㄴ/ETM
일이	일/NNG+이/JKS
일어났다	일어나/VV+았/EP+다/EF

만약	만약/NNG
활동보조인이	활동보조인/NNG+이/JKS
이들과	이/NP+들/XSN+과/JKB
함께	함께/MAG
있었다면	있/VA+었/EP+다면/EC
이러한	이러하/VA+ㄴ/ETM
비극은	비극/NNG+은/JX
없었을	없/VA+었/EP+을/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“활동보조인제도의	“/SL+활동보조인제도/NNG+의/JKG
급여(시간)을	급여/NNG+(/SS+시간/NNG+)/SS+을/JKO
확대하고,	확대하/VV+고/EC+,/SP
가구	가구/NNG
소득기준에	소득기준/NNG+에/JKB
따라	따르/VV+아/EC
본인부담금을	본인부담금/NNG+을/JKO
내도록	내/VV+도록/EC
하는	하/VX+는/ETM
것도	것/NNB+도/JX
축소해야	축소하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

더불어	더불/VV+어/EC
김	김/NNP
의원은	의원/NNG+은/JX
“화재	“/SN+화재/NNG
등	등/NNB
재난	재난/NNG
발생	발생/NNG
시	시/NNB
비장애인보다	비장애인/NNG+보다/JKB
더욱	더욱/MAG
심각한	심각하/VA+ㄴ/ETM
위협에	위협/NNG+에/JKB
노출되어	노출되/VV+어/EC
있는	있/VX+는/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
신속하게	신속하/VA+게/EC
피신	피신/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
설비를	설비/NNG+를/JKO
의무적으로	의무적/NNG+으로/JKB
구축케	구축하/VV+게/EC
하는	하/VX+는/ETM
법률이	법률/NNG+이/JKS
필요하다”라면서	필요하/VA+다/EC+”/VV+라면서/EC
“‘소방시설	“‘/SL+소방시설/NNG
설치·유지	설치/NNG+·/SP+유지/NNG
및	및/MAG
안전관리에	안전관리/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률	법률/NNG
개정안’이	개정안’/NNG+이/JKS
조속히	조속히/MAG
통과되어야	통과되/VV+어야/EC
한다”고	하/VX+ㄴ다”고/EC
촉구했다	촉구하/VV+였/EP+다/EC

이	이/MM
개정안은	개정안/NNG+은/JX
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
김	김/NNP
의원이	의원/NNG+이/JKS
대표	대표/NNG
발의했으며,	발의하/VV+였/EP+으며/EC+,/SP
장애인·노인·임산부	장애인/NNG+·/SP+노인/NNG+·/SP+임산부/NNG
등이	등/NNB+이/JKS
독자적으로	독자적/NNG+으로/JKB
안전하고	안전하/VA+고/EC
신속하게	신속하/VA+게/EC
대피할	대피하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘다수인피난설비’를	‘/SL+다수인피난설비’/NNG+를/JKO
설치해	설치하/VV+여/EC
장애인·노인·임산부	장애인/NNG+·/SP+노인/NNG+·/SP+임산부/NNG
등이	등/NNB+이/JKS
화재	화재/NNG
등	등/NNB
재난	재난/NNG
발생	발생/NNG
시에	시/NNG+에/JKB
스스로	스스로/MAG
안전하고	안전하/VA+고/EC
신속하게	신속하/VA+게/EC
대피	대피/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있다	있/VX+다/EC
