시설장애인	시설장애인/NNG
가두는	가두/VV+는/ETM
활동지원제도의	활동지원제도/NNG+의/JKG
‘틈’	‘/SL+틈/NNG+’/SN

“시설의	“/SL+시설/NNG+의/JKG
장애인은	장애인/NNG+은/JX
동물처럼	동물/NNG+처럼/JKB
갇혀만	갇혀만/VV
있어야	있/VX+어야/EC
하나요?	하/VX+나/EF+요/JX+?/SF
그들도	그/NP+들/XSN+도/JX
활동보조인의	활동보조인/NNG+의/JKG
도움을	도움/NNG+을/JKO
받아서	받/VV+아서/EC
간단한	간단하/VA+ㄴ/ETM
외출조차	외출/NNG+조차/JX
못한다면	못하/VV+ㄴ다면/EC
‘시설에서	‘/SN+시설/NNG+에서/JKB
썩어라!’는	썩어라/VV+!/SF+’/SL+는/JX
말과	말/NNG+과/JKB
같습니다	같/VA+습니다/EC

너무	너무/MAG
잔인한	잔인하/VA+ㄴ/ETM
제도네요	제도네요/NNG

”중증장애인들의	”/SL+중증장애인/NNG+들/XSN+의/JKG
자립을	자립/NNG+을/JKO
위해	위하/VV+여/EC
지난	지나/VV+ㄴ/ETM
2006년	2006/SN+년/NNB
활동보조서비스가	활동보조서비스/NNG+가/JKS
생긴	생기/VV+ㄴ/ETM
이래,	이래/NNB+,/SP
활동지원제도로	활동지원제도/NNG+로/JKB
변화한지	변화하/VV+ㄴ/ETM+지/NNB
1년이	1/SN+년/NNB+이/JKS
넘었다	넘/VV+었/EP+다/EF

하지만	하지만/MAJ
너무	너무/MAG
높은	높/VA+은/ETM
본인부담금,	본인부담금/NNG+,/SP
급여	급여/NNG
문제	문제/NNG
논쟁은	논쟁/NNG+은/JX
끊이지	끊이/VV+지/EC
않고	않/VX+고/EC
있어	있/VX+어/EC
뜨거운	뜨겁/VA+ㄴ/ETM
감자로	감자/NNG+로/JKB
급부상한지	급부상하/VV+ㄴ/ETM+지/NNB
오래	오래/MAG

장애인활동지원제도	장애인활동지원제도/NNG
안에는	안/NNG+에/JKB+는/JX
수면으로	수면/NNG+으로/JKB
드러나지	드러나/VV+지/EC
않은	않/VX+은/ETM
또	또/MAG
하나의	하나/NNG+의/JKG
문제점이	문제점/NNG+이/JKS
숨어있다	숨/VV+어/EC+있/VX+다/EC

바로	바로/MAG
활동지원제도	활동지원제/NNG+도/JX
이용	이용/NNG
제외	제외/NNG
대상	대상/NNG

경기도	경기도/NNP
광명시에	광명시/NNP+에/JKB
살고	살/VV+고/EC
있는	있/VX+는/ETM
이미숙씨(가명)는	이미숙/NNP+씨/NNB+(/SS+가명/NNG+)/SS+는/JX
최근	최근/NNG
시청으로부터	시청/NNG+으로부터/JKB
청천벽력	청천벽력/NNG
같은	같/VA+은/ETM
소식을	소식/NNG+을/JKO
접했다	접하/VV+였/EP+다/EF

그녀에게	그녀/NP+에게/JKB
날라	나르/VV+아/EC
온	오/VX+ㄴ/ETM
부당이득통지서	부당이득통지/NNG+서/JKB

용인시	용인시/NNP
시설에	시설/NNG+에/JKB
입소해있는	입소하/VV+여/EC+있/VX+는/ETM
장애자녀	장애자녀/NNG
김태희(가명·16)양이	김태희/NNP+(/SS+가명/NNG+·/SP+16/SN+)/SS+양/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
2009년부터	2009/SN+년/NNB+부터/JX
3년간	3/SN+년/NNB+간/XSN
사용해오던	사용하/VV+여/EC+오/VX+던/ETM
